gse	variant	run	stage	arm	tAge
GSE280522	V0	SRR30827713	E2C	A485+Dux	-0.17696294294447
GSE280522	V0	SRR30827730	E2C	A485	-0.0505946687352009
GSE280522	V0	SRR30827783	E2C	A485+Dux	-0.110107410606948
GSE280522	V0	SRR30827776	L2C	A485	-0.1388460113267821
GSE280522	V0	SRR30827778	L2C	A485	-0.1177375782833412
GSE280522	V0	SRR30827772	L2C	A485+Dux	-0.1338115928881621
GSE280522	V0	SRR30827782	L2C	control	-0.3255482662542783
GSE280522	V0	SRR30827770	L2C	A485+Dux	-0.1832747119264854
GSE280522	V0	SRR30827719	E2C	A485	-0.0549708214960083
GSE280522	V0	SRR30827779	L2C	control	-0.1768381102791814
GSE280522	V0	SRR30827775	L2C	A485	-0.1365561924557316
GSE280522	V0	SRR30827763	E2C	control	0.0173511285240197
GSE280522	V0	SRR30827781	L2C	control	-0.2472616271270143
GSE280522	V0	SRR30827771	L2C	A485+Dux	-0.1416407967741202
GSE280522	V0	SRR30827741	E2C	A485	-0.0926796030058044
GSE280522	V0	SRR30827780	L2C	control	-0.2375028637191498
GSE280522	V0	SRR30827752	E2C	A485	-0.0997365473780728
GSE280522	V0	SRR30827784	E2C	A485+Dux	-0.047035531296847
GSE280522	V0	SRR30827785	E2C	control	-0.0838436272762123
GSE280522	V0	SRR30827786	E2C	control	0.0031902585536177
GSE280522	V0	SRR30827773	L2C	A485+Dux	-0.1923214656513557
GSE280522	V0	SRR30827714	E2C	A485+Dux	-0.0622218064605502
GSE280522	V0	SRR30827774	E2C	control	0.0260847122950939
GSE221985	V0	SRR22944191	L2C	control	-0.0946871876566639
GSE221985	V0	SRR22944186	L2C	Tardbp_matKO	0.0782202922102903
GSE221985	V0	SRR22944187	L2C	control	-0.0949688530946398
GSE221985	V0	SRR22944185	L2C	Tardbp_matKO	0.0575782741892315
GSE221985	V0	SRR22944193	E2C	Tardbp_matKO	0.157262676359838
GSE221985	V0	SRR22944197	E2C	control	0.0697627839934171
GSE221985	V0	SRR22944198	E2C	Tardbp_matKO	0.0960433054558447
GSE221985	V0	SRR22944194	E2C	control	-0.0588185196405321
GSE300734	V0	SRR34172921	L2C	Brg1_matKO	-0.0765186661438225
GSE300734	V0	SRR34172922	E2C	control	-0.0111814557521834
GSE300734	V0	SRR34172933	E2C	control	0.0135360851947112
GSE300734	V0	SRR34172920	L2C	Brg1_matKO	-0.0991366911078856
GSE300734	V0	SRR34172935	L2C	control	-0.0681765045745846
GSE300734	V0	SRR34172936	L2C	control	-0.2589395075291999
GSE300734	V0	SRR34172937	L2C	control	-0.1836605370237493
GSE300734	V0	SRR34172934	L2C	Brg1_matKO	-0.0866428718078059
GSE300734	V0	SRR34172939	E2C	Brg1_matKO	-0.1118050159592244
GSE300734	V0	SRR34172932	E2C	Brg1_matKO	-0.0145596993261867
GSE300734	V0	SRR34172938	E2C	Brg1_matKO	0.0510419371208949
GSE248499	V0	SRR26923900	L2C	SCNT_control	-0.1631905335825416
GSE248499	V0	SRR26923899	L2C	SCNT_control	-0.0862034600297156
GSE248499	V0	SRR26923893	L2C	SCNT_Kdm3a	-0.1530022155230412
GSE248499	V0	SRR26923892	L2C	SCNT_Kdm4d	-0.2817305831116928
GSE248499	V0	SRR26923901	L2C	control	0.0208417953630864
GSE248499	V0	SRR26923891	L2C	SCNT_Kdm4d	-0.1864272788627287
GSE248499	V0	SRR26923902	L2C	control	0.0338476221877288
GSE248499	V0	SRR26923903	L2C	control	-0.0186873641152868
GSE248499	V0	SRR26923894	L2C	SCNT_Kdm3a	-0.1594777515114464
GSE235547	V0	SRR24991731	L2C	control_siCtrl	-0.1528757711657088
GSE235547	V0	SRR24991729	L2C	siObox3	0.0121302201108077
GSE235547	V0	SRR24991727	L2C	control_ICSI	0.0277880167231956
GSE235547	V0	SRR24991732	L2C	control_siCtrl	-0.0593602518054535
GSE235547	V0	SRR24991723	L2C	SCNT_Obox3	-0.0690552282330049
GSE235547	V0	SRR24991730	L2C	siObox3	-0.0061254486347536
GSE235547	V0	SRR24991726	L2C	SCNT_EGFP	0.045994023607633
GSE235547	V0	SRR24991728	L2C	control_ICSI	0.0520689579978102
GSE235547	V0	SRR24991725	L2C	SCNT_EGFP	-0.0634996145490817
GSE235547	V0	SRR24991724	L2C	SCNT_Obox3	0.0372553055715008
GSE162345	V0	SRR16201705	NT54hpi	alpha-amanitin_54hpi	0.2055145096565689
GSE162345	V0	SRR16201707	NT54hpi	alpha-amanitin_54hpi	0.2049006932532192
GSE162345	V0	SRR16201704	NT54hpi	control_54hpi	0.0345843271920829
GSE162345	V0	SRR16201701	NT45hpi	alpha-amanitin_45hpi	0.0094958148020574
GSE162345	V0	SRR16201702	NT54hpi	control_54hpi	0.2231070456660898
GSE162345	V0	SRR16201698	NT45hpi	control_45hpi	-0.1075159199025856
GSE162345	V0	SRR16201697	NT45hpi	control_45hpi	-0.1116584486296474
GSE162345	V0	SRR16201696	NT45hpi	control_45hpi	-0.0020818620963899
GSE162345	V0	SRR16201706	NT54hpi	alpha-amanitin_54hpi	0.1007193699586909
GSE162345	V0	SRR16201700	NT45hpi	alpha-amanitin_45hpi	0.071402517368438
GSE162345	V0	SRR16201699	NT45hpi	alpha-amanitin_45hpi	0.1627080911793556
GSE162345	V0	SRR16201703	NT54hpi	control_54hpi	-0.0378372066328457
