symbol	gene_id	run	arm	stage	log2cpm
Klf9	ENSMUSG00000033863	SRR30827752	A485	E2C	1.3594013491446963
Klf9	ENSMUSG00000033863	SRR30827741	A485	E2C	0.7900101285567958
Klf9	ENSMUSG00000033863	SRR30827730	A485	E2C	0.4174630058106168
Klf9	ENSMUSG00000033863	SRR30827719	A485	E2C	1.2002326780344732
Klf9	ENSMUSG00000033863	SRR30827778	A485	L2C	2.094093108647228
Klf9	ENSMUSG00000033863	SRR30827776	A485	L2C	2.547089273473058
Klf9	ENSMUSG00000033863	SRR30827775	A485	L2C	3.5456142348267248
Klf9	ENSMUSG00000033863	SRR30827714	A485+Dux	E2C	1.0937641795006694
Klf9	ENSMUSG00000033863	SRR30827713	A485+Dux	E2C	2.0225804919266364
Klf9	ENSMUSG00000033863	SRR30827784	A485+Dux	E2C	0.6964277793150845
Klf9	ENSMUSG00000033863	SRR30827783	A485+Dux	E2C	0.23162891237778124
Klf9	ENSMUSG00000033863	SRR30827773	A485+Dux	L2C	5.60022659972
Klf9	ENSMUSG00000033863	SRR30827772	A485+Dux	L2C	4.281842191924462
Klf9	ENSMUSG00000033863	SRR30827771	A485+Dux	L2C	3.654819517588088
Klf9	ENSMUSG00000033863	SRR30827770	A485+Dux	L2C	3.941256934709295
Klf9	ENSMUSG00000033863	SRR30827786	control	E2C	1.4574426996558574
Klf9	ENSMUSG00000033863	SRR30827785	control	E2C	2.4672115876105805
Klf9	ENSMUSG00000033863	SRR30827774	control	E2C	1.7733251665770884
Klf9	ENSMUSG00000033863	SRR30827763	control	E2C	2.431980029412597
Klf9	ENSMUSG00000033863	SRR30827782	control	L2C	6.006050871223349
Klf9	ENSMUSG00000033863	SRR30827781	control	L2C	6.721552879654549
Klf9	ENSMUSG00000033863	SRR30827780	control	L2C	6.819964720404829
Klf9	ENSMUSG00000033863	SRR30827779	control	L2C	5.680031454954865
Neto2	ENSMUSG00000036902	SRR30827752	A485	E2C	3.131072342688256
Neto2	ENSMUSG00000036902	SRR30827741	A485	E2C	2.640659658342754
Neto2	ENSMUSG00000036902	SRR30827730	A485	E2C	2.967795649791054
Neto2	ENSMUSG00000036902	SRR30827719	A485	E2C	3.1601574804948958
Neto2	ENSMUSG00000036902	SRR30827778	A485	L2C	2.6177486522537716
Neto2	ENSMUSG00000036902	SRR30827776	A485	L2C	3.5841660728107136
Neto2	ENSMUSG00000036902	SRR30827775	A485	L2C	3.5456142348267248
Neto2	ENSMUSG00000036902	SRR30827714	A485+Dux	E2C	2.8309375899933027
Neto2	ENSMUSG00000036902	SRR30827713	A485+Dux	E2C	2.8839069091272407
Neto2	ENSMUSG00000036902	SRR30827784	A485+Dux	E2C	2.945095184126144
Neto2	ENSMUSG00000036902	SRR30827783	A485+Dux	E2C	2.077911447638347
Neto2	ENSMUSG00000036902	SRR30827773	A485+Dux	L2C	4.648420403931395
Neto2	ENSMUSG00000036902	SRR30827772	A485+Dux	L2C	4.22603941055899
Neto2	ENSMUSG00000036902	SRR30827771	A485+Dux	L2C	3.0288955473308947
Neto2	ENSMUSG00000036902	SRR30827770	A485+Dux	L2C	3.6632052981083967
