run	stage	arm	rep
SRR30827752	E2C	A485	1
SRR30827741	E2C	A485	2
SRR30827730	E2C	A485	3
SRR30827719	E2C	A485	4
SRR30827778	L2C	A485	1
SRR30827776	L2C	A485	3
SRR30827775	L2C	A485	4
SRR30827714	E2C	A485+Dux	1
SRR30827713	E2C	A485+Dux	2
SRR30827784	E2C	A485+Dux	3
SRR30827783	E2C	A485+Dux	4
SRR30827773	L2C	A485+Dux	1
SRR30827772	L2C	A485+Dux	2
SRR30827771	L2C	A485+Dux	3
SRR30827770	L2C	A485+Dux	4
SRR30827786	E2C	control	1
SRR30827785	E2C	control	2
SRR30827774	E2C	control	3
SRR30827763	E2C	control	4
SRR30827782	L2C	control	1
SRR30827781	L2C	control	2
SRR30827780	L2C	control	3
SRR30827779	L2C	control	4
