run	stage	arm	rep	zygotic_score
SRR30827752	E2C	A485	1	0.2676424268157586
SRR30827741	E2C	A485	2	0.19637154063833126
SRR30827730	E2C	A485	3	0.30675801371435524
SRR30827719	E2C	A485	4	0.4536658754613591
SRR30827778	L2C	A485	1	0.9716420693612758
SRR30827776	L2C	A485	3	1.149765083004514
SRR30827775	L2C	A485	4	1.167516889481882
SRR30827714	E2C	A485+Dux	1	0.1721400701328157
SRR30827713	E2C	A485+Dux	2	0.32569004663737916
SRR30827784	E2C	A485+Dux	3	0.26548901010796255
SRR30827783	E2C	A485+Dux	4	0.32684302439743246
SRR30827773	L2C	A485+Dux	1	3.1660097427204077
SRR30827772	L2C	A485+Dux	2	2.8831224372431032
SRR30827771	L2C	A485+Dux	3	1.9692394624319431
SRR30827770	L2C	A485+Dux	4	3.034002687416124
SRR30827786	E2C	control	1	0.2820371608639378
SRR30827785	E2C	control	2	0.5661523467223767
SRR30827774	E2C	control	3	0.5892950345485095
SRR30827763	E2C	control	4	0.52086703275722
SRR30827782	L2C	control	1	3.2412374923470115
SRR30827781	L2C	control	2	3.816615816177789
SRR30827780	L2C	control	3	3.3920082926716537
SRR30827779	L2C	control	4	3.8101982949401796
