run	gse	title	n_processed	p_pseudoaligned	detected_genes	detected_log10	detected_cut_log10	qc_pass	stage	arm
SRR30827777	GSE280522	RNA_L2C_A485_rep2	11292332	87.8	22471	4.351622399736366	4.352644888954454	False		
SRR30827713	GSE280522	RNA_E2C_A485+Dux_rep2	10564607	74.2	24258	4.384854991717318	4.352644888954454	True	E2C	A485+Dux
SRR30827730	GSE280522	RNA_E2C_A485_rep3	12961956	69.0	24919	4.396530610090025	4.352644888954454	True	E2C	A485
SRR30827783	GSE280522	RNA_E2C_A485+Dux_rep4	15618140	73.5	24056	4.381223415092461	4.352644888954454	True	E2C	A485+Dux
SRR30827776	GSE280522	RNA_L2C_A485_rep3	16143415	66.5	29137	4.4644448339639276	4.352644888954454	True	L2C	A485
SRR30827778	GSE280522	RNA_L2C_A485_rep1	14819791	57.8	28267	4.451279718904047	4.352644888954454	True	L2C	A485
SRR30827772	GSE280522	RNA_L2C_A485+Dux_rep2	19250111	70.4	28332	4.452277233126352	4.352644888954454	True	L2C	A485+Dux
SRR30827782	GSE280522	RNA_L2C_DMSO_rep1	16329173	66.9	26079	4.41629093434484	4.352644888954454	True	L2C	control
SRR30827770	GSE280522	RNA_L2C_A485+Dux_rep4	19267195	63.6	27441	4.438399933804706	4.352644888954454	True	L2C	A485+Dux
SRR30827719	GSE280522	RNA_E2C_A485_rep4	20265729	64.6	27222	4.4349200296496605	4.352644888954454	True	E2C	A485
SRR30827779	GSE280522	RNA_L2C_DMSO_rep4	17370806	68.5	26916	4.430010519630592	4.352644888954454	True	L2C	control
SRR30827775	GSE280522	RNA_L2C_A485_rep4	18330059	56.7	29461	4.4692474840921905	4.352644888954454	True	L2C	A485
SRR30827763	GSE280522	RNA_E2C_DMSO_rep4	18727873	66.8	26421	4.421949251062879	4.352644888954454	True	E2C	control
SRR30827781	GSE280522	RNA_L2C_DMSO_rep2	23017740	73.9	26197	4.418251560096693	4.352644888954454	True	L2C	control
SRR30827771	GSE280522	RNA_L2C_A485+Dux_rep3	25491686	69.0	29260	4.466274321789292	4.352644888954454	True	L2C	A485+Dux
SRR30827741	GSE280522	RNA_E2C_A485_rep2	22843483	66.0	27569	4.440421013390565	4.352644888954454	True	E2C	A485
SRR30827780	GSE280522	RNA_L2C_DMSO_rep3	25234485	65.1	27168	4.434057668563859	4.352644888954454	True	L2C	control
SRR30827752	GSE280522	RNA_E2C_A485_rep1	22552458	65.1	27582	4.440625754133953	4.352644888954454	True	E2C	A485
SRR30827784	GSE280522	RNA_E2C_A485+Dux_rep3	22875760	70.5	27698	4.442448410930069	4.352644888954454	True	E2C	A485+Dux
SRR30827785	GSE280522	RNA_E2C_DMSO_rep2	25312895	66.3	27650	4.4416951356407175	4.352644888954454	True	E2C	control
SRR30827786	GSE280522	RNA_E2C_DMSO_rep1	24974739	68.8	29018	4.462667476368572	4.352644888954454	True	E2C	control
SRR30827773	GSE280522	RNA_L2C_A485+Dux_rep1	27105248	68.3	28835	4.4599199557469165	4.352644888954454	True	L2C	A485+Dux
SRR30827714	GSE280522	RNA_E2C_A485+Dux_rep1	28044404	72.3	28883	4.4606423002473194	4.352644888954454	True	E2C	A485+Dux
SRR30827774	GSE280522	RNA_E2C_DMSO_rep3	35898766	72.6	30825	4.488903085267769	4.352644888954454	True	E2C	control
SRR16201705	GSE162345	aAm_late2cell_NT1 Mus musculus RNA-Seq	13234768	77.0	19321	4.28602960050819	4.119743308602861	True	NT54hpi	alpha-amanitin_54hpi
SRR16201707	GSE162345	aAm_late2cell_NT3 Mus musculus RNA-Seq	13291400	78.0	19698	4.294422133112984	4.119743308602861	True	NT54hpi	alpha-amanitin_54hpi
SRR16201704	GSE162345	late2cell_NT3 Mus musculus RNA-Seq	14088006	78.1	22299	4.348285387522612	4.119743308602861	True	NT54hpi	control_54hpi
SRR16201701	GSE162345	aAm_early2cell_NT3 Mus musculus RNA-Seq	14769095	79.2	16718	4.22318432089504	4.119743308602861	True	NT45hpi	alpha-amanitin_45hpi
SRR16201702	GSE162345	late2cell_NT1 Mus musculus RNA-Seq	14630529	77.4	24411	4.387585570715276	4.119743308602861	True	NT54hpi	control_54hpi
SRR16201698	GSE162345	early2cell_NT3 Mus musculus RNA-Seq	14770260	81.1	23774	4.3761022583701	4.119743308602861	True	NT45hpi	control_45hpi
SRR16201697	GSE162345	early2cell_NT2 Mus musculus RNA-Seq	15655323	79.3	23788	4.37635792982724	4.119743308602861	True	NT45hpi	control_45hpi
SRR16201696	GSE162345	early2cell_NT1 Mus musculus RNA-Seq	15859476	79.4	24250	4.384711742938283	4.119743308602861	True	NT45hpi	control_45hpi
SRR16201706	GSE162345	aAm_late2cell_NT2 Mus musculus RNA-Seq	16685339	80.8	20418	4.310013199479453	4.119743308602861	True	NT54hpi	alpha-amanitin_54hpi
SRR16201700	GSE162345	aAm_early2cell_NT2 Mus musculus RNA-Seq	20059570	80.2	17570	4.244771761495295	4.119743308602861	True	NT45hpi	alpha-amanitin_45hpi
SRR16201699	GSE162345	aAm_early2cell_NT1 Mus musculus RNA-Seq	21261273	78.2	18217	4.260476858327423	4.119743308602861	True	NT45hpi	alpha-amanitin_45hpi
SRR16201703	GSE162345	late2cell_NT2 Mus musculus RNA-Seq	20693082	77.4	23173	4.364982261632262	4.119743308602861	True	NT54hpi	control_54hpi
SRR22944191	GSE221985	RNA_L2C_Ctrl_rep2 Mus musculus RNA-Seq	8635214	49.9	21561	4.33366889957641	4.262524667775127	True	L2C	control
SRR22944186	GSE221985	RNA_L2C_KO_rep1 Mus musculus RNA-Seq	9827416	40.2	24235	4.384443024058778	4.262524667775127	True	L2C	Tardbp_matKO
SRR22944187	GSE221985	RNA_L2C_Ctrl_rep1 Mus musculus RNA-Seq	10389467	48.4	22046	4.343329803077607	4.262524667775127	True	L2C	control
