Unnamed: 0	species	stage	log10_total_counts	log10_detected	EN_Chronoage_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Multispecies_Multitissue_yugenediff	EN_Mortality_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Mouse_Multitissue_scaleddiff
16-cell_1	Mouse	16-cell	6.347099631754269	4.248144987287778	0.1075527635231514	-0.2107410538701941	0.4557793919769059	-0.0426275349860616
16-cell_10	Mouse	16-cell	6.022356601495091	4.168438552186773	0.0770039167071979	-0.3476101188769218	1.0554210041541383	0.1074003063424655
16-cell_11	Mouse	16-cell	5.848115188234407	4.137132476008993	0.0162867804174856	-0.2739629282520379	0.3302729315537878	0.0881239895911563
16-cell_12	Mouse	16-cell	5.756331006201425	4.150111425128782	-0.1125386004005358	-0.3995523079883393	-0.0118001399162483	0.0575473823172235
16-cell_2	Mouse	16-cell	6.305335029346845	4.229963261979429	0.0164013063212237	-0.3763124099280115	0.4282618476795694	0.0213997087756286
16-cell_3	Mouse	16-cell	6.604697794939673	4.218246579668302	0.1031364503308317	-0.1292359536645432	0.5903877426038528	0.0221210046024037
16-cell_4	Mouse	16-cell	6.326402024340324	4.241521577676051	0.0551593995114489	-0.3198850203389777	0.3060680779647571	0.0285519397572249
16-cell_5	Mouse	16-cell	6.220140004895409	4.221205517674004	0.0322768349863422	-0.2578225000568659	0.3824465074634702	-0.0543411666568637
16-cell_6	Mouse	16-cell	6.1492215767305565	4.211040405732053	-0.0139394529748678	-0.3870385952180808	0.4464727840762823	0.0205569603030482
16-cell_7	Mouse	16-cell	6.136768748980858	4.231240148945076	0.3006317455110477	-0.1171979510125792	0.9419141866595884	0.0701852513982975
16-cell_8	Mouse	16-cell	6.30603645510054	4.244920043912454	0.1056755154771325	-0.2409545142306897	1.0216902377230443	0.0704597346163198
16-cell_9	Mouse	16-cell	6.043221944825778	4.229860948654991	0.0036107729666853	-0.2667710064215159	0.6146472787517582	0.0093438213763086
4-cell_1	Mouse	4-cell	6.268494661718382	4.195622943586937	0.0180124641606456	-0.2464582345141079	0.016960749211262	-0.0599615021661414
4-cell_11	Mouse	4-cell	6.288872712723399	4.211387552936859	-0.1041599424900281	-0.3087919628474279	0.0655748565090831	-0.004744410097156
4-cell_12	Mouse	4-cell	6.057322563589284	4.203386491660478	0.0366231488783347	-0.1976595649094192	0.3624523201698578	-0.0510116072374856
4-cell_2	Mouse	4-cell	6.117501311351978	4.226445232748228	0.0133469629494996	-0.1821875256022102	0.3989607918034222	-0.0687914018335826
4-cell_3	Mouse	4-cell	6.237167337323361	4.262640903755262	-0.1002873260241992	-0.246086844702889	0.2829030370422876	-0.0185960046977943
4-cell_4	Mouse	4-cell	6.265750789342089	4.215373152783422	0.0014862537908623	-0.3039457455398316	-0.1888003107191311	-0.133698967378925
4-cell_5	Mouse	4-cell	6.085284154763766	4.138207932668164	-0.0459160977216879	-0.2788455314053418	0.4326247080550485	-0.0502907915287575
4-cell_6	Mouse	4-cell	6.143572775646112	4.224351745013417	-0.0508064801262761	-0.275001245071966	0.1345618469184971	-0.1126909924071885
4-cell_7	Mouse	4-cell	6.262523228832976	4.226471015317139	0.1621504194211825	-0.1564460665896502	0.3581892308528683	-0.0220440591436335
4-cell_8	Mouse	4-cell	6.069655149268111	4.17070165581607	-0.0642204109263129	-0.2896431638455027	-0.0453048017535256	-0.0757239258453636
4-cell_9	Mouse	4-cell	6.144367751920021	4.185457157401926	-0.0659256155024216	-0.15358364281373	-0.1156259990429682	0.0019377556615113
8-cell_1	Mouse	8-cell	6.2157213480189535	4.21539960109389	0.0783615833205799	-0.3116813803413343	0.7243306075017072	-0.0060287636248342
8-cell_10	Mouse	8-cell	6.021994685107191	4.213278629992795	0.038586108593252	-0.3128850805111629	0.1876113554968215	-0.0182443725759274
8-cell_12	Mouse	8-cell	6.017409425765794	4.142827294538336	0.0751710924105925	-0.2361241717599181	0.3252738603358072	-0.0589205838239357
8-cell_2	Mouse	8-cell	6.359577863629485	4.253846646198501	0.1166424063154521	-0.2994375310782951	0.3303289587943315	-0.0010401842451012
8-cell_3	Mouse	8-cell	6.333618137271501	4.212480587721373	0.0206458539386992	-0.3414644696290774	0.1097361711219911	-0.0099532737329844
8-cell_4	Mouse	8-cell	6.356768305802518	4.2496629873606055	0.0923097445752871	-0.335647581125123	0.5787958958838688	0.0198872962632982
8-cell_5	Mouse	8-cell	6.191963257994389	4.216957207361097	0.1601342129835962	-0.0936948891412897	1.1677965042903913	0.0679418683651052
8-cell_6	Mouse	8-cell	6.069073957602426	4.18974290024157	0.1967731023813905	-0.2534757938644563	0.5308443053097576	-0.0115813601149632
8-cell_7	Mouse	8-cell	6.271795387712567	4.236814275171272	0.0725726687960287	-0.2654934715935316	0.4022490033207942	0.0571930341056741
8-cell_8	Mouse	8-cell	6.002035969996467	4.157758886046864	0.1247222447011631	-0.2356349055433876	0.2798769682350094	-0.0052110265516034
8-cell_9	Mouse	8-cell	6.123335405487213	4.191870015444723	0.1061694812274764	-0.2768308579489232	1.0133619250992878	-0.0313656266033416
Early-2-cell_1	Mouse	Early-2-cell	6.244235545323008	4.247580506233836	0.2450484183202484	-0.0552808524033953	0.4644799926350428	0.0787504398914275
Early-2-cell_10	Mouse	Early-2-cell	6.175332608177849	4.224222186084648	0.1032389955913894	-0.0318075714927193	0.4151959459938253	0.0694359510474716
Early-2-cell_11	Mouse	Early-2-cell	6.14388782266639	4.234719704621876	0.0808084079631235	-0.0623724073473864	0.5287642947384457	0.100622030907557
Early-2-cell_12	Mouse	Early-2-cell	5.774007191788585	4.162444914299978	0.1256164066087738	-0.0180799604647777	0.3689161755147412	0.147394416750764
Early-2-cell_3	Mouse	Early-2-cell	6.2849761358321	4.259498314030925	0.0827581763615206	-0.0735366708631372	0.1652706184405024	0.0720369943243709
Early-2-cell_4	Mouse	Early-2-cell	6.42697507434039	4.267242148825605	0.1039149033681568	-0.0302393798184998	0.0813285951325802	0.0698262100495321
Early-2-cell_6	Mouse	Early-2-cell	6.170708691241747	4.217299658976496	0.0584687038117595	-0.0644435800994218	0.2754861854530985	0.0477666365947245
Early-2-cell_7	Mouse	Early-2-cell	6.289151316420094	4.251954398227403	0.118597458901336	-0.0289418798158916	0.1037395540984064	0.0479533329641687
Early-2-cell_9	Mouse	Early-2-cell	6.495359202615895	4.284250210312084	0.1229918531081244	-0.0676021918982357	0.4828806472713574	0.0852041456530822
Late-2-cell_1	Mouse	Late-2-cell	6.001056654874168	4.224040738627695	-0.0983321582942372	-0.2571676031728389	-0.3159090076360747	0.0064996416513081
Late-2-cell_10	Mouse	Late-2-cell	6.066386312327563	4.1897148423236805	-0.1352337622385338	-0.2049878240049494	-0.0542768568413375	-0.1007741008317196
Late-2-cell_2	Mouse	Late-2-cell	5.917940111651405	4.193681029541281	-0.1255387593798118	-0.2872988725576923	-0.1429128559379162	0.05161171829184
Late-2-cell_3	Mouse	Late-2-cell	6.141891368977103	4.249760740887979	-0.0343785170876853	-0.1918546346069337	0.3478263521440621	-0.0073805020039538
Late-2-cell_4	Mouse	Late-2-cell	6.084857138096166	4.241621180791424	-0.2029810324596096	-0.2211085307976089	0.1915264073812601	0.0357275768788792
Late-2-cell_5	Mouse	Late-2-cell	6.083185024431855	4.22385921533063	-0.089689489187359	-0.1118311720077027	-0.1725979163814194	-0.0178491265805466
Late-2-cell_6	Mouse	Late-2-cell	6.034363708948805	4.226032503344959	0.0192979469991438	-0.2369137658513635	0.251195425461097	0.047330858277833
Late-2-cell_7	Mouse	Late-2-cell	6.118785699173079	4.2430132311496775	0.0579515432246671	-0.1707069610803271	0.2589613458278518	0.1162554930548849
Late-2-cell_8	Mouse	Late-2-cell	5.912912020448067	4.208575708947575	0.0094701354470486	-0.2146017589221253	-0.2914711058887715	-0.0877717088271651
Late-2-cell_9	Mouse	Late-2-cell	6.206900050431747	4.259283216189964	-0.1506677230996081	-0.2786263299073841	-0.1792971319849087	-0.0330728455004175
Oocyte_1	Mouse	Oocyte	6.305534293592832	4.2578944687308	-0.090158523597379	-0.1058224601655714	-0.2213746310366846	-0.0400919802227561
Oocyte_10	Mouse	Oocyte	6.5913851984401	4.282984440133955	0.0705715266343756	0.0379026906223525	0.2950842122582457	0.0222383013322083
Oocyte_11	Mouse	Oocyte	6.213905394311555	4.222586423390389	-0.0197099922606322	0.0162343575869689	-0.2556864584182339	0.0518295719588084
Oocyte_12	Mouse	Oocyte	6.1994468942527154	4.225541877187231	0.0669219043468616	0.0053636026894037	0.3126951766559669	0.0284415422604468
Oocyte_2	Mouse	Oocyte	6.539435811712525	4.303779046595532	0.0150179199011507	-0.0725198841083733	0.093031110503375	0.0130160176702641
Oocyte_3	Mouse	Oocyte	6.409445155181617	4.268882058732568	0.0250885054709956	0.0037054754329746	0.0226330599954455	-0.0080545387683568
Oocyte_4	Mouse	Oocyte	6.564147796840342	4.26609051627518	-0.0193203140722543	0.003768179181868	-0.2035721116304633	-0.0566928117731233
Oocyte_5	Mouse	Oocyte	6.508435039187742	4.269489594424535	-0.0620450243983778	0.0015332344377748	0.0632749208425081	-0.04325856965148
Oocyte_6	Mouse	Oocyte	6.30507673111571	4.246030551190584	0.0684554741866461	-0.0051406483501259	0.0927381777662159	0.0070910043561952
Oocyte_7	Mouse	Oocyte	6.421241040706835	4.258182160366098	0.0132737893791603	0.0114028625478508	0.0745973073912279	0.0026603368964018
Oocyte_8	Mouse	Oocyte	6.4684455525797855	4.273510545540457	0.0201633468657436	-0.0191681356019566	0.0900638794330247	0.0409900029207078
Zygote_1	Mouse	Zygote	6.231859108342008	4.203984244420126	0.062609543927849	-0.0143737624213699	0.2622805873737361	0.142759382613372
Zygote_10	Mouse	Zygote	6.288791642987569	4.193931191174947	0.2189641225278108	0.0257338149359632	0.4843287650950891	0.1328828801886845
Zygote_11	Mouse	Zygote	6.234377557918082	4.179551791165188	0.1078239725003244	0.047727417621991	0.4738661907182681	0.1833489887750549
Zygote_12	Mouse	Zygote	6.276525450076284	4.206987694756409	0.0950737825772955	-0.0116796873678091	0.2369439217084989	0.0992472228152742
Zygote_2	Mouse	Zygote	6.338856139495447	4.251029538523903	0.0543305292551601	0.0064005150147024	0.1064850622508654	0.0488882284960504
Zygote_3	Mouse	Zygote	6.38535312947081	4.246178404510863	0.1192161499446554	0.0322770970880704	0.4891825773737094	0.0773559151348089
Zygote_4	Mouse	Zygote	5.810354184080159	4.16025838620267	0.15494853623183	0.0639131823441008	0.8744205937914769	0.152964247279783
Zygote_5	Mouse	Zygote	6.343154442409166	4.206933761880598	0.2269675563309387	0.0291337502863301	0.5157358546613529	0.1426335133965501
Zygote_6	Mouse	Zygote	6.381607964420734	4.20828007854531	0.179345806169341	-0.0020255582944408	0.0794134541619939	0.1234423763865572
Zygote_7	Mouse	Zygote	6.060521065409548	4.19835462473694	0.0899011280056054	-0.0278305847746341	0.142933431320094	0.0497966741710215
Zygote_8	Mouse	Zygote	6.163619290297786	4.202379321079624	0.0913415289787143	0.0285090436867073	0.156199589846613	0.0618671520643992
