species	analysis	interval	cell_number	delta	ci_lo	ci_hi	ci_excludes_0	p_boot_most_negative	is_zga	feature_coverage	n_genes_mapped	n_genes_raw
Mouse	primary	Oocyte->Zygote	fertilisation	0.1192967312721122	0.0760222920507095	0.1655768210985264	True	0.0	False	0.6921903308858587	54838.0	54838.0
Mouse	primary	Zygote->Early-2-cell	1->2	-0.0116043166026966	-0.0574472639403561	0.0352437401827646	False	0.0	False	0.6921903308858587	54838.0	54838.0
Mouse	primary	Early-2-cell->Late-2-cell	within-2-cell	-0.1907261065003133	-0.2512696888293595	-0.1326768230446042	True	1.0	True	0.6921903308858587	54838.0	54838.0
Mouse	primary	Late-2-cell->4-cell	2->4	0.0568559430993802	-0.0081465521132477	0.1234360525157543	False	0.0	False	0.6921903308858587	54838.0	54838.0
Mouse	primary	4-cell->8-cell	4->8	0.116525920257629	0.0655821308557517	0.1663711716533636	True	0.0	False	0.6921903308858587	54838.0	54838.0
Mouse	primary	8-cell->16-cell	8->16	-0.0407668957179821	-0.0986418615762571	0.0246785954030344	False	0.0	False	0.6921903308858587	54838.0	54838.0
Mouse	primary_residualised_depth_detected	Oocyte->Zygote	fertilisation	0.109172588064183	0.0672051757401129	0.1536759128245601	True	0.0	False			
Mouse	primary_residualised_depth_detected	Zygote->Early-2-cell	1->2	0.0200065123632532	-0.0251208464242783	0.066400143758368	False	0.0	False			
Mouse	primary_residualised_depth_detected	Early-2-cell->Late-2-cell	within-2-cell	-0.1655299880154669	-0.228367107328018	-0.1015841978015078	True	0.997	True			
Mouse	primary_residualised_depth_detected	Late-2-cell->4-cell	2->4	0.0118120778431302	-0.0557205129477682	0.0807156242727253	False	0.002	False			
Mouse	primary_residualised_depth_detected	4-cell->8-cell	4->8	0.1177579084145655	0.0575583930875547	0.1757940620216735	True	0.0	False			
Mouse	primary_residualised_depth_detected	8-cell->16-cell	8->16	-0.0360594510750863	-0.0918347262053703	0.028740820016819	False	0.001	False			
Mouse	EN_Chronoage_Multispecies_Multitissue_yugenediff	Oocyte->Zygote	fertilisation	0.0273205412587677	0.0011174200345683	0.0552660043770691	True	0.0	False	0.6921903308858587	54838.0	54838.0
Mouse	EN_Chronoage_Multispecies_Multitissue_yugenediff	Zygote->Early-2-cell	1->2	-0.0641961261546931	-0.0839673332236493	-0.0447085414963163	True	0.0	False	0.6921903308858587	54838.0	54838.0
Mouse	EN_Chronoage_Multispecies_Multitissue_yugenediff	Early-2-cell->Late-2-cell	within-2-cell	-0.1694759126016187	-0.2019587949122164	-0.1350953563933635	True	1.0	True	0.6921903308858587	54838.0	54838.0
Mouse	EN_Chronoage_Multispecies_Multitissue_yugenediff	Late-2-cell->4-cell	2->4	-0.0223674845129325	-0.0670501111619387	0.0224914044559965	False	0.0	False	0.6921903308858587	54838.0	54838.0
Mouse	EN_Chronoage_Multispecies_Multitissue_yugenediff	4-cell->8-cell	4->8	-0.0294291458813112	-0.07770229839056	0.0237541615648171	False	0.0	False	0.6921903308858587	54838.0	54838.0
Mouse	EN_Chronoage_Multispecies_Multitissue_yugenediff	8-cell->16-cell	8->16	-0.0079506543030934	-0.0750565405819179	0.0543669446518666	False	0.0	False	0.6921903308858587	54838.0	54838.0
Mouse	EN_Mortality_Multispecies_Multitissue_scaleddiff	Oocyte->Zygote	fertilisation	0.3143913985946427	0.1497829008926099	0.4961326709822293	True	0.0	False	0.6921903308858587	54838.0	54838.0
Mouse	EN_Mortality_Multispecies_Multitissue_scaleddiff	Zygote->Early-2-cell	1->2	-0.0267619005318917	-0.2153217494655511	0.1384643866119855	False	0.023	False	0.6921903308858587	54838.0	54838.0
Mouse	EN_Mortality_Multispecies_Multitissue_scaleddiff	Early-2-cell->Late-2-cell	within-2-cell	-0.3313690909720601	-0.522473502126369	-0.1506773058247763	True	0.97	True	0.6921903308858587	54838.0	54838.0
Mouse	EN_Mortality_Multispecies_Multitissue_scaleddiff	Late-2-cell->4-cell	2->4	0.165467937026225	-0.0221195509096087	0.3566680211670435	False	0.001	False	0.6921903308858587	54838.0	54838.0
Mouse	EN_Mortality_Multispecies_Multitissue_scaleddiff	4-cell->8-cell	4->8	0.3588826478493696	0.146171254425683	0.5938249344150984	True	0.0	False	0.6921903308858587	54838.0	54838.0
Mouse	EN_Mortality_Multispecies_Multitissue_scaleddiff	8-cell->16-cell	8->16	0.03314177040093	-0.2309376459415206	0.2920125059050916	False	0.006	False	0.6921903308858587	54838.0	54838.0
Mouse	EN_Chronoage_Mouse_Multitissue_scaleddiff	Oocyte->Zygote	fertilisation	0.10881979130384	0.076035537571353	0.1417464235726884	True	0.0	False	0.6131855309218203	54838.0	54838.0
Mouse	EN_Chronoage_Mouse_Multitissue_scaleddiff	Zygote->Early-2-cell	1->2	-0.0305837120391911	-0.0605155160375513	0.0006708202483179	False	0.003	False	0.6131855309218203	54838.0	54838.0
Mouse	EN_Chronoage_Mouse_Multitissue_scaleddiff	Early-2-cell->Late-2-cell	within-2-cell	-0.0788300949125834	-0.1218258488382127	-0.0360403941574082	True	0.709	True	0.6131855309218203	54838.0	54838.0
Mouse	EN_Chronoage_Mouse_Multitissue_scaleddiff	Late-2-cell->4-cell	2->4	-0.0552046010478685	-0.1012765878625633	-0.0096669297825899	True	0.288	False	0.6131855309218203	54838.0	54838.0
Mouse	EN_Chronoage_Mouse_Multitissue_scaleddiff	4-cell->8-cell	4->8	0.0543902649214457	0.0231334848280848	0.0882154467898382	True	0.0	False	0.6131855309218203	54838.0	54838.0
