species	interval	cell_number	d_zygotic	d_zygotic_lo	d_zygotic_hi	p_boot_max_zygotic	d_maternal	d_maternal_lo	d_maternal_hi	d_clock	d_clock_lo	d_clock_hi	literature_zga
Mouse	Oocyte->Zygote	fertilisation	-2.034731607022952e-05	-4.305788885488328e-05	1.9031509693605516e-06	0.0	-0.0445895628863716	-0.0541587794385141	-0.0347659029508067	0.1192967312721122	0.0760222920507095	0.1655768210985264	False
Mouse	Zygote->Early-2-cell	1->2	0.0023871430319081	0.0014261697353247	0.0035221830244462	0.0	-0.0216680654752369	-0.0365535852874806	-0.0063660766239336	-0.0116043166026966	-0.0574472639403561	0.0352437401827646	False
Mouse	Early-2-cell->Late-2-cell	within-2-cell	0.0287207036718113	0.0254819336903969	0.0317614431049447	1.0	-0.3556092304234418	-0.3784895605165049	-0.3294726666050021	-0.1907261065003133	-0.2512696888293595	-0.1326768230446042	True
Mouse	Late-2-cell->4-cell	2->4	-0.0018591270898592	-0.0054222417384732	0.0017623160927914	0.0	-0.0448111573535113	-0.0716309181923219	-0.0220707365231638	0.0568559430993802	-0.0081465521132477	0.1234360525157543	False
Mouse	4-cell->8-cell	4->8	0.0009838545475428	-0.0018916264355144	0.0036085413285505	0.0	0.0555324704764719	0.0389457462513981	0.06974860553249	0.116525920257629	0.0655821308557517	0.1663711716533636	False
Mouse	8-cell->16-cell	8->16	0.0039433335896771	0.0013239712765884	0.0065494321376387	0.0	0.0092293859575763	-0.0016160696431834	0.0215494093146007	-0.0407668957179821	-0.0986418615762571	0.0246785954030344	False
Pig	Oocyte->Zygote	fertilisation	-2.2287666709677285e-07	-5.688314840744012e-06	6.274124680226717e-06	0.0	-0.0499522738724639	-0.0697460562373638	-0.031831239761891	0.1057096995414879	0.0672195112790183	0.1444347287646402	False
Pig	Zygote->2-cell	1->2	6.321306022413691e-05	6.184525195362831e-06	0.0001691989843609	0.0	-0.0245713517193069	-0.0566373605453947	0.0060502808489011	0.0635766915299341	0.0029497087881901	0.1306709063821209	False
Pig	2-cell->4-cell	2->4	1.753281020535686e-05	-0.0001037809964933	0.0001084458526094	0.0	-0.0098438065607679	-0.0375875005484519	0.0200774496056334	-0.0365358900517497	-0.1119436627317178	0.0305452043857273	True
Pig	4-cell->Day2	4->8	0.000430251882021	0.0001661980361849	0.0007324859099007	0.0	-0.0652959728281142	-0.0925865142837681	-0.0378211400876506	-0.0479532887413672	-0.1042604178795661	0.0056154415621692	False
Pig	Day2->Day3	8->16	0.0060190310419683	0.0042357222246483	0.007544837551332	0.656	-0.1338129711891929	-0.1644555190514428	-0.1021134972939141	-0.0621293072445448	-0.1322498500340969	0.0141067032457896	False
Pig	Day3->Morula	16->morula	0.0053703053113656	0.0036402986358628	0.0072696828907987	0.344	0.0005073974393899	-0.0229618902989373	0.0224127177710033	-0.1356553336357566	-0.2180191296497777	-0.0535267519279819	False
Cow	Oocyte->Zygote	fertilisation	-1.6349490381688692e-06	-6.369296628456792e-06	3.1051462147310977e-06	0.0	-0.0091632934722528	-0.0214743503242192	0.0020909865304253	0.0126033953866699	-0.0346905350640956	0.0653659620073417	False
Cow	Zygote->2-cell	1->2	2.8753934367942746e-06	-3.0383941045307333e-06	8.589167643485586e-06	0.0	0.0008076961757549	-0.0106570661270804	0.0138781935991023	0.0270382105009598	-0.0218971636951058	0.0750110195338293	False
Cow	2-cell->4-cell	2->4	1.82398199474345e-05	8.216011482803793e-06	3.096319215943831e-05	0.0	-0.013882361397888	-0.0231085796477613	-0.0058892305192597	0.0490773639523662	0.0023784610371779	0.0976508819438209	False
Cow	4-cell->8-cell	4->8	0.0001716983579053	5.045166928851294e-05	0.0003354942147687	0.0	0.0079751694331296	-0.002482069657301	0.0181420418426925	-0.0351167227806711	-0.0769808414830373	0.003579351156551	False
Cow	8-cell->16-cell	8->16	0.0178977613429577	0.0155462936587969	0.0203196191823653	1.0	-0.2751633153196126	-0.2940668035320997	-0.2535658009846583	-0.3139086126413045	-0.3762353243191	-0.2493461569237215	True
Cow	16-cell->Morula	16->morula	-0.0096749133465924	-0.0121883076312544	-0.0071242856258844	0.0	-0.0033401262038619	-0.0249814166329352	0.0154019710393037	-0.3886977429261966	-0.468109163216747	-0.3078584280908204	False
Rabbit	Oocyte->Zygote	fertilisation	8.219936158956318e-06	4.47057244793418e-06	1.210118029558757e-05	0.0	0.0063716331968483	-0.0056788263791464	0.0184061537637368	0.1291810244162632	0.0819323972356604	0.1775871131038343	False
Rabbit	Zygote->2-cell	1->2	2.377810531825965e-05	1.2298690974831482e-05	3.7415629904869726e-05	0.0	-0.0404887915565392	-0.0509892200403641	-0.0284176320518068	-0.0002757623839402	-0.0443469221260549	0.044871049353288	False
Rabbit	2-cell->4-cell	2->4	-4.467682980488936e-06	-2.167647449802027e-05	1.1576016335490371e-05	0.0	-0.0015751530814875	-0.0121359761066641	0.0083045540200794	-0.0007845039241041	-0.0505087497981418	0.0468307414233194	False
Rabbit	4-cell->8-cell	4->8	0.0017048012002114	0.0012078609430951	0.002296500527585	0.0	-0.1928547259675856	-0.2137646316922952	-0.1701625781776119	-0.1283476406853748	-0.1830158709944462	-0.0777499197414716	False
Rabbit	8-cell->16-cell	8->16	0.0006261377859223	-4.558091502374544e-06	0.0011660275414889	0.0	-0.0403666495887033	-0.0630549726331749	-0.02016353383721	0.0152000456111114	-0.0448466487133857	0.0763468862950565	True
Rabbit	16-cell->Morula	16->morula	0.0052412331545207	0.0034746166365299	0.0071435144865026	1.0	0.0279368641374186	0.0153576005848434	0.0393376355073882	-0.035942060671518	-0.0977475750362428	0.027755633667584	False
