species	variant	interval	cell_number	delta	ci_lo	ci_hi	data_zga	n_genes
Mouse	V0_original	Oocyte->Zygote	fertilisation	0.1192967312721122	0.0737086334202194	0.1639276199392536	False	54838
Mouse	V0_original	Zygote->Early-2-cell	1->2	-0.0116043166026966	-0.0576847261848991	0.0356863444209207	False	54838
Mouse	V0_original	Early-2-cell->Late-2-cell	within-2-cell	-0.1907261065003133	-0.2512237781576876	-0.1341592485438011	True	54838
Mouse	V0_original	Late-2-cell->4-cell	2->4	0.0568559430993802	-0.0049479215331497	0.1238593637083355	False	54838
Mouse	V0_original	4-cell->8-cell	4->8	0.116525920257629	0.0644116599115383	0.1634430780128991	False	54838
Mouse	V0_original	8-cell->16-cell	8->16	-0.0407668957179821	-0.0979820453123964	0.0226845249844617	False	54838
Mouse	V1_drop_nonclock_dynamic	Oocyte->Zygote	fertilisation	0.1337866435276433	0.0887519267846246	0.1836232702356562	False	53080
Mouse	V1_drop_nonclock_dynamic	Zygote->Early-2-cell	1->2	-0.0111460727792752	-0.0602779628954228	0.0408632709054542	False	53080
Mouse	V1_drop_nonclock_dynamic	Early-2-cell->Late-2-cell	within-2-cell	-0.1788031598688036	-0.2373967114720823	-0.1195794353176156	True	53080
Mouse	V1_drop_nonclock_dynamic	Late-2-cell->4-cell	2->4	0.0654183271872969	-0.0016274175516031	0.1339653763320826	False	53080
Mouse	V1_drop_nonclock_dynamic	4-cell->8-cell	4->8	0.119972149606908	0.0612138715681603	0.1691770312720564	False	53080
Mouse	V1_drop_nonclock_dynamic	8-cell->16-cell	8->16	-0.0423885468066353	-0.1024580036209234	0.0236533879358999	False	53080
Mouse	V2_drop_all_dynamic	Oocyte->Zygote	fertilisation	0.0456107864751675	0.0028443388881474	0.0891562596877801	False	51282
Mouse	V2_drop_all_dynamic	Zygote->Early-2-cell	1->2	-0.0442479985430946	-0.0981978164224531	0.0077567058921183	False	51282
Mouse	V2_drop_all_dynamic	Early-2-cell->Late-2-cell	within-2-cell	-0.08084462580902	-0.1263176931996929	-0.0324579072235094	True	51282
Mouse	V2_drop_all_dynamic	Late-2-cell->4-cell	2->4	0.1563795310076035	0.1121322034382433	0.200882303337864	False	51282
Mouse	V2_drop_all_dynamic	4-cell->8-cell	4->8	0.1287572146174452	0.0775712260696565	0.1779447983849286	False	51282
Mouse	V2_drop_all_dynamic	8-cell->16-cell	8->16	-0.0323541965903155	-0.082275764947371	0.0232377473191931	False	51282
Cow	V0_original	Oocyte->Zygote	fertilisation	0.0126033953866699	-0.0355874774869161	0.0596603705426021	False	14695
Cow	V0_original	Zygote->2-cell	1->2	0.0270382105009598	-0.0241051985882827	0.0750539173215264	False	14695
Cow	V0_original	2-cell->4-cell	2->4	0.0490773639523662	0.001514161825306	0.0949604176178224	False	14695
Cow	V0_original	4-cell->8-cell	4->8	-0.0351167227806711	-0.0767016892834263	0.0055874106731011	False	14695
Cow	V0_original	8-cell->16-cell	8->16	-0.3139086126413045	-0.3750286541925234	-0.2473828711185425	True	14695
Cow	V0_original	16-cell->Morula	16->morula	-0.3886977429261966	-0.4694747601243768	-0.3120095618415411	False	14695
Cow	V1_drop_nonclock_dynamic	Oocyte->Zygote	fertilisation	0.0122651280100046	-0.0373451705574208	0.0635825222654746	False	14174
Cow	V1_drop_nonclock_dynamic	Zygote->2-cell	1->2	0.0276850618161481	-0.0254362230507546	0.0793163899650391	False	14174
Cow	V1_drop_nonclock_dynamic	2-cell->4-cell	2->4	0.0487993636011286	0.0003554979278477	0.0975437347815935	False	14174
Cow	V1_drop_nonclock_dynamic	4-cell->8-cell	4->8	-0.0358757378921567	-0.0783419902922185	0.0075369349423074	False	14174
Cow	V1_drop_nonclock_dynamic	8-cell->16-cell	8->16	-0.3113997378986278	-0.3753094021445766	-0.2445673858074417	True	14174
Cow	V1_drop_nonclock_dynamic	16-cell->Morula	16->morula	-0.3925625771935882	-0.4748937088229739	-0.3139243918140314	False	14174
Cow	V2_drop_all_dynamic	Oocyte->Zygote	fertilisation	0.0426690298471328	-0.0069722625221807	0.0931698454379435	False	12932
Cow	V2_drop_all_dynamic	Zygote->2-cell	1->2	0.032811355191961	-0.0220698969249021	0.0809719364640139	False	12932
Cow	V2_drop_all_dynamic	2-cell->4-cell	2->4	0.0429811708134995	-0.0022926158607779	0.0944524122585015	False	12932
Cow	V2_drop_all_dynamic	4-cell->8-cell	4->8	0.0085484849911217	-0.0361696339037477	0.0504568776359566	False	12932
