Unnamed: 0	stage	n_cells	tAge_primary	tAge_V2
16cell_1	16C	14	-0.0811862290270057	-0.1019009091087695
16cell_4	16C	11	-0.0618738784265588	-0.0839103574805412
16cell_5	16C	13	-0.0259034996661199	-0.1027861321489274
16cell_6	16C	12	0.0128468617084073	-0.0200524087312212
4cell_1	4C	3	-0.044313647474784	-0.0643798052934655
4cell_2	4C	4	-0.1171187085931386	-0.0754250464636786
4cell_3	4C	3	-0.2699671983852456	-0.2624142204796441
4cell_4	4C	4	-0.1915198163620447	-0.2362797100136634
8cell_1	8C	7	0.0995757216920211	0.1024485864654008
8cell_2	8C	7	0.208235819315133	0.1212902857564453
8cell_5	8C	7	0.018827694584563	-0.0105568747277672
8cell_8	8C	7	-0.2640148363439227	-0.2637526835333534
early2cell_0r	Early-2C	2	0.0328892348121878	-0.0022387315616949
early2cell_1	Early-2C	2	0.076792348405164	0.0595409688172348
early2cell_2	Early-2C	2	-0.0082696742544382	0.0051173058531851
early2cell_3	Early-2C	2	-0.0769680882968487	-0.0623740023887421
earlyblast_2	EarlyBl	15	-0.3299027447189152	-0.2673302334441619
earlyblast_3	EarlyBl	15	-0.2664161119592377	-0.2197220135450693
earlyblast_4	EarlyBl	13	-0.2426671815329358	-0.1754099649228098
late2cell_5	Late-2C	2	-0.1728275204601598	-0.2334964900438648
late2cell_6	Late-2C	2	-0.0997572155058049	-0.1800580750746769
late2cell_7	Late-2C	2	0.0521110199678721	-0.0445255490420987
late2cell_8	Late-2C	2	-0.1670830496065946	-0.2416660597385824
late2cell_9	Late-2C	2	-0.2652604479032796	-0.1855885999446048
lateblast_1	LateBl	19	-0.3530466779145237	-0.2899835526796066
lateblast_2	LateBl	11	-0.2626892926679269	-0.2878161581461151
mid2cell_0r	Mid-2C	2	0.0516185582551443	-0.0495939018809833
mid2cell_3	Mid-2C	2	-0.0497771099971715	-0.1482374654211995
mid2cell_4	Mid-2C	2	0.1535510999717428	0.0331498137526148
mid2cell_5	Mid-2C	2	0.0485368594037968	-0.0315780575420405
mid2cell_6	Mid-2C	2	-0.0830833127232054	-0.1942958463923176
mid2cell_7	Mid-2C	2	-0.0419667834212175	-0.1398643440094559
midblast_1	MidBl	22	-0.2343692629674585	-0.2284586879167571
midblast_2	MidBl	20	-0.2117378880220477	-0.2337655861548935
midblast_3	MidBl	18	-0.4417388147683022	-0.3586689312130394
zy1	Zygote	1	-0.0006251727502334	-0.0192142724958756
zy2	Zygote	1	0.1478807760066323	0.1601822193607064
zy3	Zygote	1	-0.1268017000565171	-0.1262609215617265
zy4	Zygote	1	-0.055768083489233	-0.0335842369767324
