analysis	interval	delta	rep_values
primary	MII->Zygote	-0.127620440544151	-0.141;-0.105
primary	Zygote->Early-2C	0.0914939764808954	-0.028;-0.035
primary	Early-2C->2C	-0.2595794803447504	-0.283;-0.300
primary	2C->4C	0.1589925005453338	-0.048;-0.216
primary	4C->8C	-0.0044204764125118	-0.116;-0.157
V2_drop_all_dynamic	MII->Zygote	-0.0655605260294312	-0.077;-0.037
V2_drop_all_dynamic	Zygote->Early-2C	0.0728185635723175	0.029;0.003
V2_drop_all_dynamic	Early-2C->2C	-0.1819170520741795	-0.160;-0.172
V2_drop_all_dynamic	2C->4C	0.1766989622864997	0.056;-0.035
V2_drop_all_dynamic	4C->8C	0.0626419670015419	0.090;0.057
