Unnamed: 0	stage	tAge_primary	tAge_V2
SRR2927026	MII	-0.0041211981869266	0.0018023912637209
SRR2927027	MII	0.013321717349433	0.0150406995918563
SRR1840514	Zygote	-0.1413082559455077	-0.0774887588883197
SRR1840515	Zygote	-0.1047321059802879	-0.0367892023149655
SRR2927028	Early-2C	-0.0279014037425807	0.0288279008660046
SRR2927029	Early-2C	-0.0351510052214242	0.0025312650753452
SRR1840516	2C	-0.2825491769865347	-0.1603231871536482
SRR1840517	2C	-0.299662192666971	-0.172151751053361
SRR1840518	4C	-0.0482316327952101	0.0563540550744943
SRR1840519	4C	-0.2159947357676279	-0.0354310687085042
SRR1840520	8C	-0.1160149439614023	0.0895117839930776
SRR1840521	8C	-0.1570523774264593	0.0566951363759964
SRR1840522	ICM	-0.4253701702198878	-0.1703648708933731
SRR1840523	ICM	-0.2918719530252985	-0.1164305975286251
SRR1840526	ICM	-0.4262056809606298	-0.2301311145075856
