gse	variant	arm	n_E2C	n_L2C	drop	ci_lo	ci_hi
GSE280522	V0	A485+Dux	4.0	4.0	-0.063680218982827	-0.1170070713597152	-0.0055899817037329
GSE280522	V0	A485	4.0	3.0	-0.05655118386818	-0.0786054268326278	-0.0337964555017412
GSE280522	V0	control	4.0	4.0	-0.2374833348690357	-0.3054396960844993	-0.1692834934898344
GSE280522	V0	INTERACTION A485+Dux - control			0.1738031158862087	0.0871370423368137	0.2586541191054671
GSE280522	V0	INTERACTION A485 - control			0.1809321510008557	0.1081836754954964	0.2525898159181188
GSE280522	V0	RESCUE A485+Dux - A485			-0.007129035114647	-0.0629255405221126	0.057173662176732
GSE280522	V2	A485+Dux	4.0	4.0	-0.0490547234365642	-0.0999871739817517	0.0078130817081827
GSE280522	V2	A485	4.0	3.0	-0.0430141316959294	-0.0673904075514414	-0.0191584688380504
GSE280522	V2	control	4.0	4.0	-0.2239728637286148	-0.2898429638081068	-0.1529132011309747
GSE280522	V2	INTERACTION A485+Dux - control			0.1749181402920505	0.0865820022099651	0.2637916219443408
GSE280522	V2	INTERACTION A485 - control			0.1809587320326853	0.111695293016265	0.25103216350893
GSE280522	V2	RESCUE A485+Dux - A485			-0.0060405917406348	-0.0633206211414138	0.0583362491388427
GSE221985	V0	control	2.0	2.0	-0.1003001525520943	-0.164731637088057	-0.0358686680161317
GSE221985	V0	Tardbp_matKO	2.0	2.0	-0.0587537077080804	-0.0996844021706065	-0.0178230132455543
GSE221985	V0	INTERACTION Tardbp_matKO - control			0.0415464448440139	-0.0533538924249574	0.1364467821129852
GSE221985	V2	control	2.0	2.0	-0.0722231318624526	-0.1446466645582566	0.0002004008333513
GSE221985	V2	Tardbp_matKO	2.0	2.0	-0.0870728881436313	-0.1258018545534595	-0.0483439217338031
GSE221985	V2	INTERACTION Tardbp_matKO - control			-0.0148497562811787	-0.1196235271709342	0.0906706032267053
GSE300734	V0	Brg1_matKO	3.0	3.0	-0.0623251502983326	-0.1350999449194052	0.0210819060985913
GSE300734	V0	control	2.0	3.0	-0.1714361644304418	-0.2601168222504638	-0.0817125897692958
GSE300734	V0	INTERACTION Brg1_matKO - control			0.1091110141321092	-0.0107527041637994	0.2228163930436608
GSE300734	V2	Brg1_matKO	3.0	3.0	-0.0459610350113048	-0.1193749922190762	0.039411855924155
GSE300734	V2	control	2.0	3.0	-0.1507870923216614	-0.234754498607052	-0.0558473312888796
GSE300734	V2	INTERACTION Brg1_matKO - control			0.1048260573103565	-0.0109599751460612	0.2169066661424546
