gsm	title	source_name_ch1	organism_ch1	ch:tissue	ch:genotype	description	library_strategy	supplementary_file_1
GSM7038097	Mouse_Oocyte_1	Oocyte	Mus musculus	Oocyte	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038098	Mouse_Oocyte_2	Oocyte	Mus musculus	Oocyte	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038099	Mouse_Oocyte_3	Oocyte	Mus musculus	Oocyte	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038100	Mouse_Oocyte_4	Oocyte	Mus musculus	Oocyte	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038101	Mouse_Oocyte_5	Oocyte	Mus musculus	Oocyte	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038102	Mouse_Oocyte_6	Oocyte	Mus musculus	Oocyte	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038103	Mouse_Oocyte_7	Oocyte	Mus musculus	Oocyte	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038104	Mouse_Oocyte_8	Oocyte	Mus musculus	Oocyte	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038105	Mouse_Oocyte_10	Oocyte	Mus musculus	Oocyte	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038106	Mouse_Oocyte_11	Oocyte	Mus musculus	Oocyte	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038107	Mouse_Oocyte_12	Oocyte	Mus musculus	Oocyte	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038108	Mouse_Zygote_1	Zygote	Mus musculus	Zygote	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038109	Mouse_Zygote_2	Zygote	Mus musculus	Zygote	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038110	Mouse_Zygote_3	Zygote	Mus musculus	Zygote	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038111	Mouse_Zygote_4	Zygote	Mus musculus	Zygote	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038112	Mouse_Zygote_5	Zygote	Mus musculus	Zygote	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038113	Mouse_Zygote_6	Zygote	Mus musculus	Zygote	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038114	Mouse_Zygote_7	Zygote	Mus musculus	Zygote	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038115	Mouse_Zygote_8	Zygote	Mus musculus	Zygote	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038116	Mouse_Zygote_10	Zygote	Mus musculus	Zygote	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038117	Mouse_Zygote_11	Zygote	Mus musculus	Zygote	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038118	Mouse_Zygote_12	Zygote	Mus musculus	Zygote	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038119	Mouse_Early-2-cell_1	Early 2 cell embryo	Mus musculus	Early 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038120	Mouse_Early-2-cell_3	Early 2 cell embryo	Mus musculus	Early 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038121	Mouse_Early-2-cell_4	Early 2 cell embryo	Mus musculus	Early 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038122	Mouse_Early-2-cell_6	Early 2 cell embryo	Mus musculus	Early 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038123	Mouse_Early-2-cell_7	Early 2 cell embryo	Mus musculus	Early 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038124	Mouse_Early-2-cell_9	Early 2 cell embryo	Mus musculus	Early 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038125	Mouse_Early-2-cell_10	Early 2 cell embryo	Mus musculus	Early 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038126	Mouse_Early-2-cell_11	Early 2 cell embryo	Mus musculus	Early 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038127	Mouse_Early-2-cell_12	Early 2 cell embryo	Mus musculus	Early 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038128	Mouse_Late-2-cell_1	Late 2 cell embryo	Mus musculus	Late 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038129	Mouse_Late-2-cell_2	Late 2 cell embryo	Mus musculus	Late 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038130	Mouse_Late-2-cell_3	Late 2 cell embryo	Mus musculus	Late 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038131	Mouse_Late-2-cell_4	Late 2 cell embryo	Mus musculus	Late 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038132	Mouse_Late-2-cell_5	Late 2 cell embryo	Mus musculus	Late 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038133	Mouse_Late-2-cell_6	Late 2 cell embryo	Mus musculus	Late 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038134	Mouse_Late-2-cell_7	Late 2 cell embryo	Mus musculus	Late 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038135	Mouse_Late-2-cell_8	Late 2 cell embryo	Mus musculus	Late 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038136	Mouse_Late-2-cell_9	Late 2 cell embryo	Mus musculus	Late 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038137	Mouse_Late-2-cell_10	Late 2 cell embryo	Mus musculus	Late 2 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038138	Mouse_4-cell_1	4 cell embryo	Mus musculus	4 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038139	Mouse_4-cell_2	4 cell embryo	Mus musculus	4 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038140	Mouse_4-cell_3	4 cell embryo	Mus musculus	4 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038141	Mouse_4-cell_4	4 cell embryo	Mus musculus	4 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038142	Mouse_4-cell_5	4 cell embryo	Mus musculus	4 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038143	Mouse_4-cell_6	4 cell embryo	Mus musculus	4 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
GSM7038144	Mouse_4-cell_7	4 cell embryo	Mus musculus	4 cell embryo	C57BL/6J	2x150bp reads	RNA-Seq	NONE
