gsm	title	source_name_ch1	organism_ch1	ch:strain	ch:cross	ch:developmental stage	data_processing	library_strategy	supplementary_file_1	ch:tissue
GSM1112490	16cell_1-10	16-cell stage blastomere	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	16-cell stage blastomere	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112490/suppl/GSM1112490_16cell_1-10_expression.txt.gz	
GSM1112491	16cell_1-11	16-cell stage blastomere	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	16-cell stage blastomere	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112491/suppl/GSM1112491_16cell_1-11_expression.txt.gz	
GSM1112492	16cell_1-12	16-cell stage blastomere	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	16-cell stage blastomere	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112492/suppl/GSM1112492_16cell_1-12_expression.txt.gz	
GSM1112493	16cell_1-13	16-cell stage blastomere	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	16-cell stage blastomere	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112493/suppl/GSM1112493_16cell_1-13_expression.txt.gz	
GSM1112494	16cell_1-14	16-cell stage blastomere	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	16-cell stage blastomere	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112494/suppl/GSM1112494_16cell_1-14_expression.txt.gz	
GSM1112495	16cell_1-15	16-cell stage blastomere	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	16-cell stage blastomere	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112495/suppl/GSM1112495_16cell_1-15_expression.txt.gz	
GSM1112496	16cell_1-2	16-cell stage blastomere	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	16-cell stage blastomere	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112496/suppl/GSM1112496_16cell_1-2_expression.txt.gz	
GSM1112497	16cell_1-3	16-cell stage blastomere	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	16-cell stage blastomere	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112497/suppl/GSM1112497_16cell_1-3_expression.txt.gz	
GSM1112498	16cell_1-4	16-cell stage blastomere	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	16-cell stage blastomere	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112498/suppl/GSM1112498_16cell_1-4_expression.txt.gz	
GSM1112499	16cell_1-5	16-cell stage blastomere	Mus musculus	CAST/EiJ(mother) x C57BL/6J(father)	first generation cross	16-cell stage blastomere	For expression values, we aligned reads using bowtie 0.12.7, option --best, against the genome and transcriptome (Ensembl, version 16 May 2011) with the genotype of both strains, in mm9 coordinates	RNA-Seq	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1112nnn/GSM1112499/suppl/GSM1112499_16cell_1-5_expression.txt.gz	
