run_accession	sample_title	library_layout	read_count	fastq_bytes
SRR23403444	Rhesus_16-cell_3	PAIRED	23032894	1801369653;2041432119
SRR23403450	Pig_Day3_8	PAIRED	5768112	449577483;503411735
SRR23403452	Pig_Day3_6	PAIRED	7207145	565850281;656014849
SRR23403462	Pig_Day2_8	PAIRED	4939196	383453838;423799599
SRR23403466	Pig_Day2_4	PAIRED	4240944	310182229;335407343
SRR23403468	Pig_Day2_2	PAIRED	6664724	500613501;573280033
SRR23403473	Rhesus_8-cell_1	PAIRED	15146719	1168362278;1302117226
SRR23403475	Rhesus_2-cell_2	PAIRED	13002157	1061448484;1195787308
SRR23403478	Rhesus_Zygote_3	PAIRED	10087040	748400022;846990811
SRR23403481	Rhesus_Oocyte_6	PAIRED	10356175	911035353;966732619
SRR23403488	Rabbit_Morula_11	PAIRED	6741808	494140866;508944544
SRR23403492	Rabbit_Morula_6	PAIRED	4714387	347441814;350266993
SRR23403494	Rabbit_Morula_4	PAIRED	4349399	346820794;347421213
SRR23403496	Rabbit_2-cell_1	PAIRED	7188010	589262303;581202051
SRR23403505	Rabbit_Zygote_3	PAIRED	5705568	479564097;498110911
SRR23403512	Rabbit_Oocyte_9	PAIRED	7579134	652115099;707520817
SRR23403515	Rabbit_Oocyte_6	PAIRED	5717030	518834142;511190927
SRR23403516	Rabbit_Oocyte_5	PAIRED	4017492	348772577;371729452
SRR23403521	Cow_8-cell_11	PAIRED	11276473	918798523;929745244
SRR23403528	Cow_8-cell_4	PAIRED	7738722	610019250;631236960
SRR23403529	Cow_8-cell_3	PAIRED	5883580	489798113;512448158
SRR23403533	Cow_4-cell_11	PAIRED	8345986	671088488;697686282
SRR23403537	Cow_4-cell_7	PAIRED	4603280	454174986;365003700
SRR23403541	Cow_4-cell_3	PAIRED	6039998	508703185;536044857
SRR23403556	Pig_2-cell_10	PAIRED	6254832	526073218;603398425
SRR23403560	Pig_2-cell_5	PAIRED	7624809	622851267;713375929
SRR23403568	Rabbit_8-cell_4	PAIRED	7015849	567753489;587765661
SRR23403578	Rabbit_4-cell_4	PAIRED	6383161	490943157;523900090
SRR23403579	Rabbit_4-cell_3	PAIRED	5012078	444803767;456527934
SRR23403580	Rabbit_4-cell_2	PAIRED	5242176	439729322;476891167
SRR23403586	Rabbit_2-cell_7	PAIRED	5785472	546845120;502376068
SRR23403592	Cow_Oocyte_12	PAIRED	4352817	398360108;400781831
SRR23403593	Cow_Oocyte_11	PAIRED	4984752	422487941;447006062
SRR23403598	Cow_Oocyte_5	PAIRED	6070219	499961631;521206886
SRR23403601	Cow_Oocyte_2	PAIRED	6261719	522649015;542074694
SRR23403606	Pig_Morula_9	PAIRED	6618522	479146227;521970941
SRR23403612	Pig_Morula_3	PAIRED	6686839	481425801;511575330
SRR23403616	Pig_Zygote_9	PAIRED	6747129	562356918;656554900
SRR23403620	Pig_Zygote_5	PAIRED	5883819	465979662;506877726
SRR23403621	Pig_Zygote_4	PAIRED	5572594	447633476;480402321
SRR23403629	Pig_Oocyte_8	PAIRED	5537166	455108614;503439553
SRR23403637	Mouse_16-cell_11	PAIRED	4848446	300743403;316232116
SRR23403641	Mouse_16-cell_7	PAIRED	6056299	439447641;511105096
SRR23403645	Mouse_16-cell_3	PAIRED	12388411	915061296;1083963196
SRR23403647	Mouse_16-cell_1	PAIRED	6897985	540108567;629628266
SRR23403649	Mouse_8-cell_11	PAIRED	4719614	315779443;346718725
SRR23403650	Mouse_8-cell_10	PAIRED	5484668	365266488;430517743
SRR23403651	Mouse_8-cell_9	PAIRED	6379125	477553111;561841992
SRR23403656	Mouse_8-cell_4	PAIRED	8003858	555025139;633657137
SRR23403658	Mouse_8-cell_2	PAIRED	8160627	548718662;623427973
SRR23403660	Mouse_4-cell_12	PAIRED	6289831	445351164;512149018
SRR23403668	Mouse_4-cell_3	PAIRED	7339291	528904434;586033353
SRR23403669	Mouse_4-cell_2	PAIRED	5163938	362897865;405607996
SRR23403670	Mouse_4-cell_1	PAIRED	7661874	543220519;609526279
SRR23403671	Mouse_Late-2-cell_10	PAIRED	6282023	462510177;521803302
SRR23403675	Mouse_Late-2-cell_6	PAIRED	5217323	392175405;457950418
SRR23403677	Mouse_Late-2-cell_4	PAIRED	6351013	452603413;502367206
SRR23403680	Mouse_Late-2-cell_1	PAIRED	6653150	455963748;505293536
SRR23403681	Mouse_Early-2-cell_12	PAIRED	2224937	239993912;179422644
SRR23403687	Mouse_Early-2-cell_4	PAIRED	9355936	753469532;907361195
SRR23403690	Rabbit_16-cell_12	PAIRED	4052826	310573227;309793947
SRR23403695	Rabbit_16-cell_7	PAIRED	7561285	593269459;613389203
SRR23403696	Rabbit_16-cell_6	PAIRED	6208501	483782048;530615092
SRR23403697	Rabbit_16-cell_5	PAIRED	5105458	401118520;440693643
SRR23403699	Rabbit_16-cell_3	PAIRED	4013385	383224916;320943478
SRR23403700	Rabbit_16-cell_2	PAIRED	6030380	475978148;510555092
SRR23403701	Rabbit_16-cell_1	PAIRED	6935591	570334823;613299124
SRR23403702	Rabbit_8-cell_15	PAIRED	2455044	189932569;194948286
SRR23403718	Cow_Morula_6	PAIRED	4698461	338534311;357351822
SRR23403721	Cow_Morula_3	PAIRED	6069554	479049850;475417692
SRR23403733	Cow_16-cell_3	PAIRED	5941194	501592979;450985473
SRR23403739	Cow_2-cell_9	PAIRED	5861020	471256987;478167347
SRR23403740	Cow_2-cell_8	PAIRED	4230943	391175317;373047856
SRR23403750	Cow_Zygote_10	PAIRED	4545649	380896510;404378725
SRR23403769	Mouse_Zygote_4	PAIRED	2093820	224174709;171360196
SRR23403773	Mouse_Oocyte_12	PAIRED	5599700	413044747;452467661
SRR29694180	SS2_PA_sample8	PAIRED	22511027	2436354686;2989816022
SRR29694183	SS2_sample5	PAIRED	17764355	2194742997;2434618088
