run_accession	sample_title	experiment_title	library_layout	read_count	fastq_bytes
SRR2927029	RNA-Seq early 2-cell rep2	Illumina HiSeq 1500 sequencing: GSM1933938: RNA-Seq early 2-cell rep2 Mus musculus RNA-Seq	PAIRED	14796083	1205549339;1354347241
SRR2927034	RNA-Seq 8-cell KD control rep3	Illumina HiSeq 1500 sequencing: GSM1933941: RNA-Seq 8-cell KD control rep3 Mus musculus RNA-Seq	SINGLE	2191624	96043627
SRR2927040	RNA-Seq 8-cell KD Nr5a2 rep4	Illumina HiSeq 1500 sequencing: GSM1933946: RNA-Seq 8-cell KD Nr5a2 rep4 Mus musculus RNA-Seq	SINGLE	7789709	339193240
SRR1840519	RNA-Seq 4-cell rep2	Illumina HiSeq 1500 sequencing: GSM1625865: RNA-Seq 4-cell rep2 Mus musculus RNA-Seq	PAIRED	11799198	1050235081;1070605492
SRR1840520	RNA-Seq 8-cell rep1	Illumina HiSeq 1500 sequencing: GSM1625866: RNA-Seq 8-cell rep1 Mus musculus RNA-Seq	PAIRED	9556650	845282675;862245086
SRR1840530	RNA-Seq mESC rep2	Illumina HiSeq 1500 sequencing: GSM1625874: RNA-Seq mESC rep2 Mus musculus RNA-Seq	PAIRED	1995625	173193112;179832077
SRR1840532	RNA-Seq blastocyst KD control rep2	Illumina HiSeq 1500 sequencing: GSM1625876: RNA-Seq blastocyte KD control rep2 Mus musculus RNA-Seq	SINGLE	10638888	475387486
SRR2927033	RNA-Seq 8-cell KD control rep2	Illumina HiSeq 1500 sequencing: GSM1933940: RNA-Seq 8-cell KD control rep2 Mus musculus RNA-Seq	SINGLE	6817745	278342967
SRR2927035	RNA-Seq 8-cell KD control rep3	Illumina HiSeq 1500 sequencing: GSM1933941: RNA-Seq 8-cell KD control rep3 Mus musculus RNA-Seq	SINGLE	1716792	71225554
SRR2927037	RNA-Seq 8-cell KD Nr5a2 rep1	Illumina HiSeq 1500 sequencing: GSM1933943: RNA-Seq 8-cell KD Nr5a2 rep1 Mus musculus RNA-Seq	SINGLE	12014878	580090138
SRR1840516	RNA-Seq 2-cell rep1	Illumina HiSeq 1500 sequencing: GSM1625862: RNA-Seq 2-cell rep1 Mus musculus RNA-Seq	PAIRED	17541869	1547945493;1630139500
SRR1840523	RNA-Seq ICM rep2	Illumina HiSeq 1500 sequencing: GSM1625869: RNA-Seq ICM rep2 Mus musculus RNA-Seq	PAIRED	10614457	849889817;954822528
SRR1840529	RNA-Seq mESC rep2	Illumina HiSeq 1500 sequencing: GSM1625874: RNA-Seq mESC rep2 Mus musculus RNA-Seq	PAIRED	3585080	285811310;323503467
SRR1840534	RNA-Seq blastocyst KD Gata4 rep1	Illumina HiSeq 1500 sequencing: GSM1625878: RNA-Seq blastocyte KD Gata4 rep1 Mus musculus RNA-Seq	SINGLE	16446312	724627981
SRR1840535	RNA-Seq blastocyst KD Gata4 rep2	Illumina HiSeq 1500 sequencing: GSM1625879: RNA-Seq blastocyte KD Gata4 rep2 Mus musculus RNA-Seq	SINGLE	8372565	371734705
