Gene stable ID	RefSeq mRNA ID
ENSBTAG00000043548	
ENSBTAG00000043567	
ENSBTAG00000043562	
ENSBTAG00000043570	
ENSBTAG00000043555	
ENSBTAG00000043558	
ENSBTAG00000043575	
ENSBTAG00000043565	
ENSBTAG00000043549	
ENSBTAG00000043571	
ENSBTAG00000043579	
ENSBTAG00000043547	
ENSBTAG00000043573	
ENSBTAG00000043557	
ENSBTAG00000043580	
ENSBTAG00000043561	
ENSBTAG00000043545	
ENSBTAG00000043574	
ENSBTAG00000043556	
ENSBTAG00000043576	
ENSBTAG00000043564	
ENSBTAG00000043584	
ENSBTAG00000043560	
ENSBTAG00000043554	
ENSBTAG00000043568	
ENSBTAG00000043552	
ENSBTAG00000043559	
ENSBTAG00000043577	
ENSBTAG00000043544	
ENSBTAG00000043551	
ENSBTAG00000043566	
ENSBTAG00000043563	
ENSBTAG00000043546	
ENSBTAG00000043583	
ENSBTAG00000043550	
ENSBTAG00000043572	
ENSBTAG00000043582	
ENSBTAG00000002138	
ENSBTAG00000002138	NM_001101272
ENSBTAG00000003403	NM_001105452
ENSBTAG00000003403	NM_001430721
ENSBTAG00000003403	NM_001430720
ENSBTAG00000008314	
ENSBTAG00000008314	NM_001040483
ENSBTAG00000008309	
ENSBTAG00000008309	NM_001192271
ENSBTAG00000003832	
ENSBTAG00000003832	NM_174388
ENSBTAG00000003822	
ENSBTAG00000013282	
ENSBTAG00000013282	NM_001015562
ENSBTAG00000013281	
ENSBTAG00000009251	
ENSBTAG00000009251	NM_001114608
ENSBTAG00000008510	
ENSBTAG00000014221	
ENSBTAG00000005670	
ENSBTAG00000005670	NM_001206270
ENSBTAG00000000815	NM_001205731
ENSBTAG00000000815	
ENSBTAG00000034680	
ENSBTAG00000034674	
ENSBTAG00000055045	
ENSBTAG00000008579	NM_001101911
ENSBTAG00000008579	
ENSBTAG00000038945	
ENSBTAG00000010938	NM_001205359
ENSBTAG00000012052	NM_001192173
ENSBTAG00000012052	
ENSBTAG00000012043	
ENSBTAG00000048513	
ENSBTAG00000071769	
ENSBTAG00000076111	
ENSBTAG00000057673	
ENSBTAG00000067571	
ENSBTAG00000063511	
ENSBTAG00000061284	
ENSBTAG00000063340	
ENSBTAG00000059673	
ENSBTAG00000060721	
ENSBTAG00000063423	
ENSBTAG00000056089	
ENSBTAG00000060732	
ENSBTAG00000067907	
ENSBTAG00000061743	
ENSBTAG00000073213	
ENSBTAG00000073030	
ENSBTAG00000053870	
ENSBTAG00000045172	
ENSBTAG00000012798	
ENSBTAG00000013806	NM_001206608
ENSBTAG00000046385	
ENSBTAG00000046385	NM_001076186
ENSBTAG00000004061	
ENSBTAG00000000746	
ENSBTAG00000000752	NM_001081617
ENSBTAG00000021158	NM_001102040
ENSBTAG00000012023	NM_001025335
ENSBTAG00000053325	
ENSBTAG00000049158	
ENSBTAG00000049158	NM_001101948
ENSBTAG00000004538	
ENSBTAG00000004538	NM_001319897
ENSBTAG00000037965	
ENSBTAG00000051758	
ENSBTAG00000012867	
ENSBTAG00000002896	NM_001075954
ENSBTAG00000002896	
ENSBTAG00000072601	
ENSBTAG00000016954	
ENSBTAG00000016954	NM_001075658
ENSBTAG00000012497	NM_001046442
ENSBTAG00000012497	
ENSBTAG00000049541	NM_177493
ENSBTAG00000049541	
ENSBTAG00000049601	NM_001390092
ENSBTAG00000057223	
ENSBTAG00000058520	
ENSBTAG00000068359	
ENSBTAG00000073813	
ENSBTAG00000077371	
ENSBTAG00000071185	
ENSBTAG00000075812	
ENSBTAG00000069648	
ENSBTAG00000065429	
ENSBTAG00000066274	
