accession	status	symbol	title
XM_001249345.5	suppressed	LOC780976	PREDICTED: Bos taurus olfactory receptor 11H6 (LOC780976), mRNA
XM_001249354.6	suppressed	CWC22	PREDICTED: Bos taurus CWC22 homolog, spliceosome-associated protein (CWC22), transcript variant X2, mRNA
XM_001249373.5	suppressed	AGTR2	PREDICTED: Bos taurus angiotensin II receptor type 2 (AGTR2), mRNA
XM_001249417.6	suppressed	MGMT	PREDICTED: Bos taurus O-6-methylguanine-DNA methyltransferase (MGMT), transcript variant X3, mRNA
XM_001249528.7	suppressed	LOC781224	PREDICTED: Bos taurus H3 histone, family 3A-like (LOC781224), mRNA
XM_001249564.7	suppressed	NIPAL2	PREDICTED: Bos taurus NIPA like domain containing 2 (NIPAL2), mRNA
XM_001249611.7	suppressed	UPF2	PREDICTED: Bos taurus UPF2 regulator of nonsense transcripts homolog (yeast) (UPF2), transcript variant X2, mRNA
XM_001249617.6	suppressed	LOC781298	PREDICTED: Bos taurus phosphatidylcholine transfer protein (LOC781298), mRNA
XM_001249682.6	suppressed	LOC781277	PREDICTED: Bos taurus putative olfactory receptor 8G3 pseudogene (LOC781277), mRNA
XM_001249683.2	suppressed	OR6C4	PREDICTED: Bos taurus olfactory receptor, family 6, subfamily C, member 4 (OR6C4), mRNA
XM_001249704.6	suppressed	FOXM1	PREDICTED: Bos taurus forkhead box M1 (FOXM1), transcript variant X3, mRNA
XM_001249716.4	suppressed	LOC786126	PREDICTED: Bos taurus duodenase-1-like (LOC786126), mRNA
XM_001249725.2	suppressed	LOC781323	PREDICTED: Bos taurus gap junction epsilon-1 protein (LOC781323), mRNA
XM_001249759.7	suppressed	LOC781152	PREDICTED: Bos taurus P antigen family, member 3 (prostate associated)-like (LOC781152), transcript variant X4, mRNA
XM_001249766.4	suppressed	RYK	PREDICTED: Bos taurus receptor-like tyrosine kinase (RYK), partial mRNA
XM_001249774.3	suppressed	LOC781363	PREDICTED: Bos taurus olfactory receptor 6C4 (LOC781363), transcript variant X2, mRNA
XM_001249778.1	suppressed	LOC781410	PREDICTED: Bos taurus histone H2B type 1 (LOC781410), mRNA
XM_001249823.4	suppressed	TPD52L3	PREDICTED: Bos taurus tumor protein D52-like 3 (TPD52L3), transcript variant X1, mRNA
XM_001249844.5	suppressed	LOC781223	PREDICTED: Bos taurus histone H4 (LOC781223), mRNA
XM_001249872.2	suppressed	LOC781446	PREDICTED: Bos taurus olfactory receptor 8S1 (LOC781446), mRNA
XM_001249944.7	suppressed	LOC782609	PREDICTED: Bos taurus nucleosome assembly protein 1-like 1 (LOC782609), mRNA
XM_001249956.6	suppressed	ZSWIM4	PREDICTED: Bos taurus zinc finger, SWIM-type containing 4 (ZSWIM4), transcript variant X2, mRNA
XM_001249968.4	suppressed	CCDC182	PREDICTED: Bos taurus coiled-coil domain containing 182 (CCDC182), mRNA
XM_001250013.5	suppressed	PLPP5	PREDICTED: Bos taurus phospholipid phosphatase 5 (PLPP5), transcript variant X2, mRNA
XM_001250060.6	suppressed	LOC782601	PREDICTED: Bos taurus histone H3-like centromeric protein A (LOC782601), transcript variant X2, mRNA
XM_001250065.5	suppressed	MSRB3	PREDICTED: Bos taurus methionine sulfoxide reductase B3 (MSRB3), transcript variant X2, mRNA
XM_001250104.6	suppressed	CMTR2	PREDICTED: Bos taurus cap methyltransferase 2 (CMTR2), mRNA
XM_001250112.4	suppressed	MSRB3	PREDICTED: Bos taurus methionine sulfoxide reductase B3 (MSRB3), transcript variant X3, mRNA
XM_001250146.4	suppressed	GLDN	PREDICTED: Bos taurus gliomedin (GLDN), mRNA
XM_001250151.5	suppressed	TPH1	PREDICTED: Bos taurus tryptophan hydroxylase 1 (TPH1), transcript variant X3, mRNA
XM_001250168.6	suppressed	MSRB3	PREDICTED: Bos taurus methionine sulfoxide reductase B3 (MSRB3), transcript variant X1, mRNA
XM_001250175.6	suppressed	LOC782892	PREDICTED: Bos taurus Rhox homeobox family, member 1-like (LOC782892), mRNA
XM_001250190.2	suppressed	LOC781713	PREDICTED: Bos taurus olfactory receptor 4K3 (LOC781713), mRNA
XM_001250234.6	suppressed	LOC781741	PREDICTED: Bos taurus BAG family molecular chaperone regulator 1 (LOC781741), mRNA
XM_001250285.5	suppressed	FAM169B	PREDICTED: Bos taurus family with sequence similarity 169 member B (FAM169B), transcript variant X3, mRNA
XM_001250336.5	suppressed	LOC781828	PREDICTED: Bos taurus putative olfactory receptor 8G3 pseudogene (LOC781828), mRNA
XM_001250503.7	suppressed	FAM221B	PREDICTED: Bos taurus family with sequence similarity 221 member B (FAM221B), transcript variant X1, mRNA
XM_001250514.6	suppressed	LOC783730	PREDICTED: Bos taurus protein FAM127 (LOC783730), mRNA
XM_001250527.1	suppressed	LOC781968	PREDICTED: Bos taurus olfactory receptor 8S1 (LOC781968), mRNA
XM_001250561.4	suppressed	OR10R2	PREDICTED: Bos taurus olfactory receptor, family 10, subfamily R, member 2 (OR10R2), mRNA
XM_001250569.5	suppressed	LOC782009	PREDICTED: Bos taurus putative olfactory receptor 8G3 pseudogene (LOC782009), mRNA
XM_001250575.6	suppressed	LOC782884	PREDICTED: Bos taurus dihydrodiol dehydrogenase 3 (LOC782884), mRNA
XM_001250588.5	suppressed	AASDH	PREDICTED: Bos taurus aminoadipate-semialdehyde dehydrogenase (AASDH), transcript variant X2, mRNA
XM_001250652.5	suppressed	LOC782076	PREDICTED: Bos taurus uncharacterized protein ENSP00000372125 (LOC782076), mRNA
XM_001250657.3	suppressed	LOC782628	PREDICTED: Bos taurus keratin-associated protein 12-2 (LOC782628), mRNA
XM_001250693.4	suppressed	LOC523680	PREDICTED: Bos taurus olfactory receptor 149 (LOC523680), mRNA
XM_001250736.6	suppressed	LOC782145	PREDICTED: Bos taurus uncharacterized LOC782145 (LOC782145), mRNA
XM_001250767.5	suppressed	LOC785873	PREDICTED: Bos taurus tripartite motif containing 26 (LOC785873), mRNA
XM_001250774.7	suppressed	CD58	PREDICTED: Bos taurus CD58 molecule (CD58), transcript variant X2, mRNA
XM_001250777.2	suppressed	LOC782190	PREDICTED: Bos taurus olfactory receptor 12 (LOC782190), mRNA
XM_001250778.3	suppressed	LOC782191	PREDICTED: Bos taurus olfactory receptor 143 (LOC782191), mRNA
XM_001250780.6	suppressed	LOC532036	PREDICTED: Bos taurus zinc finger and SCAN domain-containing protein 5B-like (LOC532036), mRNA
XM_001250833.2	suppressed	LOC782220	PREDICTED: Bos taurus olfactory receptor 6C2 (LOC782220), mRNA
XM_001250834.1	suppressed	LOC782221	PREDICTED: Bos taurus olfactory receptor 8B3 (LOC782221), mRNA
XM_001250858.7	suppressed	MON2	PREDICTED: Bos taurus MON2 homolog, regulator of endosome-to-Golgi trafficking (MON2), transcript variant X1, mRNA
XM_001250866.6	suppressed	LOC786133	PREDICTED: Bos taurus olfactory receptor 5D18-like (LOC786133), mRNA
XM_001250872.1	suppressed	LOC786578	PREDICTED: Bos taurus uncharacterized LOC786578 (LOC786578), mRNA
XM_001250879.4	suppressed	ARHGEF3	PREDICTED: Bos taurus Rho guanine nucleotide exchange factor 3 (ARHGEF3), transcript variant X7, mRNA
XM_001250883.3	suppressed	LOC782255	PREDICTED: Bos taurus olfactory receptor 12 (LOC782255), mRNA
XM_001250920.2	suppressed	LOC782288	PREDICTED: Bos taurus olfactory receptor 10G9 (LOC782288), mRNA
XM_001250926.3	suppressed	LOC782296	PREDICTED: Bos taurus olfactory receptor 6C2 (LOC782296), mRNA
XM_001250927.1	suppressed	LOC782297	PREDICTED: Bos taurus olfactory receptor 8B3 (LOC782297), mRNA
XM_001250929.3	suppressed	LOC782301	PREDICTED: Bos taurus olfactory receptor 2W1 (LOC782301), mRNA
XM_001250974.2	suppressed	LOC782329	PREDICTED: Bos taurus olfactory receptor 148 (LOC782329), mRNA
XM_001250980.2	suppressed	LOC782338	PREDICTED: Bos taurus olfactory receptor, family 6, subfamily C, member 2-like (LOC782338), mRNA
XM_001250984.6	suppressed	MPHOSPH8	PREDICTED: Bos taurus M-phase phosphoprotein 8 (MPHOSPH8), transcript variant X2, mRNA
XM_001251006.5	suppressed	NXPE2	PREDICTED: Bos taurus neurexophilin and PC-esterase domain family member 2 (NXPE2), mRNA
XM_001251011.2	suppressed	LOC782366	PREDICTED: Bos taurus olfactory receptor 148 (LOC782366), mRNA
XM_001251012.7	suppressed	LOC788175	PREDICTED: Bos taurus antigen-presenting glycoprotein CD1d-like (LOC788175), mRNA
XM_001251015.5	suppressed	LOC782373	PREDICTED: Bos taurus olfactory receptor 51H1 (LOC782373), mRNA
XM_001251029.6	suppressed	LOC515570	PREDICTED: Bos taurus nodal modulator 1 (LOC515570), mRNA
XM_001251046.7	suppressed	CCDC121	PREDICTED: Bos taurus coiled-coil domain containing 121 (CCDC121), mRNA
XM_001251057.2	suppressed	LOC782430	PREDICTED: Bos taurus olfactory receptor 6C2 (LOC782430), mRNA
XM_001251062.4	suppressed	LAGE3	PREDICTED: Bos taurus L antigen family member 3 (LAGE3), mRNA
XM_001251081.7	suppressed	LOC785761	PREDICTED: Bos taurus heterogeneous nuclear ribonucleoprotein A1 (LOC785761), mRNA
XM_001251098.6	suppressed	MB21D1	PREDICTED: Bos taurus Mab-21 domain containing 1 (MB21D1), transcript variant X2, mRNA
XM_001251107.5	suppressed	LOC783680	PREDICTED: Bos taurus beta-2-microglobulin (LOC783680), mRNA
XM_001251210.2	suppressed	LOC782577	PREDICTED: Bos taurus olfactory receptor 5G3 (LOC782577), mRNA
XM_001251234.5	suppressed	APLP2	PREDICTED: Bos taurus amyloid beta precursor like protein 2 (APLP2), transcript variant X1, mRNA
XM_001251252.4	suppressed	LOC782624	PREDICTED: Bos taurus olfactory receptor 6C2 (LOC782624), mRNA
XM_001251281.3	suppressed	LOC782645	PREDICTED: Bos taurus olfactory receptor 10T2 (LOC782645), mRNA
XM_001251292.4	suppressed	ZGLP1	PREDICTED: Bos taurus zinc finger, GATA-like protein 1 (ZGLP1), mRNA
XM_001251310.1	suppressed	LOC782957	PREDICTED: Bos taurus taste receptor, type 2, member 46 (LOC782957), mRNA
XM_001251335.4	suppressed	LOC782699	PREDICTED: Bos taurus disintegrin and metalloproteinase domain-containing protein 20 (LOC782699), mRNA
XM_001251343.5	suppressed	SLC45A2	PREDICTED: Bos taurus solute carrier family 45 member 2 (SLC45A2), transcript variant X1, mRNA
XM_001251357.6	suppressed	CD72	PREDICTED: Bos taurus CD72 molecule (CD72), transcript variant X1, mRNA
XM_001251371.4	suppressed	OR8B4	PREDICTED: Bos taurus olfactory receptor, family 8, subfamily B, member 4 (OR8B4), mRNA
XM_001251406.3	suppressed	LOC782754	PREDICTED: Bos taurus mpv17-like protein 2 (LOC782754), mRNA
XM_001251413.1	suppressed	OR10A3	PREDICTED: Bos taurus olfactory receptor, family 10, subfamily A, member 3 (OR10A3), mRNA
XM_001251450.2	suppressed	LOC782792	PREDICTED: Bos taurus putative olfactory receptor 5AK3 (LOC782792), mRNA
XM_001251451.7	suppressed	PRKD2	PREDICTED: Bos taurus protein kinase D2 (PRKD2), transcript variant X4, mRNA
XM_001251454.1	suppressed	LOC782797	PREDICTED: Bos taurus olfactory receptor 8B12 (LOC782797), mRNA
XM_001251488.3	suppressed	LOC782841	PREDICTED: Bos taurus olfactory receptor 8J2 (LOC782841), mRNA
