gse	gsm	gsm_title	srx	srr	biosample	layout	spots_ncbi	avg_read_len
GSE162345	GSM5610457	early2cell_NT1	SRX12486054	SRR16201696	SAMN22047268	PAIRED	15859476	73
GSE162345	GSM5610458	early2cell_NT2	SRX12486055	SRR16201697	SAMN22047269	PAIRED	15655323	73
GSE162345	GSM5610459	early2cell_NT3	SRX12486056	SRR16201698	SAMN22047270	PAIRED	14770260	73
GSE162345	GSM5610460	aAm_early2cell_NT1	SRX12486057	SRR16201699	SAMN22047271	PAIRED	21261273	73
GSE162345	GSM5610461	aAm_early2cell_NT2	SRX12486058	SRR16201700	SAMN22047272	PAIRED	20059570	73
GSE162345	GSM5610462	aAm_early2cell_NT3	SRX12486059	SRR16201701	SAMN22047273	PAIRED	14769095	73
GSE162345	GSM5610463	late2cell_NT1	SRX12486060	SRR16201702	SAMN22047274	PAIRED	14630529	73
GSE162345	GSM5610464	late2cell_NT2	SRX12486061	SRR16201703	SAMN22047275	PAIRED	20693082	72
GSE162345	GSM5610465	late2cell_NT3	SRX12486062	SRR16201704	SAMN22047276	PAIRED	14088006	72
GSE162345	GSM5610466	aAm_late2cell_NT1	SRX12486063	SRR16201705	SAMN22047277	PAIRED	13234768	73
GSE162345	GSM5610467	aAm_late2cell_NT2	SRX12486064	SRR16201706	SAMN22047278	PAIRED	16685339	73
GSE162345	GSM5610468	aAm_late2cell_NT3	SRX12486065	SRR16201707	SAMN22047279	PAIRED	13291400	73
GSE221985	GSM6911235	RNA_E2C_Ctrl_rep1	SRX18901417	SRR22944197	SAMN32527231	PAIRED	12119600	297
GSE221985	GSM6911236	RNA_E2C_Ctrl_rep2	SRX18901418	SRR22944194	SAMN32527230	PAIRED	28383956	297
GSE221985	GSM6911237	RNA_E2C_KO_rep1	SRX18901419	SRR22944198	SAMN32527229	PAIRED	26524683	296
GSE221985	GSM6911238	RNA_E2C_KO_rep2	SRX18901420	SRR22944193	SAMN32527228	PAIRED	10933009	297
