gse	run	layout	fastq_ftp	fastq_bytes	fastq_md5
GSE162345	SRR16201707	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/007/SRR16201707/SRR16201707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/007/SRR16201707/SRR16201707_2.fastq.gz	408719826;277942102	c8e3f891d9fa9fc9ca87af88baa43e1f;c5660326a5e10e617b7bc747645a5785
GSE221985	SRR22944198	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/098/SRR22944198/SRR22944198_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/098/SRR22944198/SRR22944198_2.fastq.gz	1396493736;1407744127	be63aa57dec81976d3f2e52f749fd573;3fc0d6d56c6f02e9cf4352148aa44c62
GSE221985	SRR22944191	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/091/SRR22944191/SRR22944191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR229/091/SRR22944191/SRR22944191_2.fastq.gz	399631019;403185925	1f221510bdb093f3211236c246b7a363;4ad67a69207686fe23909910b2d76050
GSE280522	SRR30827714	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/014/SRR30827714/SRR30827714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/014/SRR30827714/SRR30827714_2.fastq.gz	1618005443;1680595855	2d8ef58573e74bb75d13bb4fb539a4e6;64346ef57d75f144f69f14ca3c281364
GSE280522	SRR30827783	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/083/SRR30827783/SRR30827783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/083/SRR30827783/SRR30827783_2.fastq.gz	610583360;554807222	9811d05cb349bad4fcd7d735148d4ee6;2ac1f8aa720ff11a66a55b9f286603d7
GSE280522	SRR30827730	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/030/SRR30827730/SRR30827730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/030/SRR30827730/SRR30827730_2.fastq.gz	550665297;541455769	5b4c23ee7407cd84fe57f312b4032b1d;1433beb1b7c980d154233e8573766de0
GSE280522	SRR30827785	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/085/SRR30827785/SRR30827785_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/085/SRR30827785/SRR30827785_2.fastq.gz	1268784706;1272644175	84af6c5b62464554683a48c7e7623fd2;da84185ab88bd917b13f941d577757f0
GSE280522	SRR30827773	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/073/SRR30827773/SRR30827773_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/073/SRR30827773/SRR30827773_2.fastq.gz	1481262719;1486055345	c318832a0f41e2fee2f35ef0a98112b7;7cf7a3872282c28bfb3dc70e4841833a
GSE280522	SRR30827770	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/070/SRR30827770/SRR30827770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/070/SRR30827770/SRR30827770_2.fastq.gz	882013311;885853339	4b1670a50ef76c7eb8b5d6e72fa8f0b2;bc75457e08e6a5339457964f2665f879
GSE280522	SRR30827775	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/075/SRR30827775/SRR30827775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/075/SRR30827775/SRR30827775_2.fastq.gz	996645684;889558590	00faf1dfdc08530e3824b3dd8b82f3a1;e8f11c46ef463635413addc5c4042c8c
GSE280522	SRR30827780	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/080/SRR30827780/SRR30827780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/080/SRR30827780/SRR30827780_2.fastq.gz	1231928914;1204850351	2ced1bef768c4795616c79ecd93d78a0;d9cf6bb03d2cd85a27cd3269f6666d2f
GSE300734	SRR34172939	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/039/SRR34172939/SRR34172939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/039/SRR34172939/SRR34172939_2.fastq.gz	2654151491;2661827905	3a38127efb05ee9380817c9647031d69;cbb6459167cb68e1f9f2651134c09b14
GSE300734	SRR34172921	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/021/SRR34172921/SRR34172921_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/021/SRR34172921/SRR34172921_2.fastq.gz	1672108849;1727806934	c0159527477ce2339eb732f248585057;d850986327d2092abdfcba2635b4134c
GSE300734	SRR34172919	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/019/SRR34172919/SRR34172919_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/019/SRR34172919/SRR34172919_2.fastq.gz	5006605114;5072583068	5d9607aedf10724ca2fcef39d673b3f8;ce01d2f785f098e582e7a33e52b8beaf
GSE300734	SRR34172936	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/036/SRR34172936/SRR34172936_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR341/036/SRR34172936/SRR34172936_2.fastq.gz	2184901892;2181147820	44e9b151e372e6c1db8e0e6afe5ab5b3;09286da7f0860a92fd965654e1a0b080
GSE235547	SRR24991727	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/027/SRR24991727/SRR24991727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/027/SRR24991727/SRR24991727_2.fastq.gz	820554057;831021503	34d2040dfe8ecba7f4371205b59338a7;f3660f5f72d52dddf5f3b189186dc953
GSE235547	SRR24991730	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/030/SRR24991730/SRR24991730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/030/SRR24991730/SRR24991730_2.fastq.gz	979334392;964714251	f195896c9e664df2661efb67541eb931;da4b0575625e8035052dccd4ce871c2c
GSE235547	SRR24991725	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/025/SRR24991725/SRR24991725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/025/SRR24991725/SRR24991725_2.fastq.gz	1174394612;1188482361	57f64b4432817a657d570c8713a64e94;a6c3894d7c0e7aee64b975450186a32f
GSE248499	SRR26923904	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/004/SRR26923904/SRR26923904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/004/SRR26923904/SRR26923904_2.fastq.gz	1233575284;1378023934	6049d998085a11bef2571b021de62993;bcd6c31f2abb92181edc7100802b5f75
GSE248499	SRR26923901	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/001/SRR26923901/SRR26923901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/001/SRR26923901/SRR26923901_2.fastq.gz	2730947868;2959322069	46a4e9b4d47a6fe34b9599f00377957f;4e0df5d0acfbb70f617119bbc93d3e78
GSE248499	SRR26923892	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/092/SRR26923892/SRR26923892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/092/SRR26923892/SRR26923892_2.fastq.gz	2672474546;2972105649	0664ea8f137302017eaa3938159d8472;54b3ca7a6e9ef5d1b2099fc086221b4b
GSE248499	SRR26923899	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/099/SRR26923899/SRR26923899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR269/099/SRR26923899/SRR26923899_2.fastq.gz	2433363808;2712386810	b21f36c4bdc4d01f904ff17f65ff9b79;4f9ada18becd6238ff2dd12d9941d9df
GSE162345	SRR16201701	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/001/SRR16201701/SRR16201701_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/001/SRR16201701/SRR16201701_2.fastq.gz	461642568;313627299	b1d4dcd960ead86fec84950aa2255967;50020f2324f6f434ab9db2632cc5806a
GSE162345	SRR16201697	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/097/SRR16201697/SRR16201697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/097/SRR16201697/SRR16201697_2.fastq.gz	524161830;343170684	18ffe0be3c7476b64b4fa0cdbaf45c73;7b7b83b984997c5a5c5c01b06eb5dd3c
GSE162345	SRR16201703	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/003/SRR16201703/SRR16201703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR162/003/SRR16201703/SRR16201703_2.fastq.gz	655074280;439007777	4cf100b90adcea62989ffd41db4b4539;0503c0d53303c1bf7763289afa69057b
