run_accession	sample_alias	experiment_title	library_layout	library_strategy	read_count	base_count	fastq_bytes	fastq_ftp	gse	gb	readlen
SRR30827713	RNA_E2C_A485+Dux_rep2	Illumina NovaSeq 6000 sequencing: RNA_E2C_A485+Dux_rep2	PAIRED	RNA-Seq	10564607	2034601262	443820493;417313083	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/013/SRR30827713/SRR30827713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/013/SRR30827713/SRR30827713_2.fastq.gz	GSE280522	0.861133576	96.0
SRR30827726	H3K27ac_L2C_A485+Dux_rep2	Illumina NovaSeq 6000 sequencing: H3K27ac_L2C_A485+Dux_rep2	PAIRED	ChIP-Seq	16867131	3998695462	1009920897;1014386343	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/026/SRR30827726/SRR30827726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/026/SRR30827726/SRR30827726_2.fastq.gz	GSE280522	2.02430724	119.0
SRR30827742	Pol2_L2C_A485_rep2	Illumina NovaSeq 6000 sequencing: Pol2_L2C_A485_rep2	PAIRED	ChIP-Seq	27752115	6453949436	2223447015;2659859764	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/042/SRR30827742/SRR30827742_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/042/SRR30827742/SRR30827742_2.fastq.gz	GSE280522	4.883306779	116.0
SRR30827743	Pol2_L2C_A485_rep1	Illumina NovaSeq 6000 sequencing: Pol2_L2C_A485_rep1	PAIRED	ChIP-Seq	35013377	8089753038	2946129229;3018099227	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/043/SRR30827743/SRR30827743_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/043/SRR30827743/SRR30827743_2.fastq.gz	GSE280522	5.964228456	116.0
SRR30827744	Pol2_L2C_DMSO_rep2	Illumina NovaSeq 6000 sequencing: Pol2_L2C_DMSO_rep2	PAIRED	ChIP-Seq	34662888	8683036341	2990699046;3236860973	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/044/SRR30827744/SRR30827744_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/044/SRR30827744/SRR30827744_2.fastq.gz	GSE280522	6.227560019	125.0
SRR30827752	RNA_E2C_A485_rep1	Illumina NovaSeq 6000 sequencing: RNA_E2C_A485_rep1	PAIRED	RNA-Seq	22552458	5359541947	1238773422;1226167088	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/052/SRR30827752/SRR30827752_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/052/SRR30827752/SRR30827752_2.fastq.gz	GSE280522	2.46494051	119.0
SRR30827753	p300_L2C_A485+Dux_rep2	Illumina NovaSeq 6000 sequencing: p300_L2C_A485+Dux_rep2	PAIRED	ChIP-Seq	44573405	10310018224	4430421451;3890510356	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/053/SRR30827753/SRR30827753_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/053/SRR30827753/SRR30827753_2.fastq.gz	GSE280522	8.320931807	116.0
SRR30827764	p300_E2C_DMSO_rep2	Illumina NovaSeq 6000 sequencing: p300_E2C_DMSO_rep2	PAIRED	ChIP-Seq	25367339	5680552771	1885291860;2332940559	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/064/SRR30827764/SRR30827764_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/064/SRR30827764/SRR30827764_2.fastq.gz	GSE280522	4.218232419	112.0
SRR30827767	p300_L1C_A485_rep1	Illumina NovaSeq 6000 sequencing: p300_L1C_A485_rep1	PAIRED	ChIP-Seq	17838219	4214176618	1651998341;1618674507	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/067/SRR30827767/SRR30827767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/067/SRR30827767/SRR30827767_2.fastq.gz	GSE280522	3.270672848	118.0
SRR30827770	RNA_L2C_A485+Dux_rep4	Illumina NovaSeq 6000 sequencing: RNA_L2C_A485+Dux_rep4	PAIRED	RNA-Seq	19267195	4094780987	882013311;885853339	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/070/SRR30827770/SRR30827770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/070/SRR30827770/SRR30827770_2.fastq.gz	GSE280522	1.76786665	106.0
SRR30827771	RNA_L2C_A485+Dux_rep3	Illumina NovaSeq 6000 sequencing: RNA_L2C_A485+Dux_rep3	PAIRED	RNA-Seq	25491686	5374385755	1109689404;1046420220	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/071/SRR30827771/SRR30827771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/071/SRR30827771/SRR30827771_2.fastq.gz	GSE280522	2.156109624	105.0
SRR30827775	RNA_L2C_A485_rep4	Illumina NovaSeq 6000 sequencing: RNA_L2C_A485_rep4	PAIRED	RNA-Seq	18330059	4159424732	996645684;889558590	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/075/SRR30827775/SRR30827775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/075/SRR30827775/SRR30827775_2.fastq.gz	GSE280522	1.886204274	113.0
SRR30827776	RNA_L2C_A485_rep3	Illumina NovaSeq 6000 sequencing: RNA_L2C_A485_rep3	PAIRED	RNA-Seq	16143415	3089907908	606911801;571533592	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/076/SRR30827776/SRR30827776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/076/SRR30827776/SRR30827776_2.fastq.gz	GSE280522	1.178445393	96.0
SRR30827777	RNA_L2C_A485_rep2	Illumina NovaSeq 6000 sequencing: RNA_L2C_A485_rep2	PAIRED	RNA-Seq	11292332	2864832293	368658017;265931601	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/077/SRR30827777/SRR30827777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/077/SRR30827777/SRR30827777_2.fastq.gz	GSE280522	0.634589618	127.0
SRR30827779	RNA_L2C_DMSO_rep4	Illumina NovaSeq 6000 sequencing: RNA_L2C_DMSO_rep4	PAIRED	RNA-Seq	17370806	3988904762	950220323;909642182	ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/079/SRR30827779/SRR30827779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR308/079/SRR30827779/SRR30827779_2.fastq.gz	GSE280522	1.859862505	115.0
