species	stage	n	mean	ci_lo	ci_hi
Mouse	Oocyte	11	0.008023510223299111	-0.022788508401272795	0.03788266059708485
Mouse	Zygote	11	0.12732024149541132	0.09477921956473867	0.16237955159004727
Mouse	Early-2-cell	9	0.1157159248927147	0.08774025337398762	0.15334413246892564
Mouse	Late-2-cell	10	-0.07501018160759854	-0.12328806483694602	-0.02654785563132743
Mouse	4-cell	11	-0.018154238508218287	-0.05664152293121896	0.028181135482558274
Mouse	8-cell	11	0.0983716817494107	0.07068535903933705	0.12826968048852017
Mouse	16-cell	12	0.05760478603142861	0.006403058735212091	0.11242181305186971
Pig	Oocyte	11	0.017838276824324224	-0.01179750382910198	0.047917487868511806
Pig	Zygote	12	0.12354797636581216	0.09843687205784689	0.149755415509338
Pig	2-cell	10	0.1871246678957464	0.13288024249745606	0.25218349535206164
Pig	4-cell	12	0.15058877784399669	0.10767251162755252	0.18872016154378315
Pig	Day2	10	0.10263548910262939	0.0625043178236822	0.13847020371012167
Pig	Day3	11	0.040506181858084536	-0.01966333419320398	0.10147960575166988
Pig	Morula	12	-0.09514915177767207	-0.14764320525454303	-0.041212784717309686
Cow	Oocyte	11	0.03508803854450721	0.005693955307930516	0.0661320838048506
Cow	Zygote	12	0.047691433931177106	0.009262757250123464	0.08457595858343644
Cow	2-cell	12	0.074729644432137	0.04226317468185945	0.10270436768557649
Cow	4-cell	12	0.12380700838450324	0.08619723096156237	0.16045193788706272
Cow	8-cell	12	0.08869028560383213	0.06987847623627234	0.10546183630211493
Cow	16-cell	12	-0.22521832703747224	-0.28312462830758334	-0.15686366230936136
Cow	Morula	11	-0.613916069963669	-0.6597984129250221	-0.5649572437427618
Rabbit	Oocyte	13	-0.010772751527240408	-0.04337825073458206	0.023755820061120033
Rabbit	Zygote	11	0.11840827288902277	0.08408884246189269	0.15537969060295495
Rabbit	2-cell	11	0.11813251050508246	0.09221740708962915	0.1457468100363614
Rabbit	4-cell	10	0.1173480065809783	0.08040387184020262	0.1602231534590093
Rabbit	8-cell	13	-0.010999634104396432	-0.05115935586384778	0.025044893683169266
Rabbit	16-cell	12	0.004200411506715059	-0.04479178825813857	0.05074078346994986
Rabbit	Morula	11	-0.03174164916480299	-0.0741312895602368	0.005731426063021378
