	species	stage	log10_total_counts	log10_detected	EN_Chronoage_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Multispecies_Multitissue_yugenediff	EN_Mortality_Multispecies_Multitissue_scaleddiff	EN_Chronoage_Mouse_Multitissue_scaleddiff
16-cell_1	Mouse	16-cell	6.347099631754269	4.248144987287778	0.10755276352315149	-0.21074105387019418	0.4557793919769059	-0.04262753498606166
16-cell_10	Mouse	16-cell	6.022356601495091	4.168438552186773	0.07700391670719794	-0.34761011887692184	1.0554210041541383	0.1074003063424655
16-cell_11	Mouse	16-cell	5.848115188234407	4.137132476008993	0.016286780417485606	-0.27396292825203794	0.3302729315537878	0.08812398959115633
16-cell_12	Mouse	16-cell	5.756331006201425	4.150111425128782	-0.11253860040053584	-0.39955230798833935	-0.011800139916248314	0.057547382317223505
16-cell_2	Mouse	16-cell	6.305335029346845	4.229963261979429	0.016401306321223788	-0.3763124099280115	0.4282618476795694	0.02139970877562864
16-cell_3	Mouse	16-cell	6.604697794939673	4.218246579668302	0.10313645033083174	-0.1292359536645432	0.5903877426038528	0.022121004602403776
16-cell_4	Mouse	16-cell	6.326402024340324	4.241521577676051	0.05515939951144894	-0.3198850203389777	0.3060680779647571	0.02855193975722492
16-cell_5	Mouse	16-cell	6.220140004895409	4.2212055176740035	0.032276834986342276	-0.2578225000568659	0.38244650746347025	-0.054341166656863796
16-cell_6	Mouse	16-cell	6.1492215767305565	4.211040405732053	-0.013939452974867851	-0.3870385952180808	0.4464727840762823	0.020556960303048277
16-cell_7	Mouse	16-cell	6.136768748980858	4.2312401489450755	0.3006317455110477	-0.11719795101257924	0.9419141866595883	0.07018525139829751
16-cell_8	Mouse	16-cell	6.30603645510054	4.244920043912454	0.1056755154771325	-0.24095451423068978	1.0216902377230443	0.07045973461631981
16-cell_9	Mouse	16-cell	6.043221944825778	4.2298609486549905	0.003610772966685386	-0.26677100642151597	0.6146472787517582	0.009343821376308667
4-cell_1	Mouse	4-cell	6.268494661718382	4.195622943586937	0.01801246416064564	-0.24645823451410795	0.01696074921126209	-0.05996150216614145
4-cell_11	Mouse	4-cell	6.288872712723399	4.211387552936859	-0.1041599424900281	-0.30879196284742794	0.06557485650908314	-0.00474441009715604
4-cell_12	Mouse	4-cell	6.057322563589284	4.203386491660478	0.03662314887833472	-0.19765956490941924	0.36245232016985784	-0.05101160723748569
4-cell_2	Mouse	4-cell	6.117501311351978	4.226445232748228	0.013346962949499615	-0.1821875256022102	0.39896079180342225	-0.0687914018335826
4-cell_3	Mouse	4-cell	6.237167337323361	4.262640903755262	-0.10028732602419921	-0.24608684470288908	0.28290303704228764	-0.018596004697794377
4-cell_4	Mouse	4-cell	6.265750789342089	4.215373152783422	0.0014862537908623408	-0.3039457455398316	-0.18880031071913111	-0.13369896737892503
4-cell_5	Mouse	4-cell	6.085284154763766	4.138207932668164	-0.04591609772168798	-0.27884553140534185	0.4326247080550485	-0.050290791528757595
4-cell_6	Mouse	4-cell	6.143572775646112	4.224351745013417	-0.05080648012627612	-0.275001245071966	0.13456184691849712	-0.11269099240718858
