species	stage	n	zygotic_share	maternal_share
Mouse	Oocyte	11	9.452797976242662e-05	0.5920928580760729
Mouse	Zygote	11	7.41806636921971e-05	0.5475032951897013
Mouse	Early-2-cell	9	0.0024613236956003595	0.5258352297144644
Mouse	Late-2-cell	10	0.031182027367411706	0.17022599929102253
Mouse	4-cell	11	0.029322900277552456	0.12541484193751115
Mouse	8-cell	11	0.030306754825095296	0.18094731241398312
Mouse	16-cell	12	0.03425008841477247	0.19017669837155946
Pig	Oocyte	11	8.698335827778091e-06	0.46144829380164415
Pig	Zygote	12	8.475459160681318e-06	0.41149601992918017
Pig	2-cell	10	7.168851938481823e-05	0.38692466820987326
Pig	4-cell	12	8.922132959017509e-05	0.37708086164910526
Pig	Day2	10	0.00051947321161125	0.31178488882099104
Pig	Day3	11	0.006538504253579563	0.17797191763179815
Pig	Morula	12	0.011908809564945238	0.1784793150711881
Cow	Oocyte	11	1.1954798870668999e-05	0.4353618634783144
Cow	Zygote	12	1.031984983250013e-05	0.42619857000606154
Cow	2-cell	12	1.3195243269294405e-05	0.42700626618181653
Cow	4-cell	12	3.14350632167289e-05	0.4131239047839285
Cow	8-cell	12	0.0002031334211220802	0.42109907421705817
Cow	16-cell	12	0.018100894764079844	0.14593575889744556
Cow	Morula	11	0.008425981417487422	0.14259563269358358
Rabbit	Oocyte	13	2.77852217393676e-06	0.38352366179277697
Rabbit	Zygote	11	1.0998458332893078e-05	0.38989529498962533
Rabbit	2-cell	11	3.477656365115272e-05	0.34940650343308605
Rabbit	4-cell	10	3.0308880670663787e-05	0.3478313503515985
Rabbit	8-cell	13	0.0017351100808821382	0.1549766243840129
Rabbit	16-cell	12	0.0023612478668044714	0.11460997479530961
Rabbit	Morula	11	0.007602481021325259	0.14254683893272824
