species	variant	interval	cell_number	delta	ci_lo	ci_hi	data_zga	n_genes
Mouse	V0_original	Oocyte->Zygote	fertilisation	0.11929673127211227	0.07370863342021948	0.16392761993925364	False	54838
Mouse	V0_original	Zygote->Early-2-cell	1->2	-0.011604316602696632	-0.057684726184899136	0.0356863444209207	False	54838
Mouse	V0_original	Early-2-cell->Late-2-cell	within-2-cell	-0.1907261065003133	-0.25122377815768765	-0.13415924854380112	True	54838
Mouse	V0_original	Late-2-cell->4-cell	2->4	0.056855943099380246	-0.004947921533149741	0.12385936370833557	False	54838
Mouse	V0_original	4-cell->8-cell	4->8	0.11652592025762903	0.0644116599115383	0.16344307801289915	False	54838
Mouse	V0_original	8-cell->16-cell	8->16	-0.04076689571798211	-0.09798204531239643	0.022684524984461715	False	54838
Mouse	V1_drop_nonclock_dynamic	Oocyte->Zygote	fertilisation	0.13378664352764336	0.08875192678462465	0.18362327023565625	False	53080
Mouse	V1_drop_nonclock_dynamic	Zygote->Early-2-cell	1->2	-0.011146072779275235	-0.060277962895422865	0.040863270905454246	False	53080
Mouse	V1_drop_nonclock_dynamic	Early-2-cell->Late-2-cell	within-2-cell	-0.17880315986880368	-0.23739671147208238	-0.11957943531761561	True	53080
Mouse	V1_drop_nonclock_dynamic	Late-2-cell->4-cell	2->4	0.06541832718729695	-0.0016274175516031329	0.13396537633208264	False	53080
Mouse	V1_drop_nonclock_dynamic	4-cell->8-cell	4->8	0.11997214960690804	0.061213871568160376	0.1691770312720564	False	53080
Mouse	V1_drop_nonclock_dynamic	8-cell->16-cell	8->16	-0.0423885468066353	-0.10245800362092342	0.023653387935899946	False	53080
Mouse	V2_drop_all_dynamic	Oocyte->Zygote	fertilisation	0.04561078647516756	0.0028443388881474016	0.08915625968778018	False	51282
Mouse	V2_drop_all_dynamic	Zygote->Early-2-cell	1->2	-0.04424799854309467	-0.09819781642245318	0.007756705892118346	False	51282
Mouse	V2_drop_all_dynamic	Early-2-cell->Late-2-cell	within-2-cell	-0.08084462580902005	-0.1263176931996929	-0.032457907223509455	True	51282
Mouse	V2_drop_all_dynamic	Late-2-cell->4-cell	2->4	0.1563795310076035	0.11213220343824339	0.200882303337864	False	51282
Mouse	V2_drop_all_dynamic	4-cell->8-cell	4->8	0.12875721461744521	0.0775712260696565	0.1779447983849286	False	51282
Mouse	V2_drop_all_dynamic	8-cell->16-cell	8->16	-0.032354196590315576	-0.08227576494737109	0.02323774731919313	False	51282
Cow	V0_original	Oocyte->Zygote	fertilisation	0.0126033953866699	-0.03558747748691619	0.05966037054260211	False	14695
Cow	V0_original	Zygote->2-cell	1->2	0.027038210500959878	-0.024105198588282733	0.0750539173215264	False	14695
Cow	V0_original	2-cell->4-cell	2->4	0.04907736395236628	0.0015141618253060932	0.09496041761782245	False	14695
Cow	V0_original	4-cell->8-cell	4->8	-0.03511672278067113	-0.07670168928342638	0.0055874106731011895	False	14695
Cow	V0_original	8-cell->16-cell	8->16	-0.3139086126413045	-0.3750286541925234	-0.24738287111854257	True	14695
Cow	V0_original	16-cell->Morula	16->morula	-0.38869774292619663	-0.46947476012437683	-0.31200956184154116	False	14695
Cow	V1_drop_nonclock_dynamic	Oocyte->Zygote	fertilisation	0.012265128010004622	-0.037345170557420815	0.06358252226547466	False	14174
Cow	V1_drop_nonclock_dynamic	Zygote->2-cell	1->2	0.02768506181614814	-0.025436223050754683	0.07931638996503916	False	14174
Cow	V1_drop_nonclock_dynamic	2-cell->4-cell	2->4	0.04879936360112866	0.0003554979278477918	0.09754373478159352	False	14174
Cow	V1_drop_nonclock_dynamic	4-cell->8-cell	4->8	-0.035875737892156756	-0.07834199029221856	0.007536934942307477	False	14174
Cow	V1_drop_nonclock_dynamic	8-cell->16-cell	8->16	-0.3113997378986278	-0.3753094021445766	-0.24456738580744175	True	14174
Cow	V1_drop_nonclock_dynamic	16-cell->Morula	16->morula	-0.3925625771935882	-0.4748937088229739	-0.3139243918140314	False	14174
Cow	V2_drop_all_dynamic	Oocyte->Zygote	fertilisation	0.042669029847132854	-0.006972262522180741	0.09316984543794354	False	12932
Cow	V2_drop_all_dynamic	Zygote->2-cell	1->2	0.03281135519196102	-0.02206989692490217	0.08097193646401392	False	12932
Cow	V2_drop_all_dynamic	2-cell->4-cell	2->4	0.04298117081349957	-0.0022926158607779424	0.09445241225850154	False	12932
Cow	V2_drop_all_dynamic	4-cell->8-cell	4->8	0.008548484991121708	-0.03616963390374778	0.050456877635956694	False	12932
Cow	V2_drop_all_dynamic	8-cell->16-cell	8->16	-0.12752847518450997	-0.17062075009892724	-0.08410286591842334	True	12932
Cow	V2_drop_all_dynamic	16-cell->Morula	16->morula	-0.18074972991889224	-0.24185733080936642	-0.11812081708045949	False	12932
Pig	V0_original	Oocyte->Zygote	fertilisation	0.10570969954148797	0.06598864978101396	0.14439776381513766	False	15377
Pig	V0_original	Zygote->2-cell	1->2	0.06357669152993418	0.004233089061193073	0.13484962334252037	False	15377
Pig	V0_original	2-cell->4-cell	2->4	-0.0365358900517497	-0.11331229762967512	0.02860596379340587	False	15377
Pig	V0_original	4-cell->Day2	4->8	-0.047953288741367284	-0.1042036452181916	0.0060352441906060626	False	15377
Pig	V0_original	Day2->Day3	8->16	-0.06212930724454483	-0.13369494018550052	0.010243228507290177	True	15377
Pig	V0_original	Day3->Morula	16->morula	-0.13565533363575666	-0.21752439692215572	-0.051678893839085416	False	15377
Pig	V1_drop_nonclock_dynamic	Oocyte->Zygote	fertilisation	0.10974980053022038	0.07018735594891108	0.15056904583847627	False	14854
Pig	V1_drop_nonclock_dynamic	Zygote->2-cell	1->2	0.0650103089206461	0.006254482583659208	0.13348227292780043	False	14854
Pig	V1_drop_nonclock_dynamic	2-cell->4-cell	2->4	-0.03972615663419263	-0.11645105140339022	0.028759412120073165	False	14854
Pig	V1_drop_nonclock_dynamic	4-cell->Day2	4->8	-0.050626138262875375	-0.10615752240604569	0.003476767419396736	False	14854
Pig	V1_drop_nonclock_dynamic	Day2->Day3	8->16	-0.055287051724187394	-0.1253006075298675	0.020499486450972285	True	14854
Pig	V1_drop_nonclock_dynamic	Day3->Morula	16->morula	-0.12964672993305512	-0.21318580216052552	-0.04766632834617831	False	14854
Pig	V2_drop_all_dynamic	Oocyte->Zygote	fertilisation	0.13874010886262214	0.09963419713474903	0.18387160027519778	False	13682
Pig	V2_drop_all_dynamic	Zygote->2-cell	1->2	0.06406914041027598	0.008739670134998358	0.12530407308857405	False	13682
Pig	V2_drop_all_dynamic	2-cell->4-cell	2->4	-0.03719575810865319	-0.1027836515828601	0.02211098619539302	False	13682
Pig	V2_drop_all_dynamic	4-cell->Day2	4->8	-0.03015158578828811	-0.08050643480976268	0.023839403920389426	False	13682
Pig	V2_drop_all_dynamic	Day2->Day3	8->16	-0.05572371349660431	-0.10995608325371482	-0.0007160217241946377	True	13682
Pig	V2_drop_all_dynamic	Day3->Morula	16->morula	-0.05718289832651271	-0.124297621998053	0.011358388509822445	False	13682
Rabbit	V0_original	Oocyte->Zygote	fertilisation	0.1291810244162632	0.08044901721576815	0.1779814668146903	False	14052
Rabbit	V0_original	Zygote->2-cell	1->2	-0.00027576238394025343	-0.04328647579596719	0.044319932154049266	False	14052
Rabbit	V0_original	2-cell->4-cell	2->4	-0.0007845039241041879	-0.05000930101644758	0.046850026521563275	False	14052
Rabbit	V0_original	4-cell->8-cell	4->8	-0.1283476406853748	-0.1842231245309241	-0.07226553035190969	False	14052
Rabbit	V0_original	8-cell->16-cell	8->16	0.015200045611111497	-0.04299207710969118	0.07490509116646163	False	14052
Rabbit	V0_original	16-cell->Morula	16->morula	-0.03594206067151807	-0.09535030400107146	0.024470547708074164	True	14052
Rabbit	V1_drop_nonclock_dynamic	Oocyte->Zygote	fertilisation	0.12993160283946234	0.08036112671963051	0.17968347662197076	False	13586
Rabbit	V1_drop_nonclock_dynamic	Zygote->2-cell	1->2	0.00020119125650550074	-0.04501204016548154	0.04383750514657089	False	13586
Rabbit	V1_drop_nonclock_dynamic	2-cell->4-cell	2->4	0.000986091702821268	-0.04578957176124538	0.04875985460228028	False	13586
Rabbit	V1_drop_nonclock_dynamic	4-cell->8-cell	4->8	-0.12765880901515603	-0.18644509042552077	-0.07340932847444775	False	13586
Rabbit	V1_drop_nonclock_dynamic	8-cell->16-cell	8->16	0.017207141678853684	-0.04212178510934948	0.07654124336794053	False	13586
Rabbit	V1_drop_nonclock_dynamic	16-cell->Morula	16->morula	-0.03555005445873916	-0.0950731345754952	0.028664719732541286	True	13586
Rabbit	V2_drop_all_dynamic	Oocyte->Zygote	fertilisation	0.12360823841486895	0.07490809062465359	0.17566548509553442	False	12359
Rabbit	V2_drop_all_dynamic	Zygote->2-cell	1->2	-0.018509858714204505	-0.06784048812164088	0.02877725885102981	False	12359
Rabbit	V2_drop_all_dynamic	2-cell->4-cell	2->4	-0.024115370178354786	-0.07258932918174749	0.027578095550093707	False	12359
Rabbit	V2_drop_all_dynamic	4-cell->8-cell	4->8	-0.11445583109062984	-0.16797291425635913	-0.06442118716717468	False	12359
Rabbit	V2_drop_all_dynamic	8-cell->16-cell	8->16	0.060312460157643806	0.010910508234130317	0.10850939662620399	False	12359
Rabbit	V2_drop_all_dynamic	16-cell->Morula	16->morula	0.024472698779039175	-0.02039687706564187	0.07333102485949401	True	12359
