	stage	n_cells	tAge_primary	tAge_V2
16cell_1	16C	14	-0.0811862290270057	-0.10190090910876959
16cell_4	16C	11	-0.0618738784265588	-0.08391035748054121
16cell_5	16C	13	-0.025903499666119954	-0.10278613214892746
16cell_6	16C	12	0.012846861708407351	-0.020052408731221293
4cell_1	4C	3	-0.04431364747478401	-0.06437980529346554
4cell_2	4C	4	-0.11711870859313864	-0.07542504646367867
4cell_3	4C	3	-0.26996719838524563	-0.2624142204796441
4cell_4	4C	4	-0.19151981636204476	-0.2362797100136634
8cell_1	8C	7	0.09957572169202111	0.10244858646540081
8cell_2	8C	7	0.20823581931513307	0.12129028575644535
8cell_5	8C	7	0.01882769458456308	-0.010556874727767278
8cell_8	8C	7	-0.26401483634392275	-0.26375268353335346
early2cell_0r	Early-2C	2	0.032889234812187855	-0.002238731561694969
early2cell_1	Early-2C	2	0.076792348405164	0.05954096881723488
early2cell_2	Early-2C	2	-0.008269674254438239	0.005117305853185136
early2cell_3	Early-2C	2	-0.07696808829684876	-0.06237400238874214
earlyblast_2	EarlyBl	15	-0.3299027447189152	-0.2673302334441619
earlyblast_3	EarlyBl	15	-0.2664161119592377	-0.2197220135450693
earlyblast_4	EarlyBl	13	-0.24266718153293584	-0.1754099649228098
late2cell_5	Late-2C	2	-0.17282752046015987	-0.23349649004386488
late2cell_6	Late-2C	2	-0.09975721550580491	-0.18005807507467692
late2cell_7	Late-2C	2	0.05211101996787218	-0.044525549042098746
late2cell_8	Late-2C	2	-0.1670830496065946	-0.24166605973858243
late2cell_9	Late-2C	2	-0.26526044790327963	-0.1855885999446048
lateblast_1	LateBl	19	-0.35304667791452377	-0.2899835526796066
lateblast_2	LateBl	11	-0.26268929266792695	-0.2878161581461151
mid2cell_0r	Mid-2C	2	0.05161855825514437	-0.04959390188098336
mid2cell_3	Mid-2C	2	-0.04977710999717153	-0.14823746542119953
mid2cell_4	Mid-2C	2	0.1535510999717428	0.03314981375261483
mid2cell_5	Mid-2C	2	0.04853685940379683	-0.031578057542040565
mid2cell_6	Mid-2C	2	-0.08308331272320543	-0.19429584639231762
mid2cell_7	Mid-2C	2	-0.04196678342121759	-0.13986434400945594
midblast_1	MidBl	22	-0.2343692629674585	-0.22845868791675714
midblast_2	MidBl	20	-0.21173788802204777	-0.23376558615489354
midblast_3	MidBl	18	-0.44173881476830223	-0.3586689312130394
zy1	Zygote	1	-0.0006251727502334242	-0.019214272495875616
zy2	Zygote	1	0.1478807760066323	0.16018221936070645
zy3	Zygote	1	-0.12680170005651714	-0.12626092156172652
zy4	Zygote	1	-0.05576808348923306	-0.033584236976732414
