analysis	interval	delta	ci_lo	ci_hi	p_boot_most_negative_preblast
primary	Zygote->Early-2C	0.01493950023885405	-0.10056353260158787	0.12544653461037808	0.0105
primary	Early-2C->Mid-2C	0.007035596748332025	-0.07572140427762795	0.0959122554543991	0.011
primary	Mid-2C->Late-2C	-0.1437099946164416	-0.2572062528460586	-0.029935923690703508	0.715
primary	Late-2C->4C	-0.025166400002209877	-0.15016555727258749	0.09461043213237336	0.0925
primary	4C->8C	0.17138594251575187	-0.02186653567728042	0.355001902892747	0.0025
primary	8C->16C	-0.05468528616476791	-0.21042976580988057	0.13559483222524046	0.1685
primary	16C->EarlyBl	-0.2406328263842103	-0.295733061059616	-0.18804603263836392	
primary	EarlyBl->MidBl	-0.01628664251557327	-0.15416049188917208	0.08945885412850471	
primary	MidBl->LateBl	-0.011919330038622555	-0.13376499824400576	0.1338708294770769	
V2_drop_all_dynamic	Zygote->Early-2C	0.004730688098402753	-0.1099089348709144	0.10541675748351044	0.0235
V2_drop_all_dynamic	Early-2C->Mid-2C	-0.08841468542889276	-0.16175507378026224	-0.014364911400555212	0.3375
V2_drop_all_dynamic	Mid-2C->Late-2C	-0.08866365451986852	-0.1733745974403379	0.0028759978356786902	0.355
V2_drop_all_dynamic	Late-2C->4C	0.01744225920615261	-0.09155271057887525	0.12358335110287148	0.011
V2_drop_all_dynamic	4C->8C	0.14698202405279429	-0.04452555215266489	0.3012489207288284	0.004
V2_drop_all_dynamic	8C->16C	-0.06451978035754624	-0.1937423128010491	0.10261338125416646	0.269
V2_drop_all_dynamic	16C->EarlyBl	-0.14365828543664877	-0.1959598369953977	-0.09255607083514432	
V2_drop_all_dynamic	EarlyBl->MidBl	-0.05281033112421632	-0.13784819390902572	0.019464206735616357	
V2_drop_all_dynamic	MidBl->LateBl	-0.015268786984630911	-0.05975589868347067	0.06871247096510126	
