analysis	interval	delta	rep_values
primary	MII->Zygote	-0.12762044054415103	-0.141;-0.105
primary	Zygote->Early-2C	0.09149397648089541	-0.028;-0.035
primary	Early-2C->2C	-0.2595794803447504	-0.283;-0.300
primary	2C->4C	0.15899250054533384	-0.048;-0.216
primary	4C->8C	-0.004420476412511837	-0.116;-0.157
V2_drop_all_dynamic	MII->Zygote	-0.06556052602943126	-0.077;-0.037
V2_drop_all_dynamic	Zygote->Early-2C	0.07281856357231753	0.029;0.003
V2_drop_all_dynamic	Early-2C->2C	-0.18191705207417955	-0.160;-0.172
V2_drop_all_dynamic	2C->4C	0.17669896228649973	0.056;-0.035
V2_drop_all_dynamic	4C->8C	0.06264196700154198	0.090;0.057
