	stage	tAge_primary	tAge_V2
SRR2927026	MII	-0.004121198186926689	0.0018023912637209379
SRR2927027	MII	0.013321717349433014	0.015040699591856332
SRR1840514	Zygote	-0.14130825594550778	-0.07748875888831971
SRR1840515	Zygote	-0.10473210598028798	-0.036789202314965526
SRR2927028	Early-2C	-0.02790140374258071	0.028827900866004615
SRR2927029	Early-2C	-0.03515100522142422	0.0025312650753452036
SRR1840516	2C	-0.2825491769865347	-0.16032318715364824
SRR1840517	2C	-0.29966219266697103	-0.17215175105336106
SRR1840518	4C	-0.04823163279521014	0.05635405507449438
SRR1840519	4C	-0.2159947357676279	-0.035431068708504244
SRR1840520	8C	-0.11601494396140236	0.08951178399307766
SRR1840521	8C	-0.15705237742645933	0.056695136375996436
SRR1840522	ICM	-0.4253701702198878	-0.17036487089337315
SRR1840523	ICM	-0.2918719530252985	-0.11643059752862511
SRR1840526	ICM	-0.4262056809606298	-0.23013111450758564
