gse	variant	arm	n_E2C	n_L2C	drop	ci_lo	ci_hi
GSE280522	V0	A485+Dux	4.0	4.0	-0.06368021898282707	-0.11700707135971526	-0.0055899817037329234
GSE280522	V0	A485	4.0	3.0	-0.056551183868180005	-0.07860542683262788	-0.03379645550174127
GSE280522	V0	control	4.0	4.0	-0.23748333486903578	-0.30543969608449933	-0.16928349348983446
GSE280522	V0	INTERACTION A485+Dux - control			0.17380311588620873	0.08713704233681378	0.2586541191054671
GSE280522	V0	INTERACTION A485 - control			0.18093215100085577	0.10818367549549648	0.25258981591811885
GSE280522	V0	RESCUE A485+Dux - A485			-0.0071290351146470615	-0.06292554052211262	0.057173662176732074
GSE280522	V2	A485+Dux	4.0	4.0	-0.04905472343656428	-0.09998717398175179	0.007813081708182734
GSE280522	V2	A485	4.0	3.0	-0.043014131695929436	-0.06739040755144145	-0.019158468838050446
GSE280522	V2	control	4.0	4.0	-0.2239728637286148	-0.2898429638081068	-0.15291320113097479
GSE280522	V2	INTERACTION A485+Dux - control			0.17491814029205052	0.08658200220996512	0.2637916219443408
GSE280522	V2	INTERACTION A485 - control			0.18095873203268537	0.11169529301626505	0.25103216350893004
GSE280522	V2	RESCUE A485+Dux - A485			-0.006040591740634843	-0.0633206211414138	0.0583362491388427
GSE221985	V0	control	2.0	2.0	-0.10030015255209437	-0.164731637088057	-0.03586866801613176
GSE221985	V0	Tardbp_matKO	2.0	2.0	-0.05875370770808043	-0.09968440217060656	-0.01782301324555434
GSE221985	V0	INTERACTION Tardbp_matKO - control			0.041546444844013944	-0.05335389242495742	0.13644678211298528
GSE221985	V2	control	2.0	2.0	-0.07222313186245263	-0.1446466645582566	0.00020040083335132186
GSE221985	V2	Tardbp_matKO	2.0	2.0	-0.08707288814363134	-0.12580185455345955	-0.048343921733803114
GSE221985	V2	INTERACTION Tardbp_matKO - control			-0.014849756281178711	-0.11962352717093423	0.09067060322670534
GSE300734	V0	Brg1_matKO	3.0	3.0	-0.062325150298332646	-0.13509994491940525	0.021081906098591303
GSE300734	V0	control	2.0	3.0	-0.17143616443044185	-0.26011682225046384	-0.08171258976929588
GSE300734	V0	INTERACTION Brg1_matKO - control			0.1091110141321092	-0.010752704163799445	0.22281639304366085
GSE300734	V2	Brg1_matKO	3.0	3.0	-0.045961035011304885	-0.11937499221907627	0.03941185592415507
GSE300734	V2	control	2.0	3.0	-0.15078709232166146	-0.23475449860705203	-0.05584733128887966
GSE300734	V2	INTERACTION Brg1_matKO - control			0.10482605731035657	-0.010959975146061247	0.21690666614245468
