gse	variant	run	stage	arm	tAge
GSE280522	V0	SRR30827713	E2C	A485+Dux	-0.17696294294447001
GSE280522	V0	SRR30827730	E2C	A485	-0.05059466873520093
GSE280522	V0	SRR30827783	E2C	A485+Dux	-0.11010741060694801
GSE280522	V0	SRR30827776	L2C	A485	-0.13884601132678215
GSE280522	V0	SRR30827778	L2C	A485	-0.1177375782833412
GSE280522	V0	SRR30827772	L2C	A485+Dux	-0.13381159288816216
GSE280522	V0	SRR30827782	L2C	control	-0.3255482662542783
GSE280522	V0	SRR30827770	L2C	A485+Dux	-0.18327471192648542
GSE280522	V0	SRR30827719	E2C	A485	-0.054970821496008355
GSE280522	V0	SRR30827779	L2C	control	-0.17683811027918145
GSE280522	V0	SRR30827775	L2C	A485	-0.13655619245573167
GSE280522	V0	SRR30827763	E2C	control	0.01735112852401976
GSE280522	V0	SRR30827781	L2C	control	-0.24726162712701436
GSE280522	V0	SRR30827771	L2C	A485+Dux	-0.14164079677412028
GSE280522	V0	SRR30827741	E2C	A485	-0.09267960300580444
GSE280522	V0	SRR30827780	L2C	control	-0.23750286371914983
GSE280522	V0	SRR30827752	E2C	A485	-0.09973654737807286
GSE280522	V0	SRR30827784	E2C	A485+Dux	-0.04703553129684706
GSE280522	V0	SRR30827785	E2C	control	-0.08384362727621239
GSE280522	V0	SRR30827786	E2C	control	0.0031902585536177294
GSE280522	V0	SRR30827773	L2C	A485+Dux	-0.19232146565135572
GSE280522	V0	SRR30827714	E2C	A485+Dux	-0.062221806460550276
GSE280522	V0	SRR30827774	E2C	control	0.026084712295093973
GSE280522	V2	SRR30827713	E2C	A485+Dux	-0.17879091969557329
GSE280522	V2	SRR30827730	E2C	A485	-0.05207598833312222
GSE280522	V2	SRR30827783	E2C	A485+Dux	-0.11156611169262409
GSE280522	V2	SRR30827776	L2C	A485	-0.1292241681827003
GSE280522	V2	SRR30827778	L2C	A485	-0.10865433629291901
GSE280522	V2	SRR30827772	L2C	A485+Dux	-0.12272238431701332
GSE280522	V2	SRR30827782	L2C	control	-0.3142240048436068
GSE280522	V2	SRR30827770	L2C	A485+Dux	-0.16692624551018606
GSE280522	V2	SRR30827719	E2C	A485	-0.056098833248722134
GSE280522	V2	SRR30827779	L2C	control	-0.16314252753734304
GSE280522	V2	SRR30827775	L2C	A485	-0.12051721345917113
GSE280522	V2	SRR30827763	E2C	control	0.019278406593816824
GSE280522	V2	SRR30827781	L2C	control	-0.23073594807502376
GSE280522	V2	SRR30827771	L2C	A485+Dux	-0.12990655305823218
GSE280522	V2	SRR30827741	E2C	A485	-0.09583087237414498
GSE280522	V2	SRR30827780	L2C	control	-0.22318374181509146
GSE280522	V2	SRR30827752	E2C	A485	-0.10179873650668014
GSE280522	V2	SRR30827784	E2C	A485+Dux	-0.04977788880973775
GSE280522	V2	SRR30827785	E2C	control	-0.08496790024735817
GSE280522	V2	SRR30827786	E2C	control	0.003984180273511526
GSE280522	V2	SRR30827773	L2C	A485+Dux	-0.17935863001141603
GSE280522	V2	SRR30827714	E2C	A485+Dux	-0.06255999895265538
GSE280522	V2	SRR30827774	E2C	control	0.02631054602342399
GSE221985	V0	SRR22944191	L2C	control	-0.09468718765666395
GSE221985	V0	SRR22944186	L2C	Tardbp_matKO	0.07822029221029038
GSE221985	V0	SRR22944187	L2C	control	-0.09496885309463982
GSE221985	V0	SRR22944185	L2C	Tardbp_matKO	0.05757827418923151
GSE221985	V0	SRR22944193	E2C	Tardbp_matKO	0.15726267635983807
GSE221985	V0	SRR22944197	E2C	control	0.06976278399341718
GSE221985	V0	SRR22944198	E2C	Tardbp_matKO	0.09604330545584472
GSE221985	V0	SRR22944194	E2C	control	-0.05881851964053219
GSE221985	V2	SRR22944191	L2C	control	-0.06639739667644973
GSE221985	V2	SRR22944186	L2C	Tardbp_matKO	0.06781750001431522
GSE221985	V2	SRR22944187	L2C	control	-0.06789057391270673
GSE221985	V2	SRR22944185	L2C	Tardbp_matKO	0.05655322081881893
GSE221985	V2	SRR22944193	E2C	Tardbp_matKO	0.1823550753722785
GSE221985	V2	SRR22944197	E2C	control	0.07675609064554988
GSE221985	V2	SRR22944198	E2C	Tardbp_matKO	0.11616142174811833
GSE221985	V2	SRR22944194	E2C	control	-0.06659779750980105
