gse	quantity	value	ci_lo	ci_hi	n_E2C	n_L2C
GSE280522	P control	1.0	0.8137691651722112	1.1828448876140358	4.0	4.0
GSE280522	P A485	0.5568092175010141	0.4244629025159151	0.675227137572104	4.0	3.0
GSE280522	P A485+Dux	0.7869489389883778	0.5673708514452154	0.998638698744096	4.0	4.0
GSE280522	INTERACTION A485 - control	-0.4431907824989859	-0.6694133832439958	-0.2196034742507395		
GSE280522	INTERACTION A485+Dux - control	-0.2130510610116222	-0.5042445309050534	0.07173707602913848		
GSE280522	RESCUE A485+Dux - A485	0.23013972148736372	-0.016067571751213098	0.4733947751470501		
GSE221985	P control	1.0	0.9762397628803862	1.023760237119614	2.0	2.0
GSE221985	P Tardbp_matKO	0.5785696136772582	0.5190471294921246	0.638092097862392	2.0	2.0
GSE221985	INTERACTION Tardbp_matKO - control	-0.42143038632274177	-0.4880175367679669	-0.35484323587751654		
GSE300734	P control	1.0	0.8176163527564153	1.1823836472435842	2.0	3.0
GSE300734	P Brg1_matKO	0.5488429315071532	0.45737210152300023	0.640313761491306	3.0	3.0
GSE300734	INTERACTION Brg1_matKO - control	-0.45115706849284676	-0.660421892866942	-0.23200597662821243		
