gse	run	arm	stage	progression
GSE280522	SRR30827713	A485+Dux	E2C	0.3172216998419902
GSE280522	SRR30827730	A485	E2C	0.09949499592320406
GSE280522	SRR30827783	A485+Dux	E2C	0.22475900612192437
GSE280522	SRR30827776	A485	L2C	0.6175431006761314
GSE280522	SRR30827778	A485	L2C	0.613870622131943
GSE280522	SRR30827772	A485+Dux	L2C	0.9611661978414316
GSE280522	SRR30827782	control	L2C	0.9589826471031577
GSE280522	SRR30827770	A485+Dux	L2C	0.8436306744416666
GSE280522	SRR30827719	A485	E2C	0.044992612940889715
GSE280522	SRR30827779	control	L2C	0.8148339235155806
GSE280522	SRR30827775	A485	L2C	0.4362885100838774
GSE280522	SRR30827763	control	E2C	0.19501691416139724
GSE280522	SRR30827781	control	L2C	1.112544444458851
GSE280522	SRR30827771	A485+Dux	L2C	0.8288097927166459
GSE280522	SRR30827741	A485	E2C	-0.09946922163799939
GSE280522	SRR30827780	control	L2C	1.1136389849224109
GSE280522	SRR30827752	A485	E2C	-0.04865228004088145
GSE280522	SRR30827784	A485+Dux	E2C	-0.129104030988729
GSE280522	SRR30827785	control	E2C	0.06247173127504398
GSE280522	SRR30827786	control	E2C	-0.08506295448419324
GSE280522	SRR30827773	A485+Dux	L2C	0.7747723325923299
GSE280522	SRR30827714	A485+Dux	E2C	-0.15229343333662296
GSE280522	SRR30827774	control	E2C	-0.17242569095224802
GSE221985	SRR22944191	control	L2C	1.0166955708595224
GSE221985	SRR22944186	Tardbp_matKO	L2C	0.6831084364475829
GSE221985	SRR22944187	control	L2C	0.9833044291404777
GSE221985	SRR22944185	Tardbp_matKO	L2C	0.6229915670007028
GSE221985	SRR22944193	Tardbp_matKO	E2C	0.04501633858519095
GSE221985	SRR22944197	control	E2C	0.00706466626009154
GSE221985	SRR22944198	Tardbp_matKO	E2C	0.10394443750857817
GSE221985	SRR22944194	control	E2C	-0.007064666260091549
GSE300734	SRR34172921	Brg1_matKO	L2C	0.6421983011048413
GSE300734	SRR34172922	control	E2C	-0.09748235257393266
GSE300734	SRR34172933	control	E2C	0.09748235257393262
GSE300734	SRR34172920	Brg1_matKO	L2C	0.694429004593022
GSE300734	SRR34172935	control	L2C	0.8353800092237661
GSE300734	SRR34172936	control	L2C	1.0900838932327217
GSE300734	SRR34172937	control	L2C	1.0745360975435119
GSE300734	SRR34172934	Brg1_matKO	L2C	0.7907606615049407
GSE300734	SRR34172939	Brg1_matKO	E2C	0.156957214738857
GSE300734	SRR34172932	Brg1_matKO	E2C	0.22487604374742357
GSE300734	SRR34172938	Brg1_matKO	E2C	0.09902591419506404
