gse	event_type	n_filtered	n_zsa	frac_zsa	n_events_total	n_libraries
GSE280522	A3	1868	58	0.031049250535331904		
GSE280522	A5	1741	63	0.03618609994256174		
GSE280522	AF	4162	166	0.03988467083133109		
GSE280522	AL	795	37	0.04654088050314465		
GSE280522	MX	241	8	0.03319502074688797		
GSE280522	RI	832	24	0.028846153846153848		
GSE280522	SE	4076	155	0.03802747791952895		
GSE280522	ALL	13715	511	0.03725847612103536	88526.0	23.0
GSE221985	A3	1726	157	0.09096176129779837		
GSE221985	A5	1687	194	0.11499703615886188		
GSE221985	AF	4014	527	0.13129048330842052		
GSE221985	AL	769	75	0.09752925877763328		
GSE221985	MX	212	21	0.09905660377358491		
GSE221985	RI	757	41	0.05416116248348745		
GSE221985	SE	3888	361	0.09284979423868313		
GSE221985	ALL	13053	1376	0.10541637937638856	88526.0	8.0
GSE300734	A3	635	4	0.006299212598425197		
GSE300734	A5	590	6	0.010169491525423728		
GSE300734	AF	2394	37	0.015455304928989139		
GSE300734	AL	311	6	0.01929260450160772		
GSE300734	MX	103	0	0.0		
GSE300734	RI	241	0	0.0		
GSE300734	SE	1458	24	0.01646090534979424		
GSE300734	ALL	5732	77	0.013433356594556873	88526.0	11.0
