	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
16601	-0.019932754592436968	-0.03269706734033864	-0.017290242005618083	0.01540682533472056	Klf9	neither	4.476413635946091
74513	-0.022684808124284125	-0.02368885711581739	-0.002789107494794306	0.020899749621023086	Neto2	neither	2.9249381584915533
84095	-0.01591479283604847	-0.018194346641762973	-0.0032162273373832206	0.014978119304379752	Pi4k2a	neither	3.025947207409379
226830	0.031804953453274595	-0.01797177850960505	-0.013883273982902532	0.004088504526702518	Smyd2	neither	-0.8696167992682061
93695	0.020840951603642202	-0.0175144073420924	-0.005577022932001668	0.011937384410090731	Gpnmb	neither	-1.5724924368904754
66614	-0.013517191664869161	-0.016105960011087328	-0.0035865297186926793	0.012519430292394648	Gpatch4	neither	2.88513713840648
20200	0.024399101043478096	-0.015812616847270918	0.004777748282399029	0.020590365129669948	S100a6	neither	-0.7228353823855429
100515	-0.015969915076996768	-0.01472307964567629	-0.01935803256881793	-0.004634952923141641	Zfp518b	neither	2.0557523579177617
108699	0.021583081330789535	-0.01329010361034672	-0.00499120073202018	0.00829890287832654	Chn1	neither	-1.52725090437056
19173	-0.008954702937037736	-0.01321237035489971	-0.003206139146444678	0.010006231208455032	Psmb5	neither	3.8127051960046683
27060	-0.019755398159038262	-0.012317047463527292	-0.009260640125941421	0.0030564073375858713	Tcirg1	neither	1.546004544681597
108811	0.011762895845292519	-0.011911550275747869	-0.01226915167838462	-0.0003576014026367511	Ccdc122	neither	-2.653806559555456
227656	-0.011847366900141692	-0.011542513747868922	-0.00624963760767566	0.005292876140193262	Rexo4	neither	2.4959406676374916
54353	0.020160064584108198	-0.011456931661207214	-0.005082797722497039	0.006374133938710175	Skap2	neither	-1.4442387519753614
54561	0.012699591137237193	-0.011124616873781782	-0.002448495606114613	0.008676121267667168	Nap1l3	neither	-1.4154585728709494
64660	-0.017225248272322646	-0.011103781169137544	-0.003611621294027439	0.007492159875110106	Mrps24	neither	1.8604010569185006
11815	0.016854197063529728	-0.010924411570231076	-8.794396362748408e-05	0.010836467606603593	Apod	neither	-1.223773287951214
93689	-0.012491057588569793	-0.010667970622890972	-0.008733125019845904	0.001934845603045068	Lmod1	neither	1.050925882444874
27276	0.028673396110681915	-0.010663806100581598	-0.00024951769471442107	0.010414288405867177	Plekhb1	neither	-0.909998300465673
11932	-0.012393574621998872	-0.01062301040864173	-0.013282633459171179	-0.0026596230505294485	Atp1b2	neither	1.586561495872447
22371	0.031865263090154854	-0.009991948134567271	-0.0043409092247459246	0.0056510389098213465	Vwf	neither	-0.6990751168297503
381101	-0.006083071094564058	-0.00950007617760263	-0.005264675724973111	0.004235400452629519	Dnph1	neither	2.6555018021579575
15505	-0.014823956116726628	-0.009462621592963455	-0.0017595548959121155	0.00770306669705134	Hsph1	neither	1.9676409873206668
20512	-0.012584536898633111	-0.00932365120452641	-0.011488247057111529	-0.002164595852585119	Slc1a3	neither	1.3921986213883495
16997	0.007685844360215609	-0.008839800254170785	-0.003998732288452643	0.004841067965718142	Ltbp2	neither	-2.173615112314755
70099	-0.03438699856510429	-0.008593603384574803	-0.010170522138556974	-0.001576918753982172	Smc4	neither	0.8989311119963819
20229	-0.009415995684895921	-0.008293805585127568	-0.005750984971451342	0.0025428206136762256	Sat1	neither	2.7657573793140955
330171	0.022065246398095654	-0.008095915521736023	-0.007934112600568916	0.00016180292116710696	Kctd10	neither	-0.8806048359100066
242466	-0.010855845137065737	-0.008062310917204716	-0.007940120818736934	0.000122190098467782	Zfp462	neither	0.9915874820799916
106564	-0.013523241408207416	-0.008009836964345951	-0.005236436570397143	0.002773400393948808	Ppcs	neither	1.5319286581155687
72825	-0.008192316792233626	-0.007659067482400399	-0.004464238299220657	0.003194829183179742	Mon1a	neither	2.3765775041695765
67669	-0.013265841932150928	-0.007623610981508755	-0.002984714036649386	0.004638896944859369	Hikeshi	neither	1.7621419644953855
217082	-0.012391355102456668	-0.007538096387441052	-0.01049545122728	-0.002957354839838948	Hlf	neither	1.1647514166050887
58243	0.013220542523025404	-0.007498246195687874	0.0022147468655384418	0.009712993061226315	Nap1l5	neither	-0.470693001604811
83965	0.00841295598941518	-0.007453572153315725	-0.006087894773740659	0.0013656773795750659	Enpp5	neither	-2.2552638150475492
224008	0.011940161763406839	-0.007156720297263417	-0.008479595683380301	-0.0013228753861168844	Spidr	neither	-1.5868920500417414
216616	0.011252710844278499	-0.007153983262891125	-0.013765876437626352	-0.006611893174735227	Efemp1	neither	-0.6291189272723783
100061	-0.012871100700187297	-0.007031529576925628	-0.0005672547298121419	0.006464274847113486	Lrrc19	neither	0.5660911084382494
16956	0.010040756273216538	-0.00702253858838628	-0.001946980076442157	0.005075558511944123	Lpl	neither	-1.8121738805270788
68611	-0.008381155079475887	-0.006947590717697441	0.0011968733342071212	0.008144464051904563	Mrpl28	neither	2.072955626404902
16570	-0.005132612975383385	-0.006914104043052877	-0.006191424112132119	0.0007226799309207584	Kif3c	neither	3.1405014152896604
242509	0.01216250900099952	-0.006720658984098424	-0.002804936887137635	0.003915722096960789	Bnc2	neither	-1.386508828300688
101502	0.0069236226098607825	-0.006689033245994315	-0.00395229259158536	0.0027367406544089546	Hsd3b7	neither	-2.5392589920178605
