	coef	c_control	c_perturbed	delta	symbol	label	log2FC_control_L2C_vs_E2C
106564	-0.013523241408207416	-0.024228573187334186	-0.018497126232042596	0.00573144695529159	Ppcs	zygotic	3.6820930462533403
16601	-0.019932754592436968	-0.02413362835219286	-0.023050318545831002	0.0010833098063618568	Klf9	neither	3.5689305517331613
27060	-0.019755398159038262	-0.01812672594091404	-0.01173949661873177	0.006387229322182272	Tcirg1	neither	2.494366082701327
100515	-0.015969915076996768	-0.017348357856248647	-0.013669059128738526	0.003679298727510121	Zfp518b	neither	3.183372712030688
64660	-0.017225248272322646	-0.01439115016227751	-0.006047657099252542	0.008343493063024968	Mrps24	neither	2.4976648336743312
11932	-0.012393574621998872	-0.01419202220803466	-0.018356586920535888	-0.004164564712501229	Atp1b2	neither	2.634704110497529
84095	-0.01591479283604847	-0.014000300709381405	-0.013288338128819495	0.0007119625805619093	Pi4k2a	neither	2.6879726993073714
71461	-0.012004434760982077	-0.013895886519515463	-0.010983803907488841	0.002912082612026622	Ptk7	neither	2.9996025222964953
93689	-0.012491057588569793	-0.013015170479160426	-0.01183690744628485	0.001178263032875576	Lmod1	neither	2.609312451972909
93695	0.020840951603642202	-0.012770877617060167	-0.007940696617979663	0.004830180999080504	Gpnmb	neither	-1.4149865900968825
74513	-0.022684808124284125	-0.012722955736798384	-0.00882696068648618	0.0038959950503122034	Neto2	neither	1.9045112131847495
14114	-0.010999677024866433	-0.012382312834787008	-0.011558543202003009	0.000823769632783999	Fbln1	neither	2.6077151820331372
105193	-0.014540898711711733	-0.011855769217706967	-0.007609135555654244	0.004246633662052723	Nhlrc1	neither	1.2133362851763
15507	-0.01243784933753788	-0.011829350055943634	-0.006075677233538857	0.005753672822404777	Hspb1	neither	2.553387734905313
66614	-0.013517191664869161	-0.011439078268214102	-0.004425103099128837	0.007013975169085265	Gpatch4	neither	2.747256212594745
15505	-0.014823956116726628	-0.011328160046454976	-0.007802329151266292	0.0035258308951886834	Hsph1	neither	2.489329719814067
108811	0.011762895845292519	-0.010965161610287072	-0.0048749905477950915	0.0060901710624919805	Ccdc122	neither	-1.7857339098018197
54561	0.012699591137237193	-0.010918613076250578	-0.007343911090419241	0.0035747019858313363	Nap1l3	neither	-1.8785786177339845
101502	0.0069236226098607825	-0.010861364164648796	-0.005645022948634047	0.00521634121601475	Hsd3b7	maternal	-2.8516469900358357
11363	0.014663941009133319	-0.010655781341986807	-0.006731838628022081	0.003923942713964726	Acadl	neither	-0.8666670815682292
22371	0.031865263090154854	-0.0095851968308141	-0.0032385672991089966	0.006346629531705104	Vwf	neither	-0.47984997345894564
226830	0.031804953453274595	-0.009535884209851039	-0.0117529808418292	-0.0022170966319781608	Smyd2	neither	-0.398169932683516
242466	-0.010855845137065737	-0.009506635704400166	-0.010378908557323879	-0.0008722728529237129	Zfp462	neither	2.7289713897231955
72825	-0.008192316792233626	-0.009237978662829643	-0.0068135025991048585	0.002424476063724784	Mon1a	neither	3.335057772426198
11815	0.016854197063529728	-0.009175250041863581	-0.005730192077208148	0.0034450579646554333	Apod	neither	-0.8854469701280948
227656	-0.011847366900141692	-0.009161197239849147	-0.008687091415283277	0.0004741058245658694	Rexo4	neither	2.5313746595377187
19173	-0.008954702937037736	-0.009051963367129694	-0.010047100514996469	-0.0009951371478667745	Psmb5	neither	2.724972032514702
12824	0.007057013130897925	-0.00904900202606295	-0.004725458949604773	0.0043235430764581775	Col2a1	neither	-1.8091012260299113
269615	-0.01284100932570017	-0.008861993977966939	-0.011566449431585779	-0.00270445545361884	Plch2	neither	1.5761504275618419
70099	-0.03438699856510429	-0.008581475536689823	-0.003019268948002593	0.005562206588687229	Smc4	neither	0.9655708166193213
100502698	0.01730696406446664	-0.00848156298225631	-0.010951895326521225	-0.002470332344264914	Rubcn	neither	-1.2173090583796309
66522	0.0115780449164405	-0.008345405724846627	-0.004784787129794528	0.0035606185950520994	Pgpep1	neither	-1.3907181789604917
71913	-0.006267821158640776	-0.008134988886730117	-0.006614525247186135	0.0015204636395439826	Tmem79	neither	3.782083417971572
228852	-0.005435691888646102	-0.007968110333864372	-0.004661962220370125	0.003306148113494247	Ppp1r16b	neither	4.264402611969291
330171	0.022065246398095654	-0.007933910908163293	-0.007088705289364032	0.0008452056187992617	Kctd10	neither	-0.8052517257315942
381101	-0.006083071094564058	-0.007926649181711688	-0.007148824092845668	0.0007778250888660207	Dnph1	neither	2.196125675970317
12266	0.007356103970099988	-0.007899143565977573	-0.0015010439366895199	0.006398099629288053	C3	neither	-1.4145378986586137
74186	0.006927715155004229	-0.007573753403250089	-0.005806110600103312	0.0017676428031467763	Ccdc3	neither	-2.2009526085355007
330627	0.014346556110092478	-0.007235525694601545	-0.004024762631865026	0.0032107630627365193	Trim66	neither	-0.5184537807080837
21356	-0.012154166474457773	-0.007222508467021278	-0.002280843954051167	0.004941664512970111	Tapbp	neither	1.7178197731139486
224008	0.011940161763406839	-0.007050433285974358	-0.005958435356181942	0.0010919979297924157	Spidr	neither	-1.4881671507121528
75695	-0.01397157207781245	-0.0069997465497646716	-0.005316319144228629	0.0016834274055360426	Rilpl1	neither	1.3568300418809704
20229	-0.009415995684895921	-0.006939686779868017	-0.005914007234129537	0.0010256795457384803	Sat1	neither	2.418734114112923
16453	0.017070198945327936	-0.00657278850512132	0.0025292164805945606	0.00910200498571588	Jak3	neither	-0.32771171270207544
74020	0.008201325174885449	-0.006403102744739679	-0.00014524138479058088	0.006257861359949097	Cpne4	neither	-0.6144297052508388
16147	0.010506735538097216	-0.006364433621325361	0.005604426397113386	0.011968860018438747	Ihh	neither	-0.34658973816506683
