dataset	quantity	key	value
P1_GSE280522_A485	share_of_drop_top_genes	top1	0.13768152345666712
P1_GSE280522_A485	share_of_drop_top_genes	top5	0.4634702347022143
P1_GSE280522_A485	share_of_drop_top_genes	top10	0.7714671327145217
P1_GSE280522_A485	share_of_drop_top_genes	top25	1.4428984032303256
P1_GSE280522_A485	share_of_drop_top_genes	top50	2.19888434924271
P1_GSE280522_A485	share_of_drop_top_genes	top100	3.2899731308495106
P1_GSE280522_A485	genes_reaching_share_of_drop	50%	6.0
P1_GSE280522_A485	genes_reaching_share_of_drop	80%	11.0
P1_GSE280522_A485	direction_split_share_of_D	rises_x_coef_neg	3.140097067355364
P1_GSE280522_A485	direction_split_share_of_I	rises_x_coef_neg	1.6335030909868646
P1_GSE280522_A485	direction_split_share_of_D	rises_x_coef_pos	-2.2349849964062964
P1_GSE280522_A485	direction_split_share_of_I	rises_x_coef_pos	-0.3863333543311176
P1_GSE280522_A485	direction_split_share_of_D	falls_x_coef_neg	-2.6405705076541377
P1_GSE280522_A485	direction_split_share_of_I	falls_x_coef_neg	-2.1156206005131177
P1_GSE280522_A485	direction_split_share_of_D	falls_x_coef_pos	2.7354584367050725
P1_GSE280522_A485	direction_split_share_of_I	falls_x_coef_pos	1.8684508638573705
P1_GSE280522_A485	programme_share_of_D	maternal	0.0017115573854978089
P1_GSE280522_A485	programme_share_of_I	maternal	0.0022488334934196883
P1_GSE280522_A485	programme_n_genes	maternal	8.0
P1_GSE280522_A485	programme_share_of_D	zygotic	0.0034027782890332058
P1_GSE280522_A485	programme_share_of_I	zygotic	0.0010801607555809933
P1_GSE280522_A485	programme_n_genes	zygotic	1.0
P1_GSE280522_A485	programme_share_of_D	neither	0.9948856643254702
P1_GSE280522_A485	programme_share_of_I	neither	0.9966710057509997
P1_GSE280522_A485	programme_n_genes	neither	1346.0
P1_GSE280522_A485	programme_share_of_D	not_expressed	-0.0
P1_GSE280522_A485	programme_share_of_I	not_expressed	0.0
P1_GSE280522_A485	programme_n_genes	not_expressed	484.0
P1_GSE280522_A485	total	D_control	-0.2374833348690355
P1_GSE280522_A485	total	D_perturbed	-0.05655118386818003
P1_GSE280522_A485	total	I	0.18093215100085552
P1_GSE280522_A485	total	n_nonzero_clock_genes_present	1355.0
P3_GSE300734_Brg1KO	share_of_drop_top_genes	top1	0.14132708386137866
P3_GSE300734_Brg1KO	share_of_drop_top_genes	top5	0.572973828627752
P3_GSE300734_Brg1KO	share_of_drop_top_genes	top10	0.9688894614736513
P3_GSE300734_Brg1KO	share_of_drop_top_genes	top25	1.9138446425525304
P3_GSE300734_Brg1KO	share_of_drop_top_genes	top50	3.01288483264814
P3_GSE300734_Brg1KO	share_of_drop_top_genes	top100	4.475794965426244
P3_GSE300734_Brg1KO	genes_reaching_share_of_drop	50%	5.0
P3_GSE300734_Brg1KO	genes_reaching_share_of_drop	80%	8.0
P3_GSE300734_Brg1KO	direction_split_share_of_D	rises_x_coef_neg	4.2848399440452924
P3_GSE300734_Brg1KO	direction_split_share_of_I	rises_x_coef_neg	2.620472650295844
P3_GSE300734_Brg1KO	direction_split_share_of_D	rises_x_coef_pos	-3.419569979806673
P3_GSE300734_Brg1KO	direction_split_share_of_I	rises_x_coef_pos	-2.098467017052341
P3_GSE300734_Brg1KO	direction_split_share_of_D	falls_x_coef_neg	-3.9668561618814366
P3_GSE300734_Brg1KO	direction_split_share_of_I	falls_x_coef_neg	-2.0757341139740273
P3_GSE300734_Brg1KO	direction_split_share_of_D	falls_x_coef_pos	4.101586197642817
P3_GSE300734_Brg1KO	direction_split_share_of_I	falls_x_coef_pos	2.553728480730526
P3_GSE300734_Brg1KO	programme_share_of_D	maternal	0.08030697144956116
P3_GSE300734_Brg1KO	programme_share_of_I	maternal	0.04515459189306714
P3_GSE300734_Brg1KO	programme_n_genes	maternal	7.0
P3_GSE300734_Brg1KO	programme_share_of_D	zygotic	-0.0018034146715147036
P3_GSE300734_Brg1KO	programme_share_of_I	zygotic	0.06226442594276223
P3_GSE300734_Brg1KO	programme_n_genes	zygotic	6.0
P3_GSE300734_Brg1KO	programme_share_of_D	neither	0.921496443221954
P3_GSE300734_Brg1KO	programme_share_of_I	neither	0.8925809821641723
P3_GSE300734_Brg1KO	programme_n_genes	neither	1496.0
P3_GSE300734_Brg1KO	programme_share_of_D	not_expressed	-0.0
P3_GSE300734_Brg1KO	programme_share_of_I	not_expressed	0.0
P3_GSE300734_Brg1KO	programme_n_genes	not_expressed	330.0
P3_GSE300734_Brg1KO	total	D_control	-0.17143616443044207
P3_GSE300734_Brg1KO	total	D_perturbed	-0.062325150298332854
P3_GSE300734_Brg1KO	total	I	0.10911101413210922
P3_GSE300734_Brg1KO	total	n_nonzero_clock_genes_present	1509.0
