fold	heldout_E2C	heldout_L2C	n_events	overlap_with_gate4	P_ctrl_in	P_ctrl_out	P_A485	P_Dux	I_A485	I_Dux	R
0	SRR30827763	SRR30827782	618	0.7588996763754046	1.0	0.5729957083656503	0.50003161227817	0.6928518336258647	-0.07296409608748033	0.11985612526021439	0.19282022134769472
1	SRR30827763	SRR30827779	841	0.582639714625446	1.0	0.3158362292984817	0.4664487637987531	0.6107216410531399	0.1506125345002714	0.29488541175465816	0.14427287725438676
2	SRR30827763	SRR30827781	592	0.7584459459459459	1.0	0.690038757202069	0.5365240137105082	0.739664497230857	-0.1535147434915608	0.04962574002878806	0.20314048352034886
3	SRR30827763	SRR30827780	586	0.7679180887372014	1.0	0.7094611705950438	0.540205270336583	0.7539569995630757	-0.1692559002584607	0.04449582896803195	0.21375172922649266
4	SRR30827785	SRR30827782	510	0.8392156862745098	1.0	0.7391452656161497	0.48514137100170734	0.7150728462361865	-0.25400389461444234	-0.024072419379963184	0.22993147523447915
5	SRR30827785	SRR30827779	694	0.6714697406340058	1.0	0.48686624769095665	0.5019309940472179	0.6514228999573782	0.015064746356261205	0.16455665226642158	0.14949190591016037
6	SRR30827785	SRR30827781	479	0.8350730688935282	1.0	0.884600055730352	0.5122102472379729	0.759049949525417	-0.3723898084923791	-0.125550106204935	0.24683970228744412
7	SRR30827785	SRR30827780	476	0.8508403361344538	1.0	0.8893238805632362	0.5297151042552103	0.7783127677476382	-0.3596087763080259	-0.11101111281559795	0.24859766349242796
8	SRR30827786	SRR30827782	464	0.8685344827586207	1.0	0.9032278374304794	0.48853085212624375	0.7218232016710076	-0.41469698530423565	-0.18140463575947186	0.2332923495447638
9	SRR30827786	SRR30827779	616	0.7142857142857143	1.0	0.6564805114162676	0.4702604306763641	0.668110517172154	-0.18622008073990354	0.011630005755886352	0.1978500864957899
10	SRR30827786	SRR30827781	439	0.8473804100227791	1.0	1.0502709317286283	0.5243088298165104	0.7684672667971822	-0.5259621019121179	-0.28180366493144604	0.24415843698067186
11	SRR30827786	SRR30827780	423	0.8652482269503546	1.0	1.084388584476827	0.5261560639663077	0.7614932794456638	-0.5582325205105194	-0.32289530503116326	0.23533721547935615
12	SRR30827774	SRR30827782	572	0.7272727272727273	1.0	0.8121959282351253	0.49452979959872906	0.7394135019348386	-0.31766612863639626	-0.07278242630028675	0.2448837023361095
13	SRR30827774	SRR30827779	753	0.6321381142098274	1.0	0.7912062164903515	0.5522823331639729	0.7430492794807058	-0.2389238833263786	-0.04815693700964574	0.19076694631673285
14	SRR30827774	SRR30827781	536	0.7481343283582089	1.0	1.0254815017303067	0.5626805382147071	0.8153627834180694	-0.46280096351559963	-0.21011871831223727	0.25268224520336235
15	SRR30827774	SRR30827780	539	0.7439703153988868	1.0	1.0339487910153136	0.5817493698178562	0.8255320834143339	-0.4521994211974574	-0.20841670760097963	0.24378271359647774
