dataset	arm	quantity	value
P1_GSE280522	A485+Dux	D_observed	-0.06368021898282702
P1_GSE280522	A485+Dux	G_global_component	0.0046567725548884225
P1_GSE280522	A485+Dux	S_specific_component	-0.06833699153771544
P1_GSE280522	A485+Dux	abs_S_over_abs_G	14.674753970102973
P1_GSE280522	A485+Dux	null_mean	0.005348434186033205
P1_GSE280522	A485+Dux	null_p2.5	-0.24669571397398884
P1_GSE280522	A485+Dux	null_p97.5	0.265328329322483
P1_GSE280522	A485+Dux	fraction_of_null_below_observed	0.3005
P1_GSE280522	A485+Dux	sum_of_coefficients	-0.30809639810373823
P1_GSE280522	A485+Dux	mean_feature_change	-0.015114660812491725
P1_GSE280522	A485+Dux	D_features_up_only	-0.0817619050061895
P1_GSE280522	A485+Dux	D_features_down_only	0.018081686023362437
P1_GSE280522	A485+Dux	D_expression_rises	-0.05084234223115014
P1_GSE280522	A485+Dux	D_expression_falls	-0.012837876751676913
P1_GSE280522	A485+Dux	n_genes	1839.0
P1_GSE280522	A485+Dux	n_genes_feature_change_nonzero	1355.0
P1_GSE280522	A485	D_observed	-0.05655118386818016
P1_GSE280522	A485	G_global_component	-0.00943209593834086
P1_GSE280522	A485	S_specific_component	-0.0471190879298393
P1_GSE280522	A485	abs_S_over_abs_G	4.995611605083792
P1_GSE280522	A485	null_mean	-0.005365825285706268
P1_GSE280522	A485	null_p2.5	-0.22894305082938174
P1_GSE280522	A485	null_p97.5	0.21927117004842023
P1_GSE280522	A485	fraction_of_null_below_observed	0.323
P1_GSE280522	A485	sum_of_coefficients	-0.30809639810373823
P1_GSE280522	A485	mean_feature_change	0.030614106482234844
P1_GSE280522	A485	D_features_up_only	-0.047382568798318835
P1_GSE280522	A485	D_features_down_only	-0.009168615069861337
P1_GSE280522	A485	D_expression_rises	0.010704070077091241
P1_GSE280522	A485	D_expression_falls	-0.06725525394527142
P1_GSE280522	A485	n_genes	1839.0
P1_GSE280522	A485	n_genes_feature_change_nonzero	1355.0
P1_GSE280522	control	D_observed	-0.23748333486903572
P1_GSE280522	control	G_global_component	0.00718197036014014
P1_GSE280522	control	S_specific_component	-0.24466530522917587
P1_GSE280522	control	abs_S_over_abs_G	34.06659913093846
P1_GSE280522	control	null_mean	0.004174535980130565
P1_GSE280522	control	null_p2.5	-0.23990005041498486
P1_GSE280522	control	null_p97.5	0.2505489837280513
P1_GSE280522	control	fraction_of_null_below_observed	0.026
P1_GSE280522	control	sum_of_coefficients	-0.30809639810373823
P1_GSE280522	control	mean_feature_change	-0.023310789753932533
P1_GSE280522	control	D_features_up_only	-0.21671817137316507
P1_GSE280522	control	D_features_down_only	-0.020765163495870688
P1_GSE280522	control	D_expression_rises	-0.2149490330392036
P1_GSE280522	control	D_expression_falls	-0.022534301829832133
P1_GSE280522	control	n_genes	1839.0
P1_GSE280522	control	n_genes_feature_change_nonzero	1355.0
P1_GSE280522	interaction_A485_minus_control	D_observed	0.18093215100085555
P1_GSE280522	interaction_A485_minus_control	G_global_component	-0.016614066298481
P1_GSE280522	interaction_A485_minus_control	S_specific_component	0.19754621729933655
P1_GSE280522	interaction_A485_minus_control	abs_S_over_abs_G	11.890299084541267
P1_GSE280522	interaction_A485_minus_control	null_mean	-0.012627729367217174
P1_GSE280522	interaction_A485_minus_control	null_p2.5	-0.21409377682998526
P1_GSE280522	interaction_A485_minus_control	null_p97.5	0.18894224509288987
P1_GSE280522	interaction_A485_minus_control	fraction_of_null_below_observed	0.9675
P1_GSE280522	interaction_A485_minus_control	sum_of_coefficients	-0.30809639810373823
P1_GSE280522	interaction_A485_minus_control	mean_feature_change	0.05392489623616738
P1_GSE280522	interaction_A485_minus_control	D_features_up_only	0.013185116433638386
P1_GSE280522	interaction_A485_minus_control	D_features_down_only	0.16774703456721718
P1_GSE280522	interaction_A485_minus_control	D_expression_rises	0.22565310311629483
P1_GSE280522	interaction_A485_minus_control	D_expression_falls	-0.04472095211543927
P1_GSE280522	interaction_A485_minus_control	n_genes	1839.0
P1_GSE280522	interaction_A485_minus_control	n_genes_feature_change_nonzero	1355.0
P3_GSE300734	Brg1_matKO	D_observed	-0.06232515029833279
P3_GSE300734	Brg1_matKO	G_global_component	0.008820781941221956
P3_GSE300734	Brg1_matKO	S_specific_component	-0.07114593223955475
P3_GSE300734	Brg1_matKO	abs_S_over_abs_G	8.065717156782904
P3_GSE300734	Brg1_matKO	null_mean	0.009558300153241467
P3_GSE300734	Brg1_matKO	null_p2.5	-0.20748440967284046
P3_GSE300734	Brg1_matKO	null_p97.5	0.22840782282708813
P3_GSE300734	Brg1_matKO	fraction_of_null_below_observed	0.2635
P3_GSE300734	Brg1_matKO	sum_of_coefficients	-0.30809639810373823
P3_GSE300734	Brg1_matKO	mean_feature_change	-0.028629941782869973
P3_GSE300734	Brg1_matKO	D_features_up_only	-0.10078583231193713
P3_GSE300734	Brg1_matKO	D_features_down_only	0.03846068201360436
P3_GSE300734	Brg1_matKO	D_expression_rises	-0.09138199984006232
P3_GSE300734	Brg1_matKO	D_expression_falls	0.029056849541729525
P3_GSE300734	Brg1_matKO	n_genes	1839.0
P3_GSE300734	Brg1_matKO	n_genes_feature_change_nonzero	1509.0
P3_GSE300734	control	D_observed	-0.17143616443044218
P3_GSE300734	control	G_global_component	0.012181977610829025
P3_GSE300734	control	S_specific_component	-0.18361814204127122
P3_GSE300734	control	abs_S_over_abs_G	15.072933796729854
P3_GSE300734	control	null_mean	0.013800511301916629
P3_GSE300734	control	null_p2.5	-0.25581447718609873
P3_GSE300734	control	null_p97.5	0.2645039437677256
P3_GSE300734	control	fraction_of_null_below_observed	0.0805
P3_GSE300734	control	sum_of_coefficients	-0.30809639810373823
P3_GSE300734	control	mean_feature_change	-0.03953950025318786
P3_GSE300734	control	D_features_up_only	-0.1495844121170295
P3_GSE300734	control	D_features_down_only	-0.021851752313412652
P3_GSE300734	control	D_expression_rises	-0.1483385638659348
P3_GSE300734	control	D_expression_falls	-0.02309760056450736
P3_GSE300734	control	n_genes	1839.0
P3_GSE300734	control	n_genes_feature_change_nonzero	1509.0
P3_GSE300734	interaction_Brg1_matKO_minus_control	D_observed	0.10911101413210936
P3_GSE300734	interaction_Brg1_matKO_minus_control	G_global_component	-0.003361195669607066
P3_GSE300734	interaction_Brg1_matKO_minus_control	S_specific_component	0.11247220980171642
P3_GSE300734	interaction_Brg1_matKO_minus_control	abs_S_over_abs_G	33.461964389256984
P3_GSE300734	interaction_Brg1_matKO_minus_control	null_mean	-0.007123856129143593
P3_GSE300734	interaction_Brg1_matKO_minus_control	null_p2.5	-0.18475253826940555
P3_GSE300734	interaction_Brg1_matKO_minus_control	null_p97.5	0.15456161396971174
P3_GSE300734	interaction_Brg1_matKO_minus_control	fraction_of_null_below_observed	0.915
P3_GSE300734	interaction_Brg1_matKO_minus_control	sum_of_coefficients	-0.30809639810373823
P3_GSE300734	interaction_Brg1_matKO_minus_control	mean_feature_change	0.010909558470317876
P3_GSE300734	interaction_Brg1_matKO_minus_control	D_features_up_only	0.042765637095984764
P3_GSE300734	interaction_Brg1_matKO_minus_control	D_features_down_only	0.06634537703612459
P3_GSE300734	interaction_Brg1_matKO_minus_control	D_expression_rises	0.056956564025872444
P3_GSE300734	interaction_Brg1_matKO_minus_control	D_expression_falls	0.05215445010623688
P3_GSE300734	interaction_Brg1_matKO_minus_control	n_genes	1839.0
P3_GSE300734	interaction_Brg1_matKO_minus_control	n_genes_feature_change_nonzero	1509.0
