	control	A485	A485+Dux	symbol
16870	-0.0011353713113879437	-0.0025954727479422144	-0.000510877575785416	Lhx2
228576	-0.0	-0.0	-0.0	Mall
16453	0.0	0.0	0.0	Jak3
78177	-0.0010505042823033247	-0.001359909464312033	-0.00043378731624598105	Ninl
217198	-0.006621515783415457	-0.006478863086614203	-0.0036925429819153407	Plekhh3
212974	-0.0	-0.0	-0.0	Pgghg
70717	-0.001489250765112553	0.002652752844418833	-0.003956333202785827	Medag
243897	0.0	0.0	0.0	Ggn
93735	0.0	0.0	0.0	Wnt16
56508	0.0032454145676899327	0.0018311492155140257	0.0031521443429486885	Rapgef4
218820	-4.108146055964769e-05	0.00012855053594833617	7.325821323455692e-05	Zfp503
93695	-0.0175144073420924	-0.005577022932001668	-0.011741380493049255	Gpnmb
78412	0.00043642507805999076	-0.00032607148801264835	-4.6817599569593866e-05	Cyren
224024	0.0	0.0	0.0	Scarf2
171531	-0.0008249467748394771	-0.0012525462006339467	-0.0005295857058389876	Mlph
78558	-0.0	-0.0	-0.0	Htra3
73822	0.0009071128129141752	0.00016529876257194288	0.000817660308582945	Mfsd12
57890	0.0013218732955861984	0.001388589056755074	0.0024476302491678913	Il17re
75695	-0.005005800049212199	0.00502018533629186	-0.002574027620494243	Rilpl1
12834	-0.0	-0.0	-0.0	Col6a2
211739	-0.0	-0.0	-0.0	Vstm2a
17300	0.0010663040695381694	0.0004102344890908641	0.0015070152902399779	Foxc1
14580	0.0	0.0	0.0	Gfap
110310	-0.0006303320375343179	-0.0023810837828922566	-0.0010556324858365814	Krt7
109857	0.0	0.0	0.0	Cbr3
237010	0.0	0.0	0.0	Klhl4
66336	0.00745317640916111	-0.003406937079885433	0.0035662974482076207	Cenpp
107503	0.0	0.0	0.0	Atf5
18712	-0.0006198695685545052	-0.00020990115116472806	-0.0006834272665580756	Pim1
56527	0.0023703561571455397	0.0008374517598196251	0.00038925180689681745	Mast1
16510	0.00011382253192292213	6.262979342212171e-06	6.762507758882953e-05	Kcnh1
22224	0.000418536416533048	-0.00016418753617568796	0.00013435326164093088	Usp10
244058	-0.0008423425273035057	-0.0012090728509193804	-0.0008631756715977386	Rgma
12297	-5.073922092316119e-05	3.987392423808946e-05	-0.00012183947446459553	Cacnb3
56794	0.00137278985864752	0.0010914806169834348	0.0011908910070615238	Hacl1
216850	0.0012079902433133345	0.000642467958700353	0.0007965809041356858	Kdm6b
229599	0.0026731224628851226	-0.0009604897612228305	0.0025548668619610267	Ciart
27528	0.006231354929582059	-0.0017839555705296357	0.0021531742386276475	Nrep
68603	0.020631826854001407	0.00806244313839319	0.018692559395989572	Pmvk
17153	0.0015895676292032785	-0.005689022077570669	-0.002491277224149896	Mal
214901	0.01090693600050149	0.0031311139288054016	0.006264704742475342	Chtf18
244757	-0.0002902166324490483	-0.000128237075468663	-0.000246528699394622	Glb1l2
208650	0.0006724913733250506	-3.0378066738895846e-05	-2.8550544597370004e-05	Cblb
76787	-0.0003859834786384551	-0.0015302711936400447	6.906449133347719e-05	Ppfia3
60363	0.00010390409156596038	-7.901666718788633e-06	0.00018372622953488103	Cldn15
18164	-0.0017550887921691642	-0.003643744345267414	-0.0032330562369692973	Nptx1
94332	-0.0	-0.0	-0.0	Cadm3
68845	-0.0013114064143035606	0.0019049573747623384	-0.0013392619676876009	Pih1d1
19395	0.0007909113605852113	0.001201189577613249	-0.0010059145639457687	Rasgrp2
68680	0.0	0.0	0.0	Fitm1
74134	-0.00042564793438232127	0.0001445538206909885	-0.0003828672587516448	Cyp2s1
18750	-0.00029866049473016777	3.034463510638481e-05	-0.00132729076122699	Prkca
170638	-0.0	-0.0	-0.0	Hpcal4
18595	-0.002528893999274654	-0.00840147212981852	-0.005124338342068863	Pdgfra
70726	-0.0	-0.0	-0.0	Angptl6
67795	-0.0022637895242163986	-0.001524826221370514	-0.0026032056742434926	Rnls
71913	-0.004271432841417985	-0.0010165217259452597	-0.0072027008636423966	Tmem79
320563	0.0	0.0	0.0	Islr2
227674	0.0032552716488869573	0.0030236549867938296	0.004309674663678647	Ddx31
23999	0.0011242848955484396	0.0007359936650980907	0.0010924646732650533	Twf2
30955	0.0	0.0	0.0	Pik3cg
233406	0.0006686918463112277	-7.866396025561297e-06	0.0005374914402879216	Prc1
18816	0.0	0.0	0.0	Serpinf2
68667	-0.0002637148497544113	0.0006781406249534604	-0.000546313336164683	Trpm4
