	control	A485	A485+Dux	control_E2C
ENSMUSG00000070828 Zscan4f	7.448426294170719	6.713536194376888	9.144647930541813	9.649279834155063
ENSMUSG00000094328 Tdpoz9	6.663857539385313	4.559262422876169	6.523832911958213	4.862192529797623
ENSMUSG00000095822 Tdpoz9-ps1	6.6486972509485245	3.5613513435288744	6.554421786410803	4.122354860973358
ENSMUSG00000054272 Zscan4c	6.388798062731014	5.2830091360185865	8.162421459257176	8.910967941919798
ENSMUSG00000094084 Tdpoz1	6.344559632170257	4.493133205045123	6.380185964905656	4.7082654738738405
ENSMUSG00000095821 Tcstv3	6.254913298585739	4.292294623941809	5.9496915421391	6.521348075740018
ENSMUSG00000090714 Zscan4d	6.189405094164886	5.245505782232834	7.700236610797109	8.406363842236367
ENSMUSG00000048502 Duxbl1	5.9413279624789395	3.6993024028223123	4.908512665188041	4.993712053529617
ENSMUSG00000096284 Tcstv1	5.516202185476476	4.479736380598637	5.9053443173893445	7.918800224040506
ENSMUSG00000094163 Tdpoz5	5.029421769054551	2.490882512046634	4.70498384618101	4.030381494025562
ENSMUSG00000095251 Tdpoz7	5.029421769054551	2.490882512046634	4.70498384618101	4.030381494025562
ENSMUSG00000095936 Zscan4e	4.509829696034114	4.342549667046806	5.8614476457104026	6.814470796821839
ENSMUSG00000096879 Tdpoz8	4.325537136833951	3.3663852756597556	4.667919906281751	4.478560367496896
ENSMUSG00000060256 Tdpoz4	2.6861201365044396	1.7090474522173384	3.033257952186299	2.25477569455797
ENSMUSG00000103362 Tdpoz2	2.5970688264378143	1.222299818122347	2.6195820114226076	1.2486580583465767
ENSMUSG00000058005 Tdpoz3	1.5628479360735898	0.5345075689320752	2.019921807948218	2.523555139174999
ENSMUSG00000095339 Zscan4b	0.9078309949170985	0.5620615697096115	2.035594262161065	3.7802391460873865
