set	arm	n	mean	ci_lo	ci_hi
zygotic	control L2C	4.0	3.565014974034159		
zygotic	A485 L2C	3.0	1.0963080139492238		
zygotic	A485+Dux L2C	4.0	2.7630935824528944		
zygotic	control E2C	4.0	0.48958789372301104		
zygotic	A485 - control (L2C)		-2.468706960084935	-2.7230163104355496	-2.21439760973432
zygotic	A485+Dux - control (L2C)		-0.8019213915812644	-1.334616292142698	-0.35806033017971917
zygotic	A485+Dux - A485 (L2C)		1.6667855685036705	1.1391222547287645	2.0366999649451136
maternal	control L2C	4.0	2.8919215139198498		
maternal	A485 L2C	3.0	3.5795267260327464		
maternal	A485+Dux L2C	4.0	3.2777978636648575		
maternal	control E2C	4.0	6.160052128842797		
maternal	A485 - control (L2C)		0.6876052121128966	0.22723627906752064	1.2280381861796648
maternal	A485+Dux - control (L2C)		0.38587634974500773	-0.011302533883168061	0.7919834687993368
maternal	A485+Dux - A485 (L2C)		-0.3017288623678889	-0.6948464772517466	0.04971542508285065
