dataset	analysis	species	sample_id	gsm	srr	stage	arm	variant	reference	clock_value
GSE225056	Gate 1	Mouse	16-cell_1	GSM7038161		16-cell		V0	oocytes of the same species	0.1075527635231514
GSE225056	Gate 1	Mouse	16-cell_10	GSM7038170		16-cell		V0	oocytes of the same species	0.0770039167071979
GSE225056	Gate 1	Mouse	16-cell_11	GSM7038171		16-cell		V0	oocytes of the same species	0.0162867804174856
GSE225056	Gate 1	Mouse	16-cell_12	GSM7038172		16-cell		V0	oocytes of the same species	-0.1125386004005358
GSE225056	Gate 1	Mouse	16-cell_2	GSM7038162		16-cell		V0	oocytes of the same species	0.0164013063212237
GSE225056	Gate 1	Mouse	16-cell_3	GSM7038163		16-cell		V0	oocytes of the same species	0.1031364503308317
GSE225056	Gate 1	Mouse	16-cell_4	GSM7038164		16-cell		V0	oocytes of the same species	0.0551593995114489
GSE225056	Gate 1	Mouse	16-cell_5	GSM7038165		16-cell		V0	oocytes of the same species	0.0322768349863422
GSE225056	Gate 1	Mouse	16-cell_6	GSM7038166		16-cell		V0	oocytes of the same species	-0.0139394529748678
GSE225056	Gate 1	Mouse	16-cell_7	GSM7038167		16-cell		V0	oocytes of the same species	0.3006317455110477
GSE225056	Gate 1	Mouse	16-cell_8	GSM7038168		16-cell		V0	oocytes of the same species	0.1056755154771325
GSE225056	Gate 1	Mouse	16-cell_9	GSM7038169		16-cell		V0	oocytes of the same species	0.0036107729666853
GSE225056	Gate 1	Mouse	4-cell_1	GSM7038138		4-cell		V0	oocytes of the same species	0.0180124641606456
GSE225056	Gate 1	Mouse	4-cell_11	GSM7038147		4-cell		V0	oocytes of the same species	-0.1041599424900281
GSE225056	Gate 1	Mouse	4-cell_12	GSM7038148		4-cell		V0	oocytes of the same species	0.0366231488783347
GSE225056	Gate 1	Mouse	4-cell_2	GSM7038139		4-cell		V0	oocytes of the same species	0.0133469629494996
GSE225056	Gate 1	Mouse	4-cell_3	GSM7038140		4-cell		V0	oocytes of the same species	-0.1002873260241992
GSE225056	Gate 1	Mouse	4-cell_4	GSM7038141		4-cell		V0	oocytes of the same species	0.0014862537908623
GSE225056	Gate 1	Mouse	4-cell_5	GSM7038142		4-cell		V0	oocytes of the same species	-0.0459160977216879
GSE225056	Gate 1	Mouse	4-cell_6	GSM7038143		4-cell		V0	oocytes of the same species	-0.0508064801262761
GSE225056	Gate 1	Mouse	4-cell_7	GSM7038144		4-cell		V0	oocytes of the same species	0.1621504194211825
GSE225056	Gate 1	Mouse	4-cell_8	GSM7038145		4-cell		V0	oocytes of the same species	-0.0642204109263129
GSE225056	Gate 1	Mouse	4-cell_9	GSM7038146		4-cell		V0	oocytes of the same species	-0.0659256155024216
GSE225056	Gate 1	Mouse	8-cell_1	GSM7038149		8-cell		V0	oocytes of the same species	0.0783615833205799
GSE225056	Gate 1	Mouse	8-cell_10	GSM7038158		8-cell		V0	oocytes of the same species	0.038586108593252
GSE225056	Gate 1	Mouse	8-cell_12	GSM7038160		8-cell		V0	oocytes of the same species	0.0751710924105925
GSE225056	Gate 1	Mouse	8-cell_2	GSM7038150		8-cell		V0	oocytes of the same species	0.1166424063154521
GSE225056	Gate 1	Mouse	8-cell_3	GSM7038151		8-cell		V0	oocytes of the same species	0.0206458539386992
GSE225056	Gate 1	Mouse	8-cell_4	GSM7038152		8-cell		V0	oocytes of the same species	0.0923097445752871
GSE225056	Gate 1	Mouse	8-cell_5	GSM7038153		8-cell		V0	oocytes of the same species	0.1601342129835962
GSE225056	Gate 1	Mouse	8-cell_6	GSM7038154		8-cell		V0	oocytes of the same species	0.1967731023813905
GSE225056	Gate 1	Mouse	8-cell_7	GSM7038155		8-cell		V0	oocytes of the same species	0.0725726687960287
GSE225056	Gate 1	Mouse	8-cell_8	GSM7038156		8-cell		V0	oocytes of the same species	0.1247222447011631
GSE225056	Gate 1	Mouse	8-cell_9	GSM7038157		8-cell		V0	oocytes of the same species	0.1061694812274764
GSE225056	Gate 1	Mouse	Early-2-cell_1	GSM7038119		Early-2-cell		V0	oocytes of the same species	0.2450484183202484
GSE225056	Gate 1	Mouse	Early-2-cell_10	GSM7038125		Early-2-cell		V0	oocytes of the same species	0.1032389955913894
GSE225056	Gate 1	Mouse	Early-2-cell_11	GSM7038126		Early-2-cell		V0	oocytes of the same species	0.0808084079631235
GSE225056	Gate 1	Mouse	Early-2-cell_12	GSM7038127		Early-2-cell		V0	oocytes of the same species	0.1256164066087738
GSE225056	Gate 1	Mouse	Early-2-cell_3	GSM7038120		Early-2-cell		V0	oocytes of the same species	0.0827581763615206
GSE225056	Gate 1	Mouse	Early-2-cell_4	GSM7038121		Early-2-cell		V0	oocytes of the same species	0.1039149033681568
GSE225056	Gate 1	Mouse	Early-2-cell_6	GSM7038122		Early-2-cell		V0	oocytes of the same species	0.0584687038117595
GSE225056	Gate 1	Mouse	Early-2-cell_7	GSM7038123		Early-2-cell		V0	oocytes of the same species	0.118597458901336
GSE225056	Gate 1	Mouse	Early-2-cell_9	GSM7038124		Early-2-cell		V0	oocytes of the same species	0.1229918531081244
GSE225056	Gate 1	Mouse	Late-2-cell_1	GSM7038128		Late-2-cell		V0	oocytes of the same species	-0.0983321582942372
GSE225056	Gate 1	Mouse	Late-2-cell_10	GSM7038137		Late-2-cell		V0	oocytes of the same species	-0.1352337622385338
GSE225056	Gate 1	Mouse	Late-2-cell_2	GSM7038129		Late-2-cell		V0	oocytes of the same species	-0.1255387593798118
GSE225056	Gate 1	Mouse	Late-2-cell_3	GSM7038130		Late-2-cell		V0	oocytes of the same species	-0.0343785170876853
GSE225056	Gate 1	Mouse	Late-2-cell_4	GSM7038131		Late-2-cell		V0	oocytes of the same species	-0.2029810324596096
GSE225056	Gate 1	Mouse	Late-2-cell_5	GSM7038132		Late-2-cell		V0	oocytes of the same species	-0.089689489187359
GSE225056	Gate 1	Mouse	Late-2-cell_6	GSM7038133		Late-2-cell		V0	oocytes of the same species	0.0192979469991438
GSE225056	Gate 1	Mouse	Late-2-cell_7	GSM7038134		Late-2-cell		V0	oocytes of the same species	0.0579515432246671
GSE225056	Gate 1	Mouse	Late-2-cell_8	GSM7038135		Late-2-cell		V0	oocytes of the same species	0.0094701354470486
GSE225056	Gate 1	Mouse	Late-2-cell_9	GSM7038136		Late-2-cell		V0	oocytes of the same species	-0.1506677230996081
GSE225056	Gate 1	Mouse	Oocyte_1	GSM7038097		Oocyte		V0	oocytes of the same species	-0.090158523597379
GSE225056	Gate 1	Mouse	Oocyte_10	GSM7038105		Oocyte		V0	oocytes of the same species	0.0705715266343756
GSE225056	Gate 1	Mouse	Oocyte_11	GSM7038106		Oocyte		V0	oocytes of the same species	-0.0197099922606322
GSE225056	Gate 1	Mouse	Oocyte_12	GSM7038107		Oocyte		V0	oocytes of the same species	0.0669219043468616
GSE225056	Gate 1	Mouse	Oocyte_2	GSM7038098		Oocyte		V0	oocytes of the same species	0.0150179199011507
GSE225056	Gate 1	Mouse	Oocyte_3	GSM7038099		Oocyte		V0	oocytes of the same species	0.0250885054709956
GSE225056	Gate 1	Mouse	Oocyte_4	GSM7038100		Oocyte		V0	oocytes of the same species	-0.0193203140722543
GSE225056	Gate 1	Mouse	Oocyte_5	GSM7038101		Oocyte		V0	oocytes of the same species	-0.0620450243983778
GSE225056	Gate 1	Mouse	Oocyte_6	GSM7038102		Oocyte		V0	oocytes of the same species	0.0684554741866461
GSE225056	Gate 1	Mouse	Oocyte_7	GSM7038103		Oocyte		V0	oocytes of the same species	0.0132737893791603
GSE225056	Gate 1	Mouse	Oocyte_8	GSM7038104		Oocyte		V0	oocytes of the same species	0.0201633468657436
GSE225056	Gate 1	Mouse	Zygote_1	GSM7038108		Zygote		V0	oocytes of the same species	0.062609543927849
GSE225056	Gate 1	Mouse	Zygote_10	GSM7038116		Zygote		V0	oocytes of the same species	0.2189641225278108
GSE225056	Gate 1	Mouse	Zygote_11	GSM7038117		Zygote		V0	oocytes of the same species	0.1078239725003244
GSE225056	Gate 1	Mouse	Zygote_12	GSM7038118		Zygote		V0	oocytes of the same species	0.0950737825772955
GSE225056	Gate 1	Mouse	Zygote_2	GSM7038109		Zygote		V0	oocytes of the same species	0.0543305292551601
GSE225056	Gate 1	Mouse	Zygote_3	GSM7038110		Zygote		V0	oocytes of the same species	0.1192161499446554
GSE225056	Gate 1	Mouse	Zygote_4	GSM7038111		Zygote		V0	oocytes of the same species	0.15494853623183
GSE225056	Gate 1	Mouse	Zygote_5	GSM7038112		Zygote		V0	oocytes of the same species	0.2269675563309387
GSE225056	Gate 1	Mouse	Zygote_6	GSM7038113		Zygote		V0	oocytes of the same species	0.179345806169341
GSE225056	Gate 1	Mouse	Zygote_7	GSM7038114		Zygote		V0	oocytes of the same species	0.0899011280056054
GSE225056	Gate 1	Mouse	Zygote_8	GSM7038115		Zygote		V0	oocytes of the same species	0.0913415289787143
GSE225056	Gate 1	Cow	16-cell_1	GSM7038313		16-cell		V0	oocytes of the same species	-0.1668358702869131
GSE225056	Gate 1	Cow	16-cell_10	GSM7038322		16-cell		V0	oocytes of the same species	-0.3319257963567437
GSE225056	Gate 1	Cow	16-cell_11	GSM7038323		16-cell		V0	oocytes of the same species	-0.2456685717591706
GSE225056	Gate 1	Cow	16-cell_12	GSM7038324		16-cell		V0	oocytes of the same species	-0.1992197269305156
GSE225056	Gate 1	Cow	16-cell_2	GSM7038314		16-cell		V0	oocytes of the same species	0.0327512595133224
GSE225056	Gate 1	Cow	16-cell_3	GSM7038315		16-cell		V0	oocytes of the same species	-0.1882627630552086
GSE225056	Gate 1	Cow	16-cell_4	GSM7038316		16-cell		V0	oocytes of the same species	-0.3344697113409999
GSE225056	Gate 1	Cow	16-cell_5	GSM7038317		16-cell		V0	oocytes of the same species	-0.2316351125688743
GSE225056	Gate 1	Cow	16-cell_6	GSM7038318		16-cell		V0	oocytes of the same species	-0.1648195151458615
GSE225056	Gate 1	Cow	16-cell_7	GSM7038319		16-cell		V0	oocytes of the same species	-0.3052864022619664
GSE225056	Gate 1	Cow	16-cell_8	GSM7038320		16-cell		V0	oocytes of the same species	-0.4130785921952365
GSE225056	Gate 1	Cow	16-cell_9	GSM7038321		16-cell		V0	oocytes of the same species	-0.1541691220614993
GSE225056	Gate 1	Cow	2-cell_1	GSM7038277		2-cell		V0	oocytes of the same species	0.0674802926801251
GSE225056	Gate 1	Cow	2-cell_10	GSM7038286		2-cell		V0	oocytes of the same species	0.1523844268623806
GSE225056	Gate 1	Cow	2-cell_11	GSM7038287		2-cell		V0	oocytes of the same species	0.0102392082139813
GSE225056	Gate 1	Cow	2-cell_12	GSM7038288		2-cell		V0	oocytes of the same species	-0.0525421293420353
GSE225056	Gate 1	Cow	2-cell_2	GSM7038278		2-cell		V0	oocytes of the same species	0.0687182432041067
GSE225056	Gate 1	Cow	2-cell_3	GSM7038279		2-cell		V0	oocytes of the same species	0.1013236747233475
GSE225056	Gate 1	Cow	2-cell_4	GSM7038280		2-cell		V0	oocytes of the same species	0.1239336541794136
GSE225056	Gate 1	Cow	2-cell_5	GSM7038281		2-cell		V0	oocytes of the same species	0.046406170998986
GSE225056	Gate 1	Cow	2-cell_6	GSM7038282		2-cell		V0	oocytes of the same species	0.1250283577233876
GSE225056	Gate 1	Cow	2-cell_7	GSM7038283		2-cell		V0	oocytes of the same species	0.0746413151843542
GSE225056	Gate 1	Cow	2-cell_8	GSM7038284		2-cell		V0	oocytes of the same species	0.1004483642940592
GSE225056	Gate 1	Cow	2-cell_9	GSM7038285		2-cell		V0	oocytes of the same species	0.0786941544635374
GSE225056	Gate 1	Cow	4-cell_1	GSM7038289		4-cell		V0	oocytes of the same species	0.1342410318412972
GSE225056	Gate 1	Cow	4-cell_10	GSM7038298		4-cell		V0	oocytes of the same species	0.1089897048554111
GSE225056	Gate 1	Cow	4-cell_11	GSM7038299		4-cell		V0	oocytes of the same species	0.1548763903057244
GSE225056	Gate 1	Cow	4-cell_12	GSM7038300		4-cell		V0	oocytes of the same species	0.0462233532824212
GSE225056	Gate 1	Cow	4-cell_2	GSM7038290		4-cell		V0	oocytes of the same species	0.2281924557859963
GSE225056	Gate 1	Cow	4-cell_3	GSM7038291		4-cell		V0	oocytes of the same species	0.1073078166911341
GSE225056	Gate 1	Cow	4-cell_4	GSM7038292		4-cell		V0	oocytes of the same species	0.1225960393516897
GSE225056	Gate 1	Cow	4-cell_5	GSM7038293		4-cell		V0	oocytes of the same species	0.0023628884682713
GSE225056	Gate 1	Cow	4-cell_6	GSM7038294		4-cell		V0	oocytes of the same species	0.1371616532346263
GSE225056	Gate 1	Cow	4-cell_7	GSM7038295		4-cell		V0	oocytes of the same species	0.2399692791885063
GSE225056	Gate 1	Cow	4-cell_8	GSM7038296		4-cell		V0	oocytes of the same species	0.0608248355395141
GSE225056	Gate 1	Cow	4-cell_9	GSM7038297		4-cell		V0	oocytes of the same species	0.1429386520694472
GSE225056	Gate 1	Cow	8-cell_1	GSM7038301		8-cell		V0	oocytes of the same species	0.0627218416702988
GSE225056	Gate 1	Cow	8-cell_10	GSM7038310		8-cell		V0	oocytes of the same species	0.0912930050437663
GSE225056	Gate 1	Cow	8-cell_11	GSM7038311		8-cell		V0	oocytes of the same species	0.087621786871559
GSE225056	Gate 1	Cow	8-cell_12	GSM7038312		8-cell		V0	oocytes of the same species	0.1173582197497267
GSE225056	Gate 1	Cow	8-cell_2	GSM7038302		8-cell		V0	oocytes of the same species	0.0575799718992365
GSE225056	Gate 1	Cow	8-cell_3	GSM7038303		8-cell		V0	oocytes of the same species	0.0902637711763781
GSE225056	Gate 1	Cow	8-cell_4	GSM7038304		8-cell		V0	oocytes of the same species	0.1314196455260403
