entrez_id	symbol	clock_coefficient	P1_log2FC_control_L2C_vs_E2C	P1_dynamic_gene_class	P1_contribution_control	P1_contribution_A485	P1_contribution_A485_DUX	P3_contribution_control	P3_contribution_Brg1_matKO	P3_log2FC_control_L2C_vs_E2C
16601	Klf9	-0.0199327545924369	4.476413635946091	neither	-0.0326970673403386	-0.017290242005618	-0.028304614924422	-0.0241336283521928	-0.023050318545831	3.5689305517331613
74513	Neto2	-0.0226848081242841	2.9249381584915533	neither	-0.0236888571158173	-0.0027891074947943	-0.0078853389577352	-0.0127229557367983	-0.0088269606864861	1.9045112131847493
84095	Pi4k2a	-0.0159147928360484	3.025947207409379	neither	-0.0181943466417629	-0.0032162273373832	-0.0120247846020428	-0.0140003007093814	-0.0132883381288194	2.687972699307372
226830	Smyd2	0.0318049534532745	-0.8696167992682061	neither	-0.017971778509605	-0.0138832739829025	-0.0130082934373441	-0.009535884209851	-0.0117529808418292	-0.398169932683516
93695	Gpnmb	0.0208409516036422	-1.5724924368904754	neither	-0.0175144073420924	-0.0055770229320016	-0.0117413804930492	-0.0127708776170601	-0.0079406966179796	-1.4149865900968823
66614	Gpatch4	-0.0135171916648691	2.88513713840648	neither	-0.0161059600110873	-0.0035865297186926	-0.0108848584567814	-0.0114390782682141	-0.0044251030991288	2.747256212594745
20200	S100a6	0.024399101043478	-0.7228353823855429	neither	-0.0158126168472709	0.004777748282399	-0.0018611354418071	0.0	0.0	
100515	Zfp518b	-0.0159699150769967	2.0557523579177617	neither	-0.0147230796456762	-0.0193580325688179	-0.0177379049044435	-0.0173483578562486	-0.0136690591287385	3.183372712030688
108699	Chn1	0.0215830813307895	-1.52725090437056	neither	-0.0132901036103467	-0.0049912007320201	-0.0100477732386638	-0.0051170910728526	-0.0022728749267342	-0.4648898612949028
19173	Psmb5	-0.0089547029370377	3.812705196004668	neither	-0.0132123703548997	-0.0032061391464446	-0.0102363319128447	-0.0090519633671296	-0.0100471005149964	2.724972032514702
27060	Tcirg1	-0.0197553981590382	1.546004544681597	neither	-0.0123170474635272	-0.0092606401259414	-0.0160636593450169	-0.018126725940914	-0.0117394966187317	2.494366082701327
108811	Ccdc122	0.0117628958452925	-2.653806559555456	neither	-0.0119115502757478	-0.0122691516783846	-0.0122670298962202	-0.010965161610287	-0.004874990547795	-1.7857339098018197
227656	Rexo4	-0.0118473669001416	2.495940667637492	neither	-0.0115425137478689	-0.0062496376076756	-0.0119941448556933	-0.0091611972398491	-0.0086870914152832	2.5313746595377187
54353	Skap2	0.0201600645841081	-1.4442387519753614	neither	-0.0114569316612072	-0.005082797722497	-0.0085924544776194	-0.0049660883919461	-0.0023621445979302	-0.4898791187567199
54561	Nap1l3	0.0126995911372371	-1.4154585728709494	neither	-0.0111246168737817	-0.0024484956061146	-0.0072763699825163	-0.0109186130762505	-0.0073439110904192	-1.8785786177339845
64660	Mrps24	-0.0172252482723226	1.8604010569185008	neither	-0.0111037811691375	-0.0036116212940274	-0.004052696182304	-0.0143911501622775	-0.0060476570992525	2.4976648336743312
11815	Apod	0.0168541970635297	-1.223773287951214	neither	-0.010924411570231	-8.794396362748408e-05	-0.0061492277207013	-0.0091752500418635	-0.0057301920772081	-0.8854469701280948
93689	Lmod1	-0.0124910575885697	1.050925882444874	neither	-0.0106679706228909	-0.0087331250198459	-0.0075642533255732	-0.0130151704791604	-0.0118369074462848	2.609312451972909
27276	Plekhb1	0.0286733961106819	-0.909998300465673	neither	-0.0106638061005815	-0.0002495176947144	-0.0064426296274984	-0.0057981380590021	-0.0074776807700456	-0.284849911400339
