fold	held_out_control_E2C	held_out_control_L2C	n_selected_events	fraction_shared_with_gate4_events	progression_control_in_sample	progression_control_held_out	progression_A485	progression_A485_DUX	I_A485_minus_held_out_control	I_A485_DUX_minus_held_out_control	R_A485_DUX_minus_A485
0	SRR30827763	SRR30827782	618	0.7588996763754046	1.0	0.5729957083656503	0.50003161227817	0.6928518336258647	-0.0729640960874803	0.1198561252602143	0.1928202213476947
1	SRR30827763	SRR30827779	841	0.582639714625446	1.0	0.3158362292984817	0.4664487637987531	0.6107216410531399	0.1506125345002714	0.2948854117546581	0.1442728772543867
2	SRR30827763	SRR30827781	592	0.7584459459459459	1.0	0.690038757202069	0.5365240137105082	0.739664497230857	-0.1535147434915608	0.049625740028788	0.2031404835203488
3	SRR30827763	SRR30827780	586	0.7679180887372014	1.0	0.7094611705950438	0.540205270336583	0.7539569995630757	-0.1692559002584607	0.0444958289680319	0.2137517292264926
4	SRR30827785	SRR30827782	510	0.8392156862745098	1.0	0.7391452656161497	0.4851413710017073	0.7150728462361865	-0.2540038946144423	-0.0240724193799631	0.2299314752344791
5	SRR30827785	SRR30827779	694	0.6714697406340058	1.0	0.4868662476909566	0.5019309940472179	0.6514228999573782	0.0150647463562612	0.1645566522664215	0.1494919059101603
6	SRR30827785	SRR30827781	479	0.8350730688935282	1.0	0.884600055730352	0.5122102472379729	0.759049949525417	-0.3723898084923791	-0.125550106204935	0.2468397022874441
7	SRR30827785	SRR30827780	476	0.8508403361344538	1.0	0.8893238805632362	0.5297151042552103	0.7783127677476382	-0.3596087763080259	-0.1110111128155979	0.2485976634924279
8	SRR30827786	SRR30827782	464	0.8685344827586207	1.0	0.9032278374304794	0.4885308521262437	0.7218232016710076	-0.4146969853042356	-0.1814046357594718	0.2332923495447638
9	SRR30827786	SRR30827779	616	0.7142857142857143	1.0	0.6564805114162676	0.4702604306763641	0.668110517172154	-0.1862200807399035	0.0116300057558863	0.1978500864957899
10	SRR30827786	SRR30827781	439	0.8473804100227791	1.0	1.0502709317286285	0.5243088298165104	0.7684672667971822	-0.5259621019121179	-0.281803664931446	0.2441584369806718
11	SRR30827786	SRR30827780	423	0.8652482269503546	1.0	1.084388584476827	0.5261560639663077	0.7614932794456638	-0.5582325205105194	-0.3228953050311632	0.2353372154793561
12	SRR30827774	SRR30827782	572	0.7272727272727273	1.0	0.8121959282351253	0.494529799598729	0.7394135019348386	-0.3176661286363962	-0.0727824263002867	0.2448837023361095
13	SRR30827774	SRR30827779	753	0.6321381142098274	1.0	0.7912062164903515	0.5522823331639729	0.7430492794807058	-0.2389238833263786	-0.0481569370096457	0.1907669463167328
14	SRR30827774	SRR30827781	536	0.7481343283582089	1.0	1.0254815017303067	0.5626805382147071	0.8153627834180694	-0.4628009635155996	-0.2101187183122372	0.2526822452033623
15	SRR30827774	SRR30827780	539	0.7439703153988868	1.0	1.0339487910153136	0.5817493698178562	0.8255320834143339	-0.4521994211974574	-0.2084167076009796	0.2437827135964777
