Gene stable ID	RefSeq mRNA predicted ID
ENSBTAG00000043548	
ENSBTAG00000043567	
ENSBTAG00000043562	
ENSBTAG00000043570	
ENSBTAG00000043555	
ENSBTAG00000043558	
ENSBTAG00000043575	
ENSBTAG00000043565	
ENSBTAG00000043549	
ENSBTAG00000043571	
ENSBTAG00000043579	
ENSBTAG00000043547	
ENSBTAG00000043573	
ENSBTAG00000043557	
ENSBTAG00000043580	
ENSBTAG00000043561	
ENSBTAG00000043545	
ENSBTAG00000043574	
ENSBTAG00000043556	
ENSBTAG00000043576	
ENSBTAG00000043564	
ENSBTAG00000043584	
ENSBTAG00000043560	
ENSBTAG00000043554	
ENSBTAG00000043568	
ENSBTAG00000043552	
ENSBTAG00000043559	
ENSBTAG00000043577	
ENSBTAG00000043544	
ENSBTAG00000043551	
ENSBTAG00000043566	
ENSBTAG00000043563	
ENSBTAG00000043546	
ENSBTAG00000043583	
ENSBTAG00000043550	
ENSBTAG00000043572	
ENSBTAG00000043582	
ENSBTAG00000002138	
ENSBTAG00000003403	XM_010802616
ENSBTAG00000003403	XM_005203269
ENSBTAG00000003403	XM_005203268
ENSBTAG00000003403	XM_010802617
ENSBTAG00000003403	XM_010802614
ENSBTAG00000003403	XM_010802615
ENSBTAG00000008314	
ENSBTAG00000008314	XM_015460049
ENSBTAG00000008309	
ENSBTAG00000003832	
ENSBTAG00000003832	XM_005203076
ENSBTAG00000003832	XM_059891705
ENSBTAG00000003832	XM_005203073
ENSBTAG00000003832	XM_005203074
ENSBTAG00000003822	
ENSBTAG00000003822	XM_005203371
ENSBTAG00000003822	XM_002685798
ENSBTAG00000003822	XM_059880248
ENSBTAG00000013282	
ENSBTAG00000013282	XM_005203097
ENSBTAG00000013281	XM_059880264
ENSBTAG00000013281	XM_059880263
ENSBTAG00000013281	XM_059880258
ENSBTAG00000009251	
ENSBTAG00000009251	XM_025000916
ENSBTAG00000009251	XM_010802538
ENSBTAG00000008510	XM_003585804
ENSBTAG00000008510	XM_005203374
ENSBTAG00000014221	
ENSBTAG00000014221	XM_002685745
ENSBTAG00000005670	
ENSBTAG00000005670	XM_059876900
ENSBTAG00000005670	XM_059876905
ENSBTAG00000005670	XM_059876902
ENSBTAG00000005670	XM_059876896
ENSBTAG00000005670	XM_024978132
ENSBTAG00000005670	XM_059876911
ENSBTAG00000005670	XM_024978128
ENSBTAG00000000815	
ENSBTAG00000034680	XM_059880107
ENSBTAG00000034680	XM_024983355
ENSBTAG00000034674	
ENSBTAG00000034674	XM_024983349
ENSBTAG00000034674	XM_024983354
ENSBTAG00000034674	XM_024983352
ENSBTAG00000055045	
ENSBTAG00000055045	XM_003585805
ENSBTAG00000008579	
ENSBTAG00000038945	
ENSBTAG00000038945	XM_002685797
ENSBTAG00000010938	
ENSBTAG00000012052	XM_005203091
ENSBTAG00000012052	
ENSBTAG00000012043	
ENSBTAG00000012043	XM_010802689
ENSBTAG00000048513	XM_005203380
ENSBTAG00000071769	XM_059880255
ENSBTAG00000076111	
ENSBTAG00000057673	
ENSBTAG00000067571	
ENSBTAG00000063511	
ENSBTAG00000061284	
ENSBTAG00000063340	
ENSBTAG00000059673	
ENSBTAG00000060721	
ENSBTAG00000063423	
ENSBTAG00000056089	
ENSBTAG00000060732	
ENSBTAG00000067907	
ENSBTAG00000061743	
ENSBTAG00000073213	
ENSBTAG00000073030	
ENSBTAG00000053870	
ENSBTAG00000045172	
ENSBTAG00000012798	XM_024997203
ENSBTAG00000013806	XM_059884990
ENSBTAG00000013806	XM_059884988
ENSBTAG00000013806	XM_059884979
