Gene stable ID	Gene name	Mouse gene stable ID	Mouse homology type
ENSMMUG00000023296	PGBD2		
ENSMMUG00000036181	U6		
ENSMMUG00000000634	ZNF692	ENSMUSG00000037243	ortholog_one2one
ENSMMUG00000037875	ZNF672	ENSMUSG00000049755	ortholog_one2one
ENSMMUG00000000632	SH3BP5L	ENSMUSG00000013646	ortholog_one2one
ENSMMUG00000064799		ENSMUSG00000108981	ortholog_one2many
ENSMMUG00000057389	LYPD8	ENSMUSG00000013643	ortholog_one2one
ENSMMUG00000031200		ENSMUSG00000037145	ortholog_one2many
ENSMMUG00000031200		ENSMUSG00000058287	ortholog_one2many
ENSMMUG00000031200		ENSMUSG00000013653	ortholog_one2many
ENSMMUG00000052613		ENSMUSG00000052642	ortholog_one2one
ENSMMUG00000031199	OR2T27		
ENSMMUG00000053841		ENSMUSG00000091809	ortholog_one2many
ENSMMUG00000017095			
ENSMMUG00000025700	Y_RNA		
ENSMMUG00000049101	OR2T10		
ENSMMUG00000048289			
ENSMMUG00000017368			
ENSMMUG00000055842	OR14I1		
ENSMMUG00000031198			
ENSMMUG00000062331	OR9G1	ENSMUSG00000075209	ortholog_one2one
ENSMMUG00000049901		ENSMUSG00000064252	ortholog_one2many
ENSMMUG00000049901		ENSMUSG00000058807	ortholog_one2many
ENSMMUG00000049901		ENSMUSG00000050818	ortholog_one2many
ENSMMUG00000049901		ENSMUSG00000059279	ortholog_one2many
ENSMMUG00000049901		ENSMUSG00000060765	ortholog_one2many
ENSMMUG00000049901		ENSMUSG00000057654	ortholog_one2many
ENSMMUG00000064657		ENSMUSG00000091809	ortholog_one2many
ENSMMUG00000005566	OR2T1	ENSMUSG00000072707	ortholog_one2one
ENSMMUG00000064874	OR2T6	ENSMUSG00000052417	ortholog_one2one
ENSMMUG00000039595			
ENSMMUG00000038524	OR2M4		
ENSMMUG00000049432		ENSMUSG00000059504	ortholog_one2many
ENSMMUG00000050812			
ENSMMUG00000059065		ENSMUSG00000061361	ortholog_many2many
ENSMMUG00000059065		ENSMUSG00000056822	ortholog_many2many
ENSMMUG00000064763			
ENSMMUG00000053957		ENSMUSG00000045341	ortholog_one2many
ENSMMUG00000062908	Y_RNA		
ENSMMUG00000057748	OR2L2	ENSMUSG00000045341	ortholog_one2many
ENSMMUG00000051218	Y_RNA		
ENSMMUG00000050041	OR2L5	ENSMUSG00000045341	ortholog_one2many
ENSMMUG00000052261		ENSMUSG00000045341	ortholog_one2many
ENSMMUG00000054556	Y_RNA		
ENSMMUG00000060886		ENSMUSG00000061361	ortholog_many2many
ENSMMUG00000060886		ENSMUSG00000056822	ortholog_many2many
ENSMMUG00000062168		ENSMUSG00000045341	ortholog_one2many
ENSMMUG00000059751	Y_RNA		
ENSMMUG00000018891			
ENSMMUG00000056262		ENSMUSG00000059504	ortholog_one2many
ENSMMUG00000038159	OR2W3	ENSMUSG00000060030	ortholog_one2many
ENSMMUG00000038159	OR2W3	ENSMUSG00000063549	ortholog_one2many
ENSMMUG00000005570	TRIM58	ENSMUSG00000037124	ortholog_one2one
ENSMMUG00000006214	OR11L1	ENSMUSG00000043880	ortholog_one2one
ENSMMUG00000056211		ENSMUSG00000056564	ortholog_one2one
ENSMMUG00000049478	OR9H1P	ENSMUSG00000049806	ortholog_one2one
ENSMMUG00000062849	OR1C1		
ENSMMUG00000064145	OR14K1		
ENSMMUG00000059455	OR14A2	ENSMUSG00000062878	ortholog_one2many
ENSMMUG00000059455	OR14A2	ENSMUSG00000055571	ortholog_one2many
ENSMMUG00000059455	OR14A2	ENSMUSG00000062426	ortholog_one2many
ENSMMUG00000059455	OR14A2	ENSMUSG00000055610	ortholog_one2many
ENSMMUG00000059455	OR14A2	ENSMUSG00000062042	ortholog_one2many
ENSMMUG00000016175	OR6F1	ENSMUSG00000054498	ortholog_one2one
ENSMMUG00000016176	OR13G1	ENSMUSG00000054054	ortholog_one2one
ENSMMUG00000058340			
ENSMMUG00000005955	GCSAML		
ENSMMUG00000012954	OR2C3		
ENSMMUG00000060427			
ENSMMUG00000005949	OR2B11	ENSMUSG00000059610	ortholog_one2one
ENSMMUG00000005946	NLRP3	ENSMUSG00000032691	ortholog_one2one
ENSMMUG00000052686			
ENSMMUG00000019585	ZNF496	ENSMUSG00000020472	ortholog_one2one
ENSMMUG00000064912	Y_RNA		
ENSMMUG00000021266			
ENSMMUG00000058602			
ENSMMUG00000059322		ENSMUSG00000057842	ortholog_many2many
ENSMMUG00000059322		ENSMUSG00000055341	ortholog_many2many
ENSMMUG00000059322		ENSMUSG00000098905	ortholog_many2many
ENSMMUG00000059322		ENSMUSG00000048280	ortholog_many2many
ENSMMUG00000004566	ZNF124	ENSMUSG00000055150	ortholog_one2many
ENSMMUG00000058214			
ENSMMUG00000023311	ZNF669	ENSMUSG00000055150	ortholog_one2many
ENSMMUG00000050290	ZNF670		
ENSMMUG00000054567			
ENSMMUG00000031191		ENSMUSG00000059839	ortholog_many2many
ENSMMUG00000031191		ENSMUSG00000078994	ortholog_many2many
ENSMMUG00000031191		ENSMUSG00000051037	ortholog_many2many
ENSMMUG00000031191		ENSMUSG00000069206	ortholog_many2many
ENSMMUG00000031191		ENSMUSG00000078995	ortholog_many2many
ENSMMUG00000031191		ENSMUSG00000058900	ortholog_many2many
ENSMMUG00000031191		ENSMUSG00000071291	ortholog_many2many
ENSMMUG00000031191		ENSMUSG00000097333	ortholog_many2many
ENSMMUG00000031191		ENSMUSG00000074824	ortholog_many2many
ENSMMUG00000061999	Metazoa_SRP		
ENSMMUG00000016408	AHCTF1	ENSMUSG00000026491	ortholog_one2one
ENSMMUG00000049281			
ENSMMUG00000053269			
ENSMMUG00000022208	SCCPDH	ENSMUSG00000038936	ortholog_one2one
ENSMMUG00000056452			
ENSMMUG00000050866			
ENSMMUG00000057881	5S_rRNA	ENSMUSG00000119493	ortholog_one2one
ENSMMUG00000062560	U6		
ENSMMUG00000064226			
ENSMMUG00000061675	5S_rRNA		
ENSMMUG00000053105	5S_rRNA		
ENSMMUG00000044246	Metazoa_SRP		
ENSMMUG00000052988	Metazoa_SRP		
ENSMMUG00000051199	5S_rRNA		
ENSMMUG00000058983	5S_rRNA		
ENSMMUG00000050099	5S_rRNA		
ENSMMUG00000053289	5S_rRNA		
ENSMMUG00000050167	5S_rRNA		
ENSMMUG00000054394	5S_rRNA	ENSMUSG00000118796	ortholog_one2one
ENSMMUG00000050971			
ENSMMUG00000026576	U6		
ENSMMUG00000050302	Metazoa_SRP		
ENSMMUG00000061587	U6		
ENSMMUG00000064992	Metazoa_SRP		
ENSMMUG00000025558	U1		
ENSMMUG00000060709	snoU13		
ENSMMUG00000035621	U1	ENSMUSG00000077347	ortholog_many2many
ENSMMUG00000035621	U1	ENSMUSG00002075806	ortholog_many2many
