Gene stable ID	Gene name	Mouse gene stable ID	Mouse homology type
ENSSSCG00000018060			
ENSSSCG00000018061			
ENSSSCG00000018062			
ENSSSCG00000018063			
ENSSSCG00000018064			
ENSSSCG00000018065	ND1	ENSMUSG00000064341	ortholog_one2one
ENSSSCG00000018066			
ENSSSCG00000018067			
ENSSSCG00000018068			
ENSSSCG00000018069	ND2	ENSMUSG00000064345	ortholog_one2one
ENSSSCG00000018070			
ENSSSCG00000018071			
ENSSSCG00000018072			
ENSSSCG00000018073			
ENSSSCG00000018074			
ENSSSCG00000018075	COX1	ENSMUSG00000064351	ortholog_one2one
ENSSSCG00000018076			
ENSSSCG00000018077			
ENSSSCG00000018078	COX2	ENSMUSG00000064354	ortholog_one2one
ENSSSCG00000018079			
ENSSSCG00000018080	ATP8	ENSMUSG00000064356	ortholog_one2one
ENSSSCG00000018081	ATP6	ENSMUSG00000064357	ortholog_one2many
ENSSSCG00000018082	COX3	ENSMUSG00000064358	ortholog_one2one
ENSSSCG00000018083			
ENSSSCG00000018084	ND3	ENSMUSG00000064360	ortholog_one2one
ENSSSCG00000018085			
ENSSSCG00000018086	ND4L	ENSMUSG00000065947	ortholog_one2many
ENSSSCG00000018087	ND4	ENSMUSG00000064363	ortholog_one2one
ENSSSCG00000018088			
ENSSSCG00000018089			
ENSSSCG00000018090			
ENSSSCG00000018091	ND5	ENSMUSG00000064367	ortholog_one2one
ENSSSCG00000018092	ND6	ENSMUSG00000064368	ortholog_one2one
ENSSSCG00000018093			
ENSSSCG00000018094	CYTB	ENSMUSG00000064370	ortholog_one2one
ENSSSCG00000018095			
ENSSSCG00000018096			
ENSSSCG00000052911			
ENSSSCG00000060875		ENSMUSG00000109528	ortholog_one2many
ENSSSCG00000057402		ENSMUSG00000109801	ortholog_many2many
ENSSSCG00000057402		ENSMUSG00000096566	ortholog_many2many
ENSSSCG00000057402		ENSMUSG00000074945	ortholog_many2many
ENSSSCG00000057402		ENSMUSG00000074952	ortholog_many2many
ENSSSCG00000057402		ENSMUSG00000094747	ortholog_many2many
ENSSSCG00000057402		ENSMUSG00000109033	ortholog_many2many
ENSSSCG00000057402		ENSMUSG00000074947	ortholog_many2many
ENSSSCG00000057402		ENSMUSG00000074946	ortholog_many2many
ENSSSCG00000049348			
ENSSSCG00000063401		ENSMUSG00000108827	ortholog_one2many
ENSSSCG00000059619			
ENSSSCG00000038574	U6		
ENSSSCG00000037850			
ENSSSCG00000040808		ENSMUSG00000027398	ortholog_one2many
ENSSSCG00000063589			
ENSSSCG00000036316			
ENSSSCG00000053140			
ENSSSCG00000059599			
ENSSSCG00000053435		ENSMUSG00000045336	ortholog_one2many
ENSSSCG00000061231		ENSMUSG00000045336	ortholog_one2many
ENSSSCG00000032661		ENSMUSG00000040586	ortholog_one2many
ENSSSCG00000063414		ENSMUSG00000031342	ortholog_one2many
ENSSSCG00000056285		ENSMUSG00000045336	ortholog_one2many
ENSSSCG00000061007		ENSMUSG00000045336	ortholog_one2many
ENSSSCG00000055402		ENSMUSG00000045336	ortholog_one2many
ENSSSCG00000061903		ENSMUSG00000045336	ortholog_one2many
ENSSSCG00000039365			
ENSSSCG00000042717			
ENSSSCG00000033640		ENSMUSG00000076501	ortholog_many2many
ENSSSCG00000033640		ENSMUSG00000076518	ortholog_many2many
ENSSSCG00000033640		ENSMUSG00000076500	ortholog_many2many
ENSSSCG00000061639		ENSMUSG00000051166	ortholog_one2many
ENSSSCG00000058142		ENSMUSG00000063994	ortholog_many2many
ENSSSCG00000058142		ENSMUSG00000059964	ortholog_many2many
ENSSSCG00000058142		ENSMUSG00000060017	ortholog_many2many
ENSSSCG00000058142		ENSMUSG00000083947	ortholog_many2many
ENSSSCG00000058142		ENSMUSG00000080990	ortholog_many2many
ENSSSCG00000058142		ENSMUSG00000081724	ortholog_many2many
ENSSSCG00000061068			
ENSSSCG00000056521		ENSMUSG00000057110	ortholog_one2many
ENSSSCG00000057353			
ENSSSCG00000040501		ENSMUSG00000042869	ortholog_one2many
ENSSSCG00000038679		ENSMUSG00000057110	ortholog_one2many
ENSSSCG00000031650	AMELY	ENSMUSG00000031354	ortholog_one2one
ENSSSCG00000036077			
ENSSSCG00000031410			
ENSSSCG00000038567			
ENSSSCG00000034469		ENSMUSG00000033467	ortholog_one2many
ENSSSCG00000032135		ENSMUSG00000059326	ortholog_one2many
ENSSSCG00000039170		ENSMUSG00000060663	ortholog_many2many
ENSSSCG00000039170		ENSMUSG00000063137	ortholog_many2many
ENSSSCG00000039170		ENSMUSG00000062608	ortholog_many2many
ENSSSCG00000039144			
ENSSSCG00000012833			
ENSSSCG00000012178		ENSMUSG00000069049	ortholog_one2many
ENSSSCG00000039162			
ENSSSCG00000012179	ZFY	ENSMUSG00000079509	ortholog_one2one
ENSSSCG00000063326		ENSMUSG00000075064	ortholog_many2many
ENSSSCG00000063326		ENSMUSG00000059910	ortholog_many2many
ENSSSCG00000063326		ENSMUSG00000084336	ortholog_many2many
ENSSSCG00000063326		ENSMUSG00000082980	ortholog_many2many
ENSSSCG00000063326		ENSMUSG00000075067	ortholog_many2many
ENSSSCG00000063326		ENSMUSG00000089859	ortholog_many2many
ENSSSCG00000009499			
ENSSSCG00000034125		ENSMUSG00000064084	ortholog_many2many
ENSSSCG00000034125		ENSMUSG00000049057	ortholog_many2many
ENSSSCG00000034125		ENSMUSG00000061798	ortholog_many2many
ENSSSCG00000060797		ENSMUSG00000095612	ortholog_many2many
ENSSSCG00000060797		ENSMUSG00000076655	ortholog_many2many
ENSSSCG00000060797		ENSMUSG00000095571	ortholog_many2many
ENSSSCG00000060797		ENSMUSG00000094194	ortholog_many2many
ENSSSCG00000060797		ENSMUSG00000095285	ortholog_many2many
ENSSSCG00000060797		ENSMUSG00000103033	ortholog_many2many
ENSSSCG00000060797		ENSMUSG00000095429	ortholog_many2many
ENSSSCG00000060797		ENSMUSG00000095210	ortholog_many2many
ENSSSCG00000060797		ENSMUSG00000094951	ortholog_many2many
ENSSSCG00000060797		ENSMUSG00000076633	ortholog_many2many
ENSSSCG00000060797		ENSMUSG00000096108	ortholog_many2many
ENSSSCG00000060797		ENSMUSG00000094533	ortholog_many2many
ENSSSCG00000060797		ENSMUSG00000094134	ortholog_many2many
ENSSSCG00000038620		ENSMUSG00000037710	ortholog_one2many
ENSSSCG00000040592			
ENSSSCG00000034851			
ENSSSCG00000037503			
ENSSSCG00000038226		ENSMUSG00000025246	ortholog_one2many
ENSSSCG00000060618		ENSMUSG00000051313	ortholog_many2many
ENSSSCG00000060618		ENSMUSG00000061295	ortholog_many2many
ENSSSCG00000060618		ENSMUSG00000059112	ortholog_many2many
ENSSSCG00000037242			
ENSSSCG00000054065		ENSMUSG00000051313	ortholog_many2many
ENSSSCG00000054065		ENSMUSG00000061295	ortholog_many2many
ENSSSCG00000054065		ENSMUSG00000059112	ortholog_many2many
ENSSSCG00000031687			
ENSSSCG00000045260		ENSMUSG00000051313	ortholog_many2many
ENSSSCG00000045260		ENSMUSG00000061295	ortholog_many2many
ENSSSCG00000045260		ENSMUSG00000059112	ortholog_many2many
ENSSSCG00000053998		ENSMUSG00000051313	ortholog_many2many
ENSSSCG00000053998		ENSMUSG00000061295	ortholog_many2many
ENSSSCG00000053998		ENSMUSG00000059112	ortholog_many2many
ENSSSCG00000036341		ENSMUSG00000025333	ortholog_one2many
ENSSSCG00000058019		ENSMUSG00000051313	ortholog_many2many
ENSSSCG00000058019		ENSMUSG00000061295	ortholog_many2many
ENSSSCG00000058019		ENSMUSG00000059112	ortholog_many2many
ENSSSCG00000036054		ENSMUSG00000049894	ortholog_one2many
ENSSSCG00000043796			
ENSSSCG00000060822		ENSMUSG00000051313	ortholog_many2many
ENSSSCG00000060822		ENSMUSG00000061295	ortholog_many2many
ENSSSCG00000060822		ENSMUSG00000059112	ortholog_many2many
ENSSSCG00000037296		ENSMUSG00000050251	ortholog_many2many
ENSSSCG00000037296		ENSMUSG00000052818	ortholog_many2many
ENSSSCG00000031398		ENSMUSG00000064247	ortholog_one2many
ENSSSCG00000031911			
ENSSSCG00000051264		ENSMUSG00000044293	ortholog_one2many
ENSSSCG00000055112			
ENSSSCG00000059255		ENSMUSG00000049573	ortholog_one2many
ENSSSCG00000033858		ENSMUSG00000033434	ortholog_one2many
ENSSSCG00000058030			
ENSSSCG00000061039		ENSMUSG00000049573	ortholog_one2many
ENSSSCG00000052932		ENSMUSG00000061367	ortholog_one2many
ENSSSCG00000031553			
ENSSSCG00000060826			
ENSSSCG00000055885			
ENSSSCG00000059197		ENSMUSG00000108114	ortholog_many2many
ENSSSCG00000059197		ENSMUSG00000062914	ortholog_many2many
ENSSSCG00000056421		ENSMUSG00000108114	ortholog_many2many
ENSSSCG00000056421		ENSMUSG00000062914	ortholog_many2many
ENSSSCG00000035838		ENSMUSG00000048875	ortholog_one2many
ENSSSCG00000035091			
ENSSSCG00000050573			
ENSSSCG00000056055			
ENSSSCG00000059585		ENSMUSG00000107662	ortholog_many2many
ENSSSCG00000059585		ENSMUSG00000096000	ortholog_many2many
ENSSSCG00000059684			
ENSSSCG00000051818			
ENSSSCG00000037509			
ENSSSCG00000036470			
ENSSSCG00000060643		ENSMUSG00000108114	ortholog_many2many
ENSSSCG00000060643		ENSMUSG00000062914	ortholog_many2many
ENSSSCG00000046452		ENSMUSG00000030763	ortholog_one2many
ENSSSCG00000025253			
ENSSSCG00000037720		ENSMUSG00000030763	ortholog_one2many
ENSSSCG00000026430		ENSMUSG00000069045	ortholog_one2one
ENSSSCG00000053674			
ENSSSCG00000027046	USP9Y	ENSMUSG00000069044	ortholog_one2one
ENSSSCG00000059293			
ENSSSCG00000058973			
ENSSSCG00000012359		ENSMUSG00000073062	ortholog_one2many
ENSSSCG00000038337		ENSMUSG00000063844	ortholog_many2many
ENSSSCG00000038337		ENSMUSG00000074966	ortholog_many2many
ENSSSCG00000038337		ENSMUSG00000068647	ortholog_many2many
ENSSSCG00000055409		ENSMUSG00000109322	ortholog_many2many
ENSSSCG00000055409		ENSMUSG00000095586	ortholog_many2many
ENSSSCG00000055409		ENSMUSG00000096554	ortholog_many2many
ENSSSCG00000055409		ENSMUSG00000096703	ortholog_many2many
ENSSSCG00000055409		ENSMUSG00000109449	ortholog_many2many
ENSSSCG00000055409		ENSMUSG00000095156	ortholog_many2many
ENSSSCG00000038217		ENSMUSG00000066897	ortholog_many2many
ENSSSCG00000038217		ENSMUSG00000049028	ortholog_many2many
ENSSSCG00000038217		ENSMUSG00000050803	ortholog_many2many
ENSSSCG00000038217		ENSMUSG00000058491	ortholog_many2many
ENSSSCG00000038217		ENSMUSG00000044106	ortholog_many2many
ENSSSCG00000021305			
ENSSSCG00000038173		ENSMUSG00000074965	ortholog_one2many
ENSSSCG00000039125	U6atac		
ENSSSCG00000036122		ENSMUSG00000121914	ortholog_one2many
ENSSSCG00000040539			
