Gene stable ID	Gene name	Mouse gene stable ID	Mouse homology type
ENSBTAG00000043548			
ENSBTAG00000043567			
ENSBTAG00000043562			
ENSBTAG00000043570			
ENSBTAG00000043555			
ENSBTAG00000043558	ND1	ENSMUSG00000064341	ortholog_one2one
ENSBTAG00000043575			
ENSBTAG00000043565			
ENSBTAG00000043549			
ENSBTAG00000043571	MT-ND2	ENSMUSG00000064345	ortholog_one2one
ENSBTAG00000043579			
ENSBTAG00000043547			
ENSBTAG00000043573			
ENSBTAG00000043557			
ENSBTAG00000043580			
ENSBTAG00000043561	COX1	ENSMUSG00000064351	ortholog_one2one
ENSBTAG00000043545			
ENSBTAG00000043574			
ENSBTAG00000043556	MT-CO2	ENSMUSG00000064354	ortholog_one2one
ENSBTAG00000043576			
ENSBTAG00000043564	MT-ATP8	ENSMUSG00000064356	ortholog_one2one
ENSBTAG00000043584	MT-ATP6	ENSMUSG00000064357	ortholog_one2one
ENSBTAG00000043560	COX3	ENSMUSG00000064358	ortholog_one2one
ENSBTAG00000043554			
ENSBTAG00000043568	MT-ND3	ENSMUSG00000064360	ortholog_one2one
ENSBTAG00000043552			
ENSBTAG00000043559	MT-ND4L	ENSMUSG00000065947	ortholog_one2one
ENSBTAG00000043577	MT-ND4	ENSMUSG00000064363	ortholog_one2one
ENSBTAG00000043544			
ENSBTAG00000043551			
ENSBTAG00000043566			
ENSBTAG00000043563	ND5	ENSMUSG00000064367	ortholog_one2one
ENSBTAG00000043546	MT-ND6	ENSMUSG00000064368	ortholog_one2one
ENSBTAG00000043583			
ENSBTAG00000043550	MT-CYB	ENSMUSG00000064370	ortholog_one2one
ENSBTAG00000043572			
ENSBTAG00000043582			
ENSBTAG00000002138	PADI1	ENSMUSG00000025329	ortholog_one2one
ENSBTAG00000003403	PADI2	ENSMUSG00000028927	ortholog_one2one
ENSBTAG00000008314	SDHB	ENSMUSG00000009863	ortholog_one2one
ENSBTAG00000008309	ATP13A2	ENSMUSG00000036622	ortholog_one2one
ENSBTAG00000003832	MFAP2	ENSMUSG00000060572	ortholog_one2one
ENSBTAG00000003822	CROCC	ENSMUSG00000040860	ortholog_one2one
ENSBTAG00000013282	NECAP2	ENSMUSG00000028923	ortholog_one2one
ENSBTAG00000013281	SPATA21	ENSMUSG00000045004	ortholog_one2one
ENSBTAG00000009251	SZRD1	ENSMUSG00000040842	ortholog_one2one
ENSBTAG00000008510	FBXO42	ENSMUSG00000028920	ortholog_one2one
ENSBTAG00000014221	CPLANE2	ENSMUSG00000073733	ortholog_one2one
ENSBTAG00000005670	ARHGEF19	ENSMUSG00000028919	ortholog_one2one
ENSBTAG00000000815	EPHA2	ENSMUSG00000006445	ortholog_one2one
ENSBTAG00000034680	FAM131C	ENSMUSG00000006218	ortholog_one2one
ENSBTAG00000034674	CLCNKA	ENSMUSG00000033770	ortholog_one2many
ENSBTAG00000034674	CLCNKA	ENSMUSG00000006216	ortholog_one2many
ENSBTAG00000055045	HSPB7	ENSMUSG00000006221	ortholog_one2one
ENSBTAG00000008579	RCC2	ENSMUSG00000040945	ortholog_one2one
ENSBTAG00000038945	PADI6	ENSMUSG00000040935	ortholog_one2one
ENSBTAG00000010938	SRARP	ENSMUSG00000070637	ortholog_one2one
ENSBTAG00000012052	PADI4	ENSMUSG00000025330	ortholog_one2one
ENSBTAG00000012043	PADI3	ENSMUSG00000025328	ortholog_one2one
ENSBTAG00000048513		ENSMUSG00000040728	ortholog_one2many
ENSBTAG00000071769			
ENSBTAG00000076111			
ENSBTAG00000057673			
ENSBTAG00000067571			
ENSBTAG00000063511			
