0	event_type	dPSI_control	p_diffsplice	zsa
ENSMUSG00000000028;SE:16:18626173-18627482:18627619-18629139:-	SE	0.2313356705456363	0.0274725275	True
ENSMUSG00000000037;A3:X:159985093-159992191:159985093-159992194:+	A3	0.020015042955366158	0.2702297702	False
ENSMUSG00000000037;A3:X:160017692-160020476:160017692-160020488:+	A3	-0.20770974971486367	0.2702297702	False
ENSMUSG00000000037;AL:X:160029363-160038026:160038655:160029363-160039562:160039896:+	AL	-0.0246379506292325	0.2702297702	False
ENSMUSG00000000037;SE:X:160004745-160006153:160006236-160007457:+	SE	0.0	0.2702297702	False
ENSMUSG00000000037;SE:X:160006236-160007457:160007540-160008873:+	SE	0.0	0.2702297702	False
ENSMUSG00000000037;SE:X:160006236-160008873:160008956-160017609:+	SE	0.0	0.2702297702	False
ENSMUSG00000000037;SE:X:160013170-160014396:160014479-160017609:+	SE	0.0	0.2702297702	False
ENSMUSG00000000037;SE:X:160029363-160038026:160038177-160039562:+	SE	0.04904538730626662	0.2702297702	False
ENSMUSG00000000088;RI:9:57436239:57436355-57437524:57437645:+	RI	0.004550133967064601	0.2482517483	False
ENSMUSG00000000131;A3:7:125704106-125704273:125703961-125704273:-	A3	0.17736597077571287	0.2451548452	False
ENSMUSG00000000131;A3:7:125708072-125709086:125708027-125709086:-	A3	0.0	0.2451548452	False
ENSMUSG00000000131;A3:7:125728812-125730198:125728809-125730198:-	A3	-0.11883987808228347	0.2451548452	False
ENSMUSG00000000131;A5:7:125708072-125709086:125708072-125709126:-	A5	0.12063891912832514	0.2451548452	False
ENSMUSG00000000131;RI:7:125706243:125706404-125707624:125707795:-	RI	0.0	0.2550177096	False
ENSMUSG00000000131;SE:7:125701562-125702251:125702362-125703876:-	SE	0.23266846741553582	0.2451548452	False
ENSMUSG00000000131;SE:7:125730306-125739737:125739846-125748406:-	SE	0.45897263500998026	0.1138861139	False
ENSMUSG00000000131;SE:7:125748532-125748676:125748709-125751998:-	SE	-0.0005844787255702	0.2897102897	False
ENSMUSG00000000131;SE:7:125752451-125755896:125755973-125760033:-	SE	0.0	0.2451548452	False
ENSMUSG00000000131;SE:7:125768498-125770202:125770314-125773330:-	SE	0.0	0.2451548452	False
ENSMUSG00000000131;SE:7:125770314-125773330:125773420-125799071:-	SE	0.0	0.2451548452	False
ENSMUSG00000000318;A3:11:70057642-70058643:70057642-70058691:+	A3	0.0	0.3210955711	False
ENSMUSG00000000318;A3:11:70058830-70059409:70058830-70059412:+	A3	-0.34112703111612186	0.0952797203	False
ENSMUSG00000000318;AF:11:70047023:70047088-70058691:70057557:70057642-70058691:+	AF	0.0	0.3541458541	False
ENSMUSG00000000318;AL:11:70060903-70060986:70061089:70060903-70061244:70061637:+	AL	0.13836192342175757	0.0952797203	False
ENSMUSG00000000318;SE:11:70058830-70059409:70059522-70059955:+	SE	-0.35481902438708773	0.0314685315	True
ENSMUSG00000000318;SE:11:70058830-70059412:70059522-70059955:+	SE	-0.07682622220986754	0.1594405594	False
ENSMUSG00000000318;SE:11:70060903-70060986:70061092-70061244:+	SE	-0.39756328282989783	0.0454545455	True
ENSMUSG00000000326;AF:16:18230707-18232016:18232244:18230707-18245106:18245602:-	AF	0.5323115841643086	0.002997003	True
ENSMUSG00000000326;SE:16:18230707-18243054:18243110-18245106:-	SE	0.0116735028414211	0.2912087912	False
ENSMUSG00000000340;SE:3:116314009-116317001:116317076-116326904:+	SE	0.005674000825038994	0.3256743257	False
ENSMUSG00000000346;AF:15:100513230:100513605-100514794:100513815:100514203-100514794:+	AF	0.005346516812211877	0.3811188811	False
ENSMUSG00000000346;AF:15:100513230:100513605-100514794:100513986:100514081-100514794:+	AF	0.2901708613027818	0.0074925075	True
ENSMUSG00000000346;AF:15:100513230:100513605-100514794:100514213:100514588-100514794:+	AF	0.0	0.3811188811	False
ENSMUSG00000000355;AF:X:37689532:37689655-37690806:37690176:37690274-37690806:+	AF	0.18037716407033177	0.0864135864	False
ENSMUSG00000000355;SE:X:37689655-37690806:37690958-37691453:+	SE	0.13928491016982825	0.0864135864	False
ENSMUSG00000000365;SE:14:56697581-56699338:56699527-56700481:+	SE	0.015304896173285343	0.2307692308	False
ENSMUSG00000000384;A3:11:6569110-6569556:6569063-6569556:-	A3	0.3096026527851602	0.2272013701	False
ENSMUSG00000000384;A3:11:6570221-6570742:6570143-6570742:-	A3	0.0618780644501875	0.2272013701	False
ENSMUSG00000000384;A5:11:6575213-6575965:6575213-6576023:-	A5	0.2663917191982168	0.2272013701	False
ENSMUSG00000000384;AF:11:6575213-6575384:6575459:6575213-6575965:6576022:-	AF	0.0	0.2972027972	False
ENSMUSG00000000384;AF:11:6575213-6575965:6576022:6575213-6576023:6576067:-	AF	0.0744734869683954	0.2272013701	False
ENSMUSG00000000384;AL:11:6570997:6571065-6573816:6573200:6573461-6573816:-	AL	-0.0744734869683954	0.2272013701	False
ENSMUSG00000000399;A3:6:126821992-126826027:126821924-126826027:-	A3	0.153142701299671	0.0529470529	False
ENSMUSG00000000441;A3:6:115597308-115598777:115597288-115598777:-	A3	0.0	0.3816183816	False
ENSMUSG00000000441;AF:6:115621603-115652650:115652925:115621603-115653197:115653596:-	AF	0.0	0.3816183816	False
ENSMUSG00000000441;RI:6:115597170:115597288-115598777:115598823:-	RI	0.376216580515501	0.008991009	True
ENSMUSG00000000441;RI:6:115597170:115597308-115598777:115598823:-	RI	0.0	0.3816183816	False
ENSMUSG00000000441;SE:6:115603927-115607602:115607661-115608176:-	SE	0.0	0.3816183816	False
ENSMUSG00000000441;SE:6:115603927-115608176:115608329-115609858:-	SE	-0.37621658051550105	0.008991009	True
ENSMUSG00000000563;SE:3:105850379-105851003:105851182-105858907:-	SE	-0.013262650803879783	0.2337662338	False
ENSMUSG00000000563;SE:3:105863357-105865186:105865352-105866178:-	SE	0.1432078335694335	0.023976024	True
ENSMUSG00000000568;A5:5:100109192-100109957:100109192-100109993:-	A5	-0.032061293112164435	0.2905665763	False
ENSMUSG00000000568;AF:5:100115246-100124393:100124410:100115246-100126251:100126776:-	AF	0.09592713994139096	0.2247752248	False
ENSMUSG00000000568;AF:5:100115246-100124393:100124410:100115246-100126251:100126794:-	AF	-0.37664788611013655	0.0939060939	False
ENSMUSG00000000568;SE:5:100109192-100109957:100110063-100110374:-	SE	0.18829670410929006	0.0939060939	False
ENSMUSG00000000568;SE:5:100109192-100109993:100110063-100110374:-	SE	0.02322664928383895	0.2905665763	False
ENSMUSG00000000568;SE:5:100110471-100111590:100111736-100111843:-	SE	-0.11732592751521032	0.1731601732	False
ENSMUSG00000000568;SE:5:100114042-100115078:100115246-100126251:-	SE	0.001994003094501373	0.3521478521	False
ENSMUSG00000000568;SE:5:100115246-100124393:100124449-100126251:-	SE	-0.04036515620700004	0.2905665763	False
