event	event_type	arm	dPSI_oriented
ENSMUSG00000000028;SE:16:18626173-18627482:18627619-18629139:-	SE	control	0.2007177980401696
ENSMUSG00000000399;A3:6:126821992-126826027:126821924-126826027:-	A3	control	0.15702839195452223
ENSMUSG00000000441;RI:6:115597170:115597288-115598777:115598823:-	RI	control	0.40862770195812026
ENSMUSG00000000441;SE:6:115603927-115608176:115608329-115609858:-	SE	control	0.40862770195812026
ENSMUSG00000000568;AF:5:100115246-100124393:100124410:100115246-100126251:100126776:-	AF	control	0.34129789726610205
ENSMUSG00000000568;AF:5:100115246-100124393:100124410:100115246-100126251:100126794:-	AF	control	0.29767711142050945
ENSMUSG00000000568;SE:5:100109192-100109957:100110063-100110374:-	SE	control	0.24068328612625461
ENSMUSG00000000568;SE:5:100109192-100109993:100110063-100110374:-	SE	control	0.164255430932277
ENSMUSG00000000568;SE:5:100110471-100111590:100111736-100111843:-	SE	control	0.24431840811748695
ENSMUSG00000000827;SE:2:181143846-181144669:181144728-181149959:+	SE	control	0.276063265210764
ENSMUSG00000000827;SE:2:181150060-181152297:181152323-181153367:+	SE	control	0.3821509684004991
ENSMUSG00000001089;AL:4:136272713-136273308:136273705:136272713-136281815:136282091:+	AL	control	0.78536114074464
ENSMUSG00000001289;AF:15:102234624:102234695-102236957:102234818:102234970-102236957:+	AF	control	0.7245357792710676
ENSMUSG00000001289;SE:15:102234695-102234868:102234970-102236957:+	SE	control	0.270728112060453
ENSMUSG00000001289;SE:15:102234970-102235253:102235284-102236957:+	SE	control	0.174010110963167
ENSMUSG00000003779;AF:18:34757666:34757905-34758511:34758060:34758113-34758511:+	AF	control	0.33620777029588406
ENSMUSG00000003779;RI:18:34761438:34761475-34761558:34761632:+	RI	control	0.26102680812056606
ENSMUSG00000003779;RI:18:34761728:34761839-34761938:34762006:+	RI	control	0.2610268081205661
ENSMUSG00000004359;AF:10:88516436-88518837:88518885:88516436-88520828:88520877:-	AF	control	0.1748289372383658
ENSMUSG00000004359;SE:10:88511932-88512735:88512827-88513362:-	SE	control	0.2174803779370908
ENSMUSG00000004642;AL:5:33792296:33792519-33799245:33797399:33798272-33799245:-	AL	control	0.15708502896166338
ENSMUSG00000004642;SE:5:33802981-33803354:33803413-33807087:-	SE	control	0.2687134601328763
ENSMUSG00000004980;SE:6:51444275-51444371:51444406-51446651:-	SE	control	0.2841432468700581
ENSMUSG00000005204;AF:11:69571676-69572489:69572672:69571676-69572815:69572910:-	AF	control	0.45954279810664184
