tx	gene_id	symbol	gene_biotype	transcript_biotype	chrom	source
ENSMUST00000196221.2	ENSMUSG00000096749	Trdd1	TR_D_gene	TR_D_gene	14	cdna
ENSMUST00000179664.2	ENSMUSG00000096749	Trdd1	TR_D_gene	processed_transcript	14	cdna
ENSMUST00000177564.2	ENSMUSG00000096176	Trdd2	TR_D_gene	TR_D_gene	14	cdna
ENSMUST00000178537.2	ENSMUSG00000095668	Trbd1	TR_D_gene	TR_D_gene	6	cdna
ENSMUST00000178862.2	ENSMUSG00000094569	Trbd2	TR_D_gene	TR_D_gene	6	cdna
ENSMUST00000179520.2	ENSMUSG00000094028	Ighd4-1	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000179883.2	ENSMUSG00000094552	Ighd3-2	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000195858.2	ENSMUSG00000096420	Ighd5-6	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000179932.2	ENSMUSG00000096420	Ighd5-6	IG_D_gene	processed_transcript	12	cdna
ENSMUST00000180001.2	ENSMUSG00000095656	Ighd2-8	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000178815.2	ENSMUSG00000094957	Ighd5-5	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000177965.2	ENSMUSG00000094057	Ighd2-7	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000178909.2	ENSMUSG00000094268	Ighd5-8	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000177646.2	ENSMUSG00000096884	Ighd5-4	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000178230.2	ENSMUSG00000096250	Ighd2-6	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000178483.2	ENSMUSG00000095592	Ighd5-7	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000179262.2	ENSMUSG00000093876	Ighd5-3	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000178549.2	ENSMUSG00000095897	Ighd2-5	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000193012.2	ENSMUSG00000103203	Gm37327	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000179166.2	ENSMUSG00000096396	Ighd5-2	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000179560.2	ENSMUSG00000095444	Ighd2-4	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000177839.2	ENSMUSG00000096568	Ighd2-3	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000103439.2	ENSMUSG00000076630	Ighd1-1	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000180266.2	ENSMUSG00000093818	Ighd3-1	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000103441.2	ENSMUSG00000076632	Gm16968	IG_D_gene	IG_D_gene	12	cdna
ENSMUST00000103569.3	ENSMUSG00000076760	Trav3-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103570.2	ENSMUSG00000076761	Trav5-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103571.2	ENSMUSG00000076762	Trav6-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000198019.2	ENSMUSG00000104620	Trav7-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000200127.2	ENSMUSG00000105533	Trav7d-2	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000181483.3	ENSMUSG00000096600	Trav6d-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000184883.2	ENSMUSG00000096600	Trav6d-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000179789.4	ENSMUSG00000096746	Trav7d-3	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000178768.4	ENSMUSG00000094023	Trav7d-4	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103580.4	ENSMUSG00000076770	Trav8d-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000178426.4	ENSMUSG00000096478	Trav9d-1	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000180687.3	ENSMUSG00000095426	Trav6d-5	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000103646.5	ENSMUSG00000094792	Trav10d	TR_V_gene	TR_V_gene	14	cdna
ENSMUST00000197754.2	ENSMUSG00000094176	Trav6d-6	TR_V_gene	TR_V_gene	14	cdna
