Gene stable ID	Gene name	Mouse gene stable ID	Mouse homology type
ENSOCUG00000038447			
ENSOCUG00000025999	U6		
ENSOCUG00000020206	U2		
ENSOCUG00000019764	U1		
ENSOCUG00000037324			
ENSOCUG00000038976			
ENSOCUG00000034226			
ENSOCUG00000029766			
ENSOCUG00000036209			
ENSOCUG00000028619	U6	ENSMUSG00000065657	ortholog_one2one
ENSOCUG00000010950	TMED7	ENSMUSG00000033184	ortholog_one2one
ENSOCUG00000004445		ENSMUSG00000038812	ortholog_one2many
ENSOCUG00000032328			
ENSOCUG00000033428			
ENSOCUG00000035407			
ENSOCUG00000031662			
ENSOCUG00000032549			
ENSOCUG00000030996			
ENSOCUG00000031857			
ENSOCUG00000024896	U1		
ENSOCUG00000025615	CPLX2	ENSMUSG00000025867	ortholog_one2one
ENSOCUG00000037900			
ENSOCUG00000033783			
ENSOCUG00000029037		ENSMUSG00000051457	ortholog_one2one
ENSOCUG00000030542		ENSMUSG00000029465	ortholog_one2one
ENSOCUG00000029315			
ENSOCUG00000038796			
ENSOCUG00000024592		ENSMUSG00000022209	ortholog_one2many
ENSOCUG00000024163	U1		
ENSOCUG00000032912			
ENSOCUG00000034935			
ENSOCUG00000026335		ENSMUSG00000058662	ortholog_many2many
ENSOCUG00000026335		ENSMUSG00000061626	ortholog_many2many
ENSOCUG00000031629			
ENSOCUG00000031803			
ENSOCUG00000002572	LRRC3	ENSMUSG00000051652	ortholog_one2one
ENSOCUG00000035560			
ENSOCUG00000036539			
ENSOCUG00000028118			
ENSOCUG00000001422	ZNF740	ENSMUSG00000046897	ortholog_one2one
ENSOCUG00000030706		ENSMUSG00000024172	ortholog_one2many
ENSOCUG00000033412			
ENSOCUG00000007983	TNNC1	ENSMUSG00000091898	ortholog_one2one
ENSOCUG00000034067			
ENSOCUG00000023527		ENSMUSG00000102252	ortholog_one2many
ENSOCUG00000024118	CDT1	ENSMUSG00000006585	ortholog_one2one
ENSOCUG00000025472	SNORD42	ENSMUSG00000065676	ortholog_one2many
ENSOCUG00000038425			
ENSOCUG00000016694		ENSMUSG00000008384	ortholog_one2one
ENSOCUG00000031343			
ENSOCUG00000001999	GOLM1	ENSMUSG00000021556	ortholog_one2one
ENSOCUG00000029179		ENSMUSG00000009292	ortholog_one2one
ENSOCUG00000029268			
ENSOCUG00000030010			
ENSOCUG00000036455			
ENSOCUG00000022800		ENSMUSG00000020434	ortholog_one2one
ENSOCUG00000032298			
ENSOCUG00000024007	WNT6	ENSMUSG00000033227	ortholog_one2one
ENSOCUG00000000766	OR4Q2		
